cog_measure,protein,rho,pval,n,fdr
gcsvd_score,ube2l6,0.51689003785307,5.87372171665012e-28,389,1.08076479586362e-25
gcsvd_score,eno2,0.498554482617972,5.0688081524617e-26,392,4.66330350026476e-24
gcsvd_score,hspa1a,0.484025967643165,1.56391056728249e-24,394,9.59198481266591e-23
gcsvd_score,dusp13,0.479382092574338,4.9455333161241e-24,394,2.27494532541709e-22
gcsvd_score,st6gal1,0.444812975468361,2.1425166514772e-20,391,7.8844612774361e-19
gcsvd_score,arl13b,0.418579370536874,2.68715097891646e-17,374,8.2405963353438e-16
gcsvd_score,ppp3r1,0.408467552549648,8.56901527018293e-17,382,2.25242687101951e-15
gcsvd_score,psap,0.398980657730786,3.83193540788137e-16,385,8.81345143812714e-15
gcsvd_score,blmh,0.389726113746981,1.24232317531422e-15,391,2.53986071397573e-14
gcsvd_score,arhgap1,0.394385969823696,1.6178780577006e-15,378,2.9768956261691e-14
gcsvd_score,elob,0.385425612182272,1.07979983741967e-14,374,1.80621063713835e-13
gcsvd_score,tpp1,0.373963577128076,2.72334548120368e-14,387,4.17579640451231e-13
gcsvd_score,il1rn,0.368180821636637,5.77022227990544e-14,390,8.1670838423277e-13
gcsvd_score,setmar,0.365783666490746,1.54574915137728e-13,382,2.03155602752443e-12
gcsvd_score,phykpl,0.36487121131625,2.39875272732582e-13,378,2.94247001218634e-12
gcsvd_score,smoc2,0.343826514310767,2.24772448276657e-12,394,2.54686835196377e-11
gcsvd_score,ifit3,0.347724978354095,2.35308489040131e-12,384,2.54686835196377e-11
gcsvd_score,snx18,0.305812286591984,6.90210863521643e-10,390,7.05548882711013e-09
gcsvd_score,rnaset2,0.305246231834484,9.56683888220501e-10,385,9.2647281806617e-09
gcsvd_score,serpind1,0.300978476598996,1.13313864770778e-09,393,1.04248755589116e-08
gcsvd_score,itgb5,0.286838502827321,6.72034357341018e-09,394,5.88830103574987e-08
gcsvd_score,tnfsf13,0.283312270616476,1.04410098596608e-08,394,8.73248097353445e-08
gcsvd_score,thpo,0.290864459621198,1.2005040252698e-08,370,9.60403220215837e-08
gcsvd_score,igsf3,0.274454847505425,4.99110380032776e-08,382,3.82651291358462e-07
gcsvd_score,nppc,0.265296414812521,1.22023427353576e-07,386,8.98092425322317e-07
gcsvd_score,glb1,0.265889982044969,1.32761183966719e-07,382,9.39540686533706e-07
