icd10,label,n_with,pct_pre,pct_peri,pct_post,median_timing
J45,Asthma,78,69.2307692307692,5.12820512820513,25.6410256410256,-15
G43,Migraine,37,62.1621621621622,5.40540540540541,32.4324324324324,-11
K58,IBS,50,52,4,44,-2
H20,Uveitis/iridocyclitis,8,37.5,37.5,25,-1
H46,Optic neuritis,39,30.7692307692308,20.5128205128205,48.7179487179487,1
G62,Other polyneuropathy,14,28.5714285714286,21.4285714285714,50,1
F41,Anxiety disorders,63,34.9206349206349,12.6984126984127,52.3809523809524,2
M47,Spondylosis,46,23.9130434782609,19.5652173913043,56.5217391304348,2
G40,Epilepsy,23,26.0869565217391,21.7391304347826,52.1739130434783,2
K51,Ulcerative colitis,10,30,10,60,4
F32,Depression,126,28.5714285714286,14.2857142857143,57.1428571428571,4.5
M54,Back pain,114,29.8245614035088,7.89473684210526,62.280701754386,6
I10,Hypertension,194,30.9278350515464,10.8247422680412,58.2474226804124,6
M79,Soft tissue disorders,165,21.2121212121212,11.5151515151515,67.2727272727273,7
K50,Crohn's disease,9,44.4444444444444,0,55.5555555555556,7
L40,Psoriasis,18,44.4444444444444,0,55.5555555555556,8
E05,Thyrotoxicosis (Graves'),17,35.2941176470588,5.88235294117647,58.8235294117647,10
I63,Cerebral infarction,14,14.2857142857143,28.5714285714286,57.1428571428571,10
M05,Seropositive RA,3,33.3333333333333,0,66.6666666666667,10
H04,Lacrimal system disorder,26,19.2307692307692,0,80.7692307692308,10.5
G50,Trigeminal neuralgia,31,9.67741935483871,16.1290322580645,74.1935483870968,11
M25,Joint disorders NEC,120,24.1666666666667,5.83333333333333,70,11
M32,SLE,14,21.4285714285714,14.2857142857143,64.2857142857143,13.5
I21,Myocardial infarction,29,10.3448275862069,10.3448275862069,79.3103448275862,14
I25,Chronic IHD,53,15.0943396226415,5.66037735849057,79.2452830188679,14
I50,Heart failure,25,8,20,72,16
J44,COPD,36,16.6666666666667,11.1111111111111,72.2222222222222,17
