icd10,label,domain,OR,OR_lo,OR_hi,pval,n_ms,n_hc,pct_ms,pct_hc,fdr
H46,Optic neuritis,Neurological,105.063570771282,65.8245249154943,168.054709095593,5.22359448029976e-85,39,37,7.81563126252505,0.0774042384050543,1.82825806810491e-83
G50,Trigeminal neuralgia,Neurological,9.18267403633015,6.15062208374679,13.2420709723952,5.73638457985151e-30,31,335,6.2124248496994,0.700822158532248,1.00386730147401e-28
M79,Soft tissue disorders,Musculoskeletal,2.12282477998269,1.75341393313094,2.56026638820333,6.16704597936275e-15,165,8996,33.0661322645291,18.8196899646451,7.19488697592321e-14
F32,Depression,Psychiatric,2.16526226124737,1.75790191806699,2.64959066082791,1.49443372726444e-13,126,5969,25.250501002004,12.4871864605343,1.30762951135639e-12
G62,Other polyneuropathy,Neurological,2.81376960227345,1.56326060728684,4.64520594123487,0.000175365845691204,14,577,2.80561122244489,1.20708771783017,0.00122756091983843
M54,Back pain,Musculoskeletal,1.47160882861907,1.18700868503709,1.81029646599652,0.000328280177538768,114,8052,22.8456913827655,16.8448358820945,0.00191496770230948
M32,SLE,Autoimmune,2.36165358392239,1.31129040508428,3.90183510043443,0.00185352681528631,14,481,2.80561122244489,1.00625509926571,0.00926763407643153
M25,Joint disorders NEC,Musculoskeletal,1.35968238518565,1.10068488695349,1.66766301058689,0.00371433516382981,120,9135,24.0480961923848,19.1104788602749,0.0162502163417554
H20,Uveitis/iridocyclitis,Autoimmune,2.77485089975348,1.25135784655738,5.27347439498542,0.00482936088738464,8,281,1.60320641282565,0.587853810589737,0.0180353226080585
K50,Crohn's disease,Autoimmune,2.5982701401162,1.2329009984119,4.77433688611554,0.00515294931658815,9,346,1.80360721442886,0.723834229409427,0.0180353226080585
F41,Anxiety disorders,Psychiatric,1.43649357056205,1.09001254695696,1.86107654134329,0.00784797952426092,63,4047,12.625250501002,8.46635007635824,0.0249708439408302
J44,COPD,Respiratory,1.51731373528583,1.05536480744261,2.1138056524824,0.0182816096222522,36,2834,7.21442885771543,5.92874626053848,0.0502875168031618
I21,Myocardial infarction,Cardiovascular,1.59072478773167,1.05801958193326,2.29989081598222,0.0186782205268887,29,2523,5.81162324649299,5.27813225664735,0.0502875168031618
H04,Lacrimal system disorder,Other,1.58517134021904,1.03591497566877,2.31833508289037,0.0243857182926122,26,1637,5.21042084168337,3.42461454781281,0.0609642957315306
E05,Thyrotoxicosis (Graves'),Autoimmune,1.6657117417804,0.981488987954582,2.63273764558121,0.0413689627942978,17,890,3.40681362725451,1.86188573460806,0.0965275798533616
I63,Cerebral infarction,Cardiovascular,1.725839649927,0.959616665587035,2.84580208940139,0.0473872663158274,14,997,2.80561122244489,2.08573042404971,0.103659645065872
M47,Spondylosis,Musculoskeletal,1.34104641943048,0.972413586417505,1.80521035707473,0.0623565811864759,46,3602,9.21843687374749,7.5354072090542,0.128381196560391
I25,Chronic IHD,Cardiovascular,1.32211932707763,0.970850942098799,1.76556822340563,0.0666871955470401,53,5445,10.6212424849699,11.3909750842033,0.129669546897022
I50,Heart failure,Cardiovascular,1.44741648427487,0.934089335379591,2.14160502913588,0.0793618711917071,25,2296,5.01002004008016,4.80324679400013,0.146192920616303
K21,GERD,Digestive,1.18802001138914,0.939885470681322,1.48589402905457,0.139868020562792,92,7952,18.436873747495,16.6356352377565,0.241204385689219
K51,Ulcerative colitis,Autoimmune,1.5987712056679,0.793271590402549,2.84535386270601,0.145552328115812,10,634,2.00400801603206,1.32633208510282,0.241204385689219
K58,IBS,Digestive,1.24165636787982,0.912855821739029,1.65172984009015,0.151614185290366,50,3509,10.0200400801603,7.34085060981988,0.241204385689219
M05,Seropositive RA,Autoimmune,2.15171734956383,0.528672933630098,5.72231746585638,0.191479055109907,3,138,0.601202404809619,0.288696889186419,0.289232403696507
G45,TIA,Neurological,1.46374794018015,0.774319554696027,2.49830217174423,0.198330791106176,12,999,2.40480961923848,2.08991443693647,0.289232403696507
I10,Hypertension,Cardiovascular,1.12769915620155,0.931563935019669,1.36220712332827,0.214812146454842,194,19657,38.877755511022,41.1225706575176,0.300737005036778
G43,Migraine,Neurological,1.15567169794995,0.809892084714588,1.5985073623371,0.402864656163346,37,2675,7.41482965931864,5.59611723604109,0.542317806373736
K57,Diverticular disease,Digestive,0.914158353429021,0.692331101279129,1.1869760096836,0.513302804866277,63,7216,12.625250501002,15.095918495429,0.665392524826656
L40,Psoriasis,Autoimmune,1.13715460086925,0.682520696436634,1.77009816944421,0.594854931696323,18,1582,3.60721442885772,3.30955419342692,0.720874878268637
I48,Atrial fibrillation,Cardiovascular,1.09925736550754,0.761218693970763,1.53935917021864,0.597296327708299,36,4228,7.21442885771543,8.84500324260999,0.720874878268637
F45,Somatoform disorders,Psychiatric,0.828313920877441,0.204700401541411,2.17566229787846,0.746261390053423,3,328,0.601202404809619,0.686178113428589,0.867186283543269
J45,Asthma,Respiratory,1.03726617096799,0.807708522057806,1.31454749424701,0.768079279709752,78,7067,15.6312625250501,14.7842095353654,0.867186283543269
M06,Other RA,Autoimmune,1.06671801001173,0.607459360030118,1.72596064872947,0.807088089467495,15,1321,3.0060120240481,2.76354051170478,0.882752597855072
H81,Vestibular disorder,Neurological,1.05350028218329,0.600090494303301,1.70395556722703,0.843702891587047,15,1350,3.0060120240481,2.82420869856279,0.894836400168081
M35,Connective tissue disease,Autoimmune,1.01792417489918,0.484135200115977,1.86376727437526,0.958310811063998,9,854,1.80360721442886,1.78657350264639,0.981797191877748
G40,Epilepsy,Neurological,6154223859.8669,1.05874644904921e-15,,0.981797191877748,23,0,4.60921843687375,0,0.981797191877748
