icd10,meaning,chapter,tree_level,is_leaf,n_cases,pct_cases,beta,se,OR,OR_lo,OR_hi,pval,pct_pre,fdr
H46,Optic neuritis,H,2,TRUE,76,0.157349896480331,4.65456560287211,0.238232005089564,105.063570771282,65.8665597158135,167.586616802791,5.22359448029976e-85,,2.70321014355512e-82
Block H43-H45,H43-H45 Disorders of vitreous body and globe,B,1,TRUE,76,0.157349896480331,4.65456560287211,0.238232005089564,105.063570771282,65.8665597158135,167.586616802791,5.22359448029976e-85,,2.70321014355512e-82
N33,Bladder disorders in diseases classified elsewhere,N,2,TRUE,6079,12.5859213250518,1.46754506656994,0.0954679201192095,4.3385711533654,3.59817921223641,5.23131243402271,2.51763107362231e-53,,8.68582720399696e-51
N39,Other disorders of urinary system,N,2,TRUE,6078,12.583850931677,1.4586415465193,0.0955643121118429,4.30011405393762,3.565611239252,5.18592174977295,1.33963950391029e-52,,3.46631721636787e-50
G46,Vascular syndromes of brain in cerebrovascular diseases,G,2,TRUE,2576,5.33333333333333,1.60866556942385,0.115088030287555,4.99613977584922,3.98721515094741,6.26036261271017,2.13279696701241e-44,,4.41488972171569e-42
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",N,2,TRUE,1076,2.22774327122153,1.90334113162036,0.152787489238962,6.70827025506315,4.97227584955572,9.05036067517974,1.27393124817859e-35,,1.88359834552121e-33
Block N25-N29,N25-N29 Other disorders of kidney and ureter,B,1,TRUE,1076,2.22774327122153,1.90334113162036,0.152787489238962,6.70827025506315,4.97227584955572,9.05036067517974,1.27393124817859e-35,,1.88359834552121e-33
Block G40-G47,G40-G47 Episodic and paroxysmal disorders,B,1,TRUE,2423,5.01656314699793,1.49625292197056,0.121314755438603,4.46492725521458,3.52005284158378,5.66343071866738,5.96857591409953e-35,,7.72184508886627e-33
K59,Other functional intestinal disorders,K,2,TRUE,3859,7.98964803312629,1.31745383164571,0.10991398714723,3.73390212017165,3.01024784781335,4.63152064144814,4.19592955007825e-33,,4.82531898258999e-31
L89,Decubitus ulcer,L,2,TRUE,746,1.54451345755694,1.99174836088334,0.168682767610438,7.32833514283591,5.26525794278001,10.1997844263957,3.56351083886986e-32,,3.6882337182303e-30
G50,Disorders of trigeminal nerve,G,2,TRUE,366,0.75776397515528,2.21731845157647,0.194973040604886,9.18267403633015,6.26620740465445,13.4565450857658,5.73638457985151e-30,,5.39741640013301e-28
Block N30-N39,N30-N39 Other diseases of urinary system,B,1,TRUE,12139,25.1325051759834,1.03724250835414,0.0920120708668919,2.82142621853396,2.35584352831256,3.3790214888901,1.78597159458096e-29,,1.54040050032608e-27
Block G60-G64,G60-G64 Polyneuropathies and other disorders of the peripheral nervous system,B,1,TRUE,1348,2.79089026915114,1.59207920890864,0.143065089831234,4.91395545385653,3.71237425496769,6.5044514760801,9.13041824839544e-29,,7.26921760545329e-27
G37,Other demyelinating diseases of central nervous system,G,2,TRUE,2772,5.73913043478261,1.26603262836778,0.116305239982566,3.54675332386605,2.82377419738746,4.45483890036014,1.35257744356549e-27,,9.99941181493057e-26
H50,Other strabismus,H,2,TRUE,2243,4.64389233954451,1.35766606154514,0.127908826687914,3.88711042997558,3.02516235536268,4.99465011127097,2.55630972213002e-26,,1.76385370826972e-24
H53,Visual disturbances,H,2,TRUE,2041,4.22567287784679,1.38366520125327,0.131823599482248,3.98949717338868,3.08111315689747,5.16569398330797,8.97953383094221e-26,,5.80863594689074e-24
G83,Other paralytic syndromes,G,2,TRUE,909,1.88198757763975,1.68030333002317,0.160565979289953,5.36718375220395,3.91804972401598,7.35229602966739,1.25238208740181e-25,,7.62479682624043e-24
G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,G,2,TRUE,913,1.89026915113872,1.67675177851332,0.160548560672578,5.34815573214272,3.90429254175673,7.32598016909391,1.5626999666827e-25,,8.98552480842553e-24
J69,Pneumonitis due to solids and liquids,J,2,TRUE,403,0.834368530020704,2.18085936304372,0.211403940023929,8.85391171484893,5.85038599194896,13.399415485101,5.96090712284075e-25,,3.24712572217904e-23
J66,Airway disease due to specific organic dust,J,2,TRUE,404,0.836438923395445,2.17932538750882,0.211401197697248,8.84034044255126,5.84144992014229,13.378804955723,6.41956817134639e-25,,3.32212652867176e-23
G52,Disorders of other cranial nerves,G,2,TRUE,3976,8.23188405797101,1.13119034131771,0.112868814597656,3.09934358196982,2.48424170653642,3.86674558028021,1.21800044497315e-23,,6.00300219308193e-22
N32,Other disorders of bladder,N,2,TRUE,2168,4.48861283643892,1.3797450058282,0.139372631610805,3.97388817996334,3.02398242926153,5.22218221708014,4.17592567965306e-23,,1.96458321747314e-21
L97,"Ulcer of lower limb, not elsewhere classified",L,2,TRUE,451,0.933747412008282,2.08017578486006,0.210923089885367,8.00587610242188,5.29501879533148,12.1045938918744,6.06755684679239e-23,,2.73040058105658e-21
F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F,2,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
F92,Mixed disorders of conduct and emotions,F,2,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
F84,Pervasive developmental disorders,F,2,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
F78,Other mental retardation,F,2,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
F68,Other disorders of adult personality and behaviour,F,2,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
Block F60-F69,F60-F69 Disorders of adult personality and behaviour,B,1,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
Chapter V,Chapter V Mental and behavioural disorders,C,0,TRUE,424,0.877846790890269,1.97593963725883,0.213148136673091,7.21339444458184,4.75011719027746,10.9540580429522,1.85684614806469e-20,,6.40611921082317e-19
Block G00-G09,G00-G09 Inflammatory diseases of the central nervous system,B,1,TRUE,6275,12.991718426501,0.949146139314301,0.102535373917494,2.583502765817,2.11314383216094,3.15855761420588,2.10714376430609e-20,,7.03514127760258e-19
G55,Nerve root and plexus compressions in diseases classified elsewhere,G,2,TRUE,5254,10.8778467908903,0.988451479869716,0.107615161180233,2.68707026660385,2.17608146000369,3.31804978369432,4.11306213576185e-20,,1.33031853453547e-18
L81,Other disorders of pigmentation,L,2,TRUE,1254,2.59627329192547,1.45242113753807,0.159023913198034,4.27344860683108,3.12906509321142,5.83636404204153,6.64114281404572e-20,,2.08290388258707e-18
N28,"Other disorders of kidney and ureter, not elsewhere classified",N,2,TRUE,3180,6.58385093167702,1.1656258812245,0.128418563091421,3.2079300381974,2.49409390163454,4.1260736507254,1.11843663313223e-19,,3.40465269203488e-18
Block H46-H48,H46-H48 Disorders of optic nerve and visual pathways,B,1,TRUE,5699,11.7991718426501,0.945417055478089,0.104902555637436,2.57388660828457,2.09553323079831,3.16143508246007,2.01713642822849e-19,,5.96496058061855e-18
M79,"Other soft tissue disorders, not elsewhere classified",M,2,TRUE,12188,25.2339544513458,0.82977225231556,0.0929023468179293,2.29279650170297,1.91110890582247,2.75071492901605,4.19660395537299e-19,,1.20652363716973e-17
G23,Other degenerative diseases of basal ganglia,G,2,TRUE,28,0.0579710144927536,3.82885535915128,0.430039171291794,46.009843335476,19.8058744565068,106.882717468684,5.41109611170355e-19,,1.51364445286842e-17
G36,Other acute disseminated demyelination,G,2,TRUE,19,0.0393374741200828,4.21319548706954,0.474812042008434,67.5721210221725,26.6439973404514,171.370364630046,7.09482099665196e-19,,1.93240519250915e-17
G04,"Encephalitis, myelitis and encephalomyelitis",G,2,TRUE,386,0.799171842650104,1.94073044596367,0.226247767551127,6.96383581907336,4.46953698981412,10.8501192462502,9.66219277878276e-18,,2.56419731436927e-16
G24,Dystonia,G,2,TRUE,6367,13.1821946169772,0.883721531773141,0.103750663677492,2.41988866224426,1.97460865818591,2.96558060422875,1.6269215992689e-17,,4.20965963810828e-16
G13,Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,G,2,TRUE,6297,13.0372670807453,0.883607719622614,0.104011724204296,2.41961326518363,1.97337394486122,2.96676074410435,1.97472681909985e-17,,4.98498111650816e-16
G31,"Other degenerative diseases of nervous system, not elsewhere classified",G,2,TRUE,6281,13.0041407867495,0.857571311963471,0.10481711898436,2.35742827754361,1.91962481627348,2.89508034937306,2.80109020393822e-16,,6.90268657399062e-15
M77,Other enthesopathies,M,2,TRUE,13610,28.1780538302277,0.745289443470485,0.0919858422975799,2.10705121894478,1.75944284319738,2.52333564367945,5.3965663740312e-16,,1.29894097607495e-14
M729,"Fibroblastic disorder, unspecified",M,3,TRUE,13088,27.0973084886128,0.744549987893003,0.0919773050226534,2.10549372408899,1.75817171362668,2.52142824720669,5.72965641013068e-16,,1.34777145101938e-14
M731,Syphilitic bursitis,M,3,TRUE,13095,27.111801242236,0.743793357515069,0.0919806078839718,2.10390124611137,1.75683055756958,2.51953749000844,6.14466185986177e-16,,1.41327222776821e-14
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere,N,2,TRUE,4551,9.42236024844721,0.95902191314882,0.120261693945611,2.60914325628079,2.06124257564595,3.30268189306257,1.53050096617274e-15,,3.37035851061444e-14
Block N10-N16,N10-N16 Renal tubulo-interstitial diseases,B,1,TRUE,4551,9.42236024844721,0.95902191314882,0.120261693945611,2.60914325628079,2.06124257564595,3.30268189306257,1.53050096617274e-15,,3.37035851061444e-14
M76,"Enthesopathies of lower limb, excluding foot",M,2,TRUE,13284,27.5031055900621,0.732352964993146,0.0919069071344986,2.07996894849401,1.73709717006453,2.49051745708536,1.60714041724912e-15,,3.46539652469341e-14
Chapter VII,Chapter VII Diseases of the eye and adnexa,C,0,TRUE,15583,32.2629399585921,0.736977033981227,0.0931409411235435,2.08960913968225,1.74093232619576,2.50811952362622,2.52285292606439e-15,,5.3288832213809e-14
G81,Hemiplegia,G,2,TRUE,460,0.952380952380952,1.78075605349533,0.225459686371154,5.93434140249344,3.81467346321896,9.2318276310945,2.82654416049278e-15,,5.85094641222006e-14
K55,Vascular disorders of intestine,K,2,TRUE,10752,22.2608695652174,0.740894417106443,0.0942104525687677,2.09781099367783,1.74410569759886,2.52324785777275,3.71319572762149e-15,,7.53560309429067e-14
Chapter XIV,Chapter XIV Diseases of the genitourinary system,C,0,TRUE,24178,50.0579710144928,0.772189801084155,0.0988761953798983,2.16450089433751,1.78316960570425,2.62737997922387,5.73409292719549e-15,,1.14130503454756e-13
