icd10,block,chapter,OR,OR_lo,OR_hi,beta,se,pval,n_ms_pre,n_hc_pre,pct_ms,pct_hc,fdr
H46,H4,H,56.0041297770128,26.7621321287742,117.197782934052,4.02542543403413,0.376753839788216,1.20298839303183e-26,12,19,2.40480961923848,0.0397481224242171,1.80448258954774e-24
R26,R2,R,20.9130010511498,7.88014975248009,55.5006727921316,3.04037102543536,0.49797148858383,1.02471492375104e-09,5,25,1.00200400801603,0.0523001610844961,7.68536192813282e-08
I10,I1,I,0.489870533236038,0.371751112131212,0.645520972236555,-0.713614140674797,0.140773755796443,3.99434360267639e-07,60,11814,12.0240480961924,24.7149641220895,1.9971718013382e-05
E78,E7,E,0.306941864304959,0.190661713237916,0.494138579072978,-1.18109691641198,0.24293757128437,1.16364179447138e-06,18,6310,3.60721442885772,13.2005606577268,4.36365672926769e-05
G51,G5,G,5.10205053564821,2.58997186821501,10.0506573016364,1.62964252473685,0.345916076927266,2.4639275093486e-06,9,179,1.80360721442886,0.374469153364992,7.3917825280458e-05
R29,R2,R,8.34176262878283,3.31690665045885,20.9788851746346,2.12127454041699,0.470531593678558,6.53642129543274e-06,5,59,1.00200400801603,0.123428380159411,0.000163410532385819
N17,N1,N,7.47908600918976,2.99754735572378,18.6608319718611,2.01211059323563,0.466487850527701,1.60822301965784e-05,5,78,1.00200400801603,0.163176502583628,0.000344619218498108
R20,R2,R,5.19396808322903,2.4072575944011,11.2066546232305,1.6474979682908,0.392351936915238,2.68059557252324e-05,7,125,1.40280561122245,0.261500805422481,0.000502611669848108
M19,M1,M,0.366130542893948,0.227553977753477,0.589097917616027,-1.0047653346004,0.242654321062826,3.46206582922423e-05,18,4672,3.60721442885772,9.77385410347064,0.000577010971537372
J06,J0,J,0.373847616462973,0.215173451702147,0.649531990259239,-0.983907007207272,0.281838682037628,0.0004811640553721,13,3031,2.60521042084168,6.34087152988431,0.00721746083058149
R79,R7,R,4.27239372754578,1.87024360249716,9.75987734367893,1.45217426209867,0.421482434184362,0.000570221497197468,6,212,1.20240480961924,0.443505365996527,0.00777574768905638
L98,L9,L,0.224601514477722,0.0929310501737368,0.542830842989254,-1.49342749370088,0.450239777081248,0.000910025265274537,5,2118,1.00200400801603,4.43086964707851,0.0106296470102774
M45,M4,M,4.59755632964235,1.86480680053392,11.3349673532842,1.52552492965453,0.460391568434594,0.00092123607422404,5,124,1.00200400801603,0.259408798979101,0.0106296470102774
Z37,Z3,Z,0.307713810468333,0.147532087728878,0.641811490710755,-1.17858511476134,0.375063504171211,0.0016759098073819,8,1419,1.60320641282565,2.968557143156,0.0179561765076633
M25,M2,M,0.552731834479237,0.379241499707814,0.805588209840337,-0.59288232368468,0.192193750381117,0.00203678231991433,29,4856,5.81162324649299,10.1587832890525,0.0203678231991433
L30,L3,L,0.484461700186842,0.302233717607531,0.776561731119301,-0.724716900957903,0.240733551322643,0.00260858818641737,18,3340,3.60721442885772,6.98730152088869,0.0226857661085273
K76,K7,K,3.96829272686949,1.6142693249372,9.75509286019416,1.37833595859413,0.458904864630845,0.00266864502995616,5,145,1.00200400801603,0.303340934290078,0.0226857661085273
B27,B2,B,2.43335638967972,1.35938330075545,4.35581584377602,0.889271534652191,0.297061425037276,0.00275742265888082,12,440,2.40480961923848,0.920482835087132,0.0226857661085273
M50,M5,M,3.48261259347777,1.53319800832009,7.91064846838616,1.24778275737037,0.418585205041627,0.00287353037374679,6,184,1.20240480961924,0.384929185581892,0.0226857661085273
Z86,Z8,Z,1.86385500918302,1.21967491924381,2.84826345155188,0.62264692846495,0.216358451460551,0.00400396888748984,23,1385,4.60921843687375,2.89742892408109,0.0300297666561738
N63,N6,N,0.281329859534866,0.116162915316698,0.681340423061254,-1.26822742075541,0.45129296430705,0.00495093820515135,5,1285,1.00200400801603,2.6882282797431,0.0353638443225097
H25,H2,H,3.15810363479402,1.38773841264199,7.18695863517345,1.14997173188589,0.41953895463121,0.00612456394575205,6,225,1.20240480961924,0.470701449760465,0.0417276469562974
K21,K2,K,0.499094424003518,0.302849271116554,0.822505674697619,-0.694959974671731,0.254877590629455,0.0063982391999656,16,3198,3.2064128256513,6.69023660592875,0.0417276469562974
N95,N9,N,0.51054927836371,0.302898465670112,0.860554262171771,-0.6722681164304,0.266372198978651,0.0116096484616925,15,2305,3.0060120240481,4.82207485199055,0.0712322139391415
M77,M7,M,0.427972914201212,0.220940720226645,0.829004337009441,-0.8486953699795,0.337329325374849,0.0118720356565236,9,2062,1.80360721442886,4.31371728624924,0.0712322139391415
Z96,Z9,Z,2.4638953974945,1.20981971545444,5.01792163927024,0.901743592454606,0.362893999713819,0.0129599575200536,8,402,1.60320641282565,0.840986590238698,0.0747689856926169
I83,I8,I,0.332133394519041,0.137313457441378,0.803363295996213,-1.10221860004192,0.450648140868073,0.0144510357936396,5,1402,1.00200400801603,2.93299303361854,0.0802835321868866
J03,J0,J,0.480101894762389,0.263425567897837,0.875001736520232,-0.733756916853595,0.306238524909007,0.0165737006682762,11,1936,2.20440881763527,4.05012447438338,0.0887127076709064
Z91,Z9,Z,2.97618337610076,1.21381344778026,7.29738783531923,1.09064173338594,0.457589142833421,0.0171511234830419,5,154,1.00200400801603,0.322168992280496,0.0887127076709064
H10,H1,H,0.432236256673195,0.214524504410394,0.870894362843725,-0.838782949780896,0.357422631470677,0.0189377592108084,8,1670,1.60320641282565,3.49365076044434,0.0916258281418533
L20,L2,L,0.34789319661241,0.143875467156942,0.841211352017223,-1.05585975259921,0.450483373664373,0.0190864932808976,5,1307,1.00200400801603,2.73425242149746,0.0916258281418533
R51,R5,R,2.12928096959982,1.12903224256185,4.01568465149618,0.755784349772925,0.32368546249979,0.0195468433369287,10,424,2.00400801603206,0.887010731993055,0.0916258281418533
I95,I9,I,2.81387010389711,1.14949334104621,6.88813469280259,1.03456079696475,0.456754859527395,0.0235111962970261,5,191,1.00200400801603,0.399573230685551,0.105914526323212
J30,J3,J,0.660339938842304,0.46052466347196,0.946852295689931,-0.415000517706972,0.183871606625429,0.0240072926332613,32,4299,6.41282565130261,8.99353570008996,0.105914526323212
E03,E0,E,0.59806253552478,0.371819963643997,0.961967703113415,-0.514059956042879,0.242492629854947,0.0340145385398412,18,2480,3.60721442885772,5.18817597958202,0.143181036307896
I20,I2,I,0.416243839816672,0.184808663183474,0.937504396172809,-0.87648403703622,0.41426030874421,0.0343634487138949,6,1872,1.20240480961924,3.91623606200707,0.143181036307896
J22,J2,J,0.614058202024402,0.387490570715138,0.973101035149164,-0.487665563756744,0.234897041003271,0.0378863499005886,19,2985,3.80761523046092,6.24463923348884,0.153593310407791
K63,K6,K,2.10595059382819,1.03782740049433,4.27337715455657,0.744766953715891,0.361039522261411,0.039127783385115,8,441,1.60320641282565,0.922574841530512,0.154451776520191
G55,G5,G,2.54769910426233,1.04211310062042,6.22847052013341,0.935190639787782,0.456091918614615,0.0403211869531546,5,193,1.00200400801603,0.40375724357231,0.155081488281364
H53,H5,H,1.99761003053533,1.02529029658006,3.89201560514695,0.691951481264035,0.340293720712308,0.0420126525538987,9,449,1.80360721442886,0.939310893077551,0.15754744707712
K44,K4,K,0.556843501614402,0.305325389014029,1.0155548685011,-0.585471045114323,0.30658478403739,0.0561776992466801,11,2033,2.20440881763527,4.25304909939123,0.205528167975659
Z72,Z7,Z,1.65335759245375,0.96676720682643,2.82755901236857,0.502808124816173,0.27377840552979,0.0662761416738392,14,910,2.80561122244489,1.90372586347566,0.236700505977997
E10,E1,E,2.25477784243205,0.924115818170256,5.50149994054735,0.813051450332955,0.455086388361352,0.0740042554819599,5,240,1.00200400801603,0.502081546411163,0.24938608832129
Z92,Z9,Z,1.73521729604672,0.947484163277932,3.17786743166541,0.551132648234838,0.308713114601336,0.0742194303987116,11,737,2.20440881763527,1.54180874877095,0.24938608832129
M54,M5,M,0.728816515370949,0.513645044817378,1.03412564461964,-0.316333272246289,0.178515078633773,0.0763903236678091,34,4358,6.81362725450902,9.11696408024937,0.24938608832129
D50,D5,D,1.52219103357056,0.956276426928845,2.42300811505314,0.420150766392709,0.237172971740789,0.076478400418529,19,1007,3.80761523046092,2.1066504884835,0.24938608832129
H61,H6,H,0.519023039208307,0.245585734833582,1.09690782899737,-0.655807005263359,0.38178681737644,0.0858457143543197,7,1439,1.40280561122245,3.0103972720236,0.273975684109531
M48,M4,M,1.78080056984327,0.914314252367639,3.46844715735544,0.577063021531942,0.340124473051865,0.0897679487597135,9,539,1.80360721442886,1.12759147298174,0.280524839874105
M75,M7,M,0.551628129963887,0.273586080747981,1.11224077239426,-0.594881137329418,0.357784607988574,0.0963766055171795,8,1470,1.60320641282565,3.07524947176837,0.29503042505259
A37,A3,A,1.73827118346259,0.89268528388254,3.38482863088623,0.552891046583218,0.340006241055522,0.103924068968554,9,484,1.80360721442886,1.01253111859585,0.311772206905661
K80,K8,K,0.607201450715603,0.323298463321795,1.14041247818785,-0.498894663714501,0.321573818189061,0.120802100036097,10,1465,2.00400801603206,3.06478943955147,0.352819851841255
B35,B3,B,0.635496035910443,0.357572238668761,1.12943670672376,-0.45334942612119,0.293402267823054,0.122310881971635,12,1920,2.40480961923848,4.0166523712893,0.352819851841255
Z30,Z3,Z,0.530278243759535,0.235221609528721,1.19544720558662,-0.634353421968538,0.414731514266132,0.126127655494615,6,918,1.20240480961924,1.9204619150227,0.355082596295126
K57,K5,K,0.557920971102579,0.263249614231469,1.18243595875642,-0.583537955479564,0.383221754029127,0.127829734666245,7,1357,1.40280561122245,2.83885274366645,0.355082596295126
Z85,Z8,Z,0.50534089966898,0.208542936739684,1.22454123295014,-0.6825220286003,0.45157566262183,0.130680608243211,5,995,1.00200400801603,2.08154641116295,0.356401658845121
B00,B0,B,1.76275461991502,0.828834669475489,3.74900322641925,0.566877710470204,0.385006269332225,0.140916762969375,7,347,1.40280561122245,0.725926235852807,0.36598296220794
R10,R1,R,0.694385063484181,0.42689013326078,1.12949580892604,-0.364728625826756,0.248214271524972,0.141721514922347,17,2074,3.40681362725451,4.3388213635698,0.36598296220794
Z87,Z8,Z,1.47358710754518,0.877404768021308,2.47486569786983,0.387699637529207,0.264533925271526,0.142758613714376,15,1054,3.0060120240481,2.20497479132236,0.36598296220794
N18,N1,N,1.69497985584492,0.835174479079176,3.43994791949062,0.52767085630452,0.361115038409807,0.143953298468456,8,558,1.60320641282565,1.16733959540595,0.36598296220794
Z13,Z1,Z,1.78743629164406,0.792434477817927,4.03178885588613,0.58078235391258,0.415014187955893,0.161684762738466,6,331,1.20240480961924,0.692454132758729,0.401415928099514
K64,K6,K,0.684143326026163,0.401237041159426,1.16652263508285,-0.379587842336307,0.27225258107093,0.163242477427136,14,2042,2.80561122244489,4.27187715738164,0.401415928099514
M79,M7,M,0.788779585560978,0.558067218389602,1.11487149593401,-0.237268356402628,0.176534441015045,0.178937272599188,35,4125,7.01402805611223,8.62952657894186,0.432912756288359
N30,N3,N,0.620685654927103,0.307201497208973,1.2540651192537,-0.476930516950745,0.358837187266646,0.18381496985493,8,1018,1.60320641282565,2.12966255936068,0.43420447181698
N97,N9,N,1.57498650900864,0.804260286816885,3.08430310960265,0.454246706532113,0.342897463727406,0.185260574641912,9,395,1.80360721442886,0.826342545135039,0.43420447181698
N92,N9,N,0.759797642577837,0.504138696948098,1.14510641845506,-0.27470314092119,0.209286079331996,0.189327059628667,25,2267,5.01002004008016,4.74257860714211,0.436908599143077
M17,M1,M,0.596117439506002,0.265303987532901,1.33942955395317,-0.517317585176821,0.413041531885724,0.210402658095857,6,1150,1.20240480961924,2.40580740988682,0.474459536483726
H60,H6,H,0.639850202893092,0.317389322598574,1.28992455949799,-0.446521188003807,0.357706593703061,0.211925259629398,8,1213,1.60320641282565,2.53760381581975,0.474459536483726
J11,J1,J,1.45923695329383,0.798635548841003,2.6662630895262,0.377913664368858,0.30753277334792,0.219125592858804,11,725,2.20440881763527,1.51670467145039,0.477535846546527
K52,K5,K,0.660618296036085,0.340752039757167,1.28074518165358,-0.414579070320445,0.337765893888659,0.219666489411402,9,1271,1.80360721442886,2.65894018953578,0.477535846546527
N39,N3,N,0.775545700130263,0.5125816648842,1.17341523155422,-0.254188368211109,0.211279013437345,0.228940212863763,24,2597,4.80961923847695,5.43294073345746,0.483680724010023
E14,E1,E,0.690978772255031,0.378381685008324,1.26182551276647,-0.369646176011916,0.307247789849318,0.228942209364744,11,1895,2.20440881763527,3.96435221020481,0.483680724010023
R00,R0,R,1.65559847858252,0.680089370045422,4.03036195390273,0.504162561939684,0.453925318801017,0.266709160054989,5,324,1.00200400801603,0.67781008765507,0.555644083447894
F43,F4,F,0.660957021898963,0.312389679836947,1.39845908170068,-0.414066461064356,0.382366038566795,0.278850167349922,7,927,1.40280561122245,1.93928997301312,0.572979795924496
J01,J0,J,0.754444571438008,0.449905611292983,1.26512449964004,-0.281773467438372,0.26374694054226,0.285363647759862,15,1709,3.0060120240481,3.57523901173616,0.578439826540261
G47,G4,G,0.623166886146589,0.257378347828895,1.50881754920504,-0.472940921032143,0.451156727089293,0.294507225189114,5,829,1.00200400801603,1.73427334156189,0.583849576185109
M51,M5,M,0.726046128013791,0.398382344631273,1.32320868910925,-0.320141728966666,0.306225173965078,0.295817118600455,11,1511,2.20440881763527,3.16102173594695,0.583849576185109
M65,M6,M,0.662790161785294,0.295211097549957,1.48805652025001,-0.411296836953754,0.412636610552176,0.318884349216042,6,884,1.20240480961924,1.84933369594778,0.614669954171664
F32,F3,F,0.843522144318622,0.599403222783754,1.1870633672128,-0.170169124443713,0.17431205254458,0.328949165624683,36,3676,7.21442885771543,7.69021568586431,0.614669954171664
O80,O8,O,0.784932686325137,0.480293203069685,1.28279833677389,-0.242157314780747,0.250612860743669,0.333913832806114,17,1501,3.40681362725451,3.14010167151315,0.614669954171664
I64,I6,I,1.44793094307731,0.68153471840773,3.07615145537823,0.370135601581306,0.384461064601637,0.335678597131452,7,582,1.40280561122245,1.21754775004707,0.614669954171664
E66,E6,E,0.725676422716886,0.374214560502607,1.40723084045659,-0.320651062247617,0.337895353384909,0.342638115026279,9,1236,1.80360721442886,2.58571996401749,0.614669954171664
K04,K0,K,1.43526017529833,0.676233716930612,3.04624232602226,0.361346139605591,0.383960544486182,0.346652452913634,7,461,1.40280561122245,0.964414970398109,0.614669954171664
J02,J0,J,0.781115923766898,0.465953579559704,1.30944822215715,-0.247031710237878,0.263590588907771,0.348666205730608,15,1700,3.0060120240481,3.55641095374574,0.614669954171664
H02,H0,H,0.680221018138855,0.303033190487213,1.52689754140111,-0.385337506946925,0.412538486205665,0.35027068256505,6,863,1.20240480961924,1.80540156063681,0.614669954171664
J18,J1,J,1.28787491701609,0.753881567000649,2.20010924060406,0.252993508848337,0.273221176073061,0.35446367017805,14,1137,2.80561122244489,2.37861132612288,0.614669954171664
R69,R6,R,0.770568437106568,0.443018725076067,1.34029485133593,-0.260626806483617,0.282406344159159,0.356070409439227,13,1599,2.60521042084168,3.34511830296437,0.614669954171664
I84,I8,I,0.734089639643454,0.378590381514856,1.42340541477996,-0.309124132969412,0.337845057633717,0.360197992993726,9,1215,1.80360721442886,2.54178782870651,0.614669954171664
J34,J3,J,0.722531647371676,0.35828747483286,1.45707572305497,-0.324994057364301,0.357870181186015,0.363807461091215,8,1114,1.60320641282565,2.33049517792515,0.614669954171664
Z88,Z8,Z,1.27097089708282,0.756766830668811,2.13456371998214,0.239781094291992,0.264531216782858,0.364704172808521,15,1073,3.0060120240481,2.24472291374657,0.614669954171664
K29,K2,K,0.798216796851998,0.483641197148604,1.31740236053731,-0.225375043176237,0.255631087864421,0.377970562812128,16,2069,3.2064128256513,4.3283613313529,0.629950938020214
M47,M4,M,0.767265393634146,0.420150783635169,1.40115455497935,-0.264922522295946,0.307254643460103,0.388563916756944,11,1486,2.20440881763527,3.10872157486245,0.637905970166419
