protein,ms_logFC,ms_fdr,als_logFC,als_fdr,contrast,same_dir,ms_dir,als_dir
nefl,0.216510674890774,3.46742710677691e-18,0.427608626240236,1.59367313134668e-47,combined,TRUE,up,up
itgam,-0.139600622162364,5.76342752791703e-14,-0.0766119535206393,0.0102408539180594,combined,TRUE,down,down
itgb2,-0.106692457764653,3.53856463543244e-10,-0.0719970923157223,0.00261934950799561,combined,TRUE,down,down
itgav,-0.0859255530969855,1.41005613052948e-18,-0.0552455421946474,5.79291238918119e-05,combined,TRUE,down,down
megf10,-0.0840950562001864,0.00231602179136564,0.124367474152396,0.000110783063925843,combined,FALSE,down,up
cd248,-0.0815928635755245,0.000355943864471169,-0.0799793497215062,0.0152144084349167,combined,TRUE,down,down
art3,-0.0533829968112972,0.0325091907063706,-0.0895436306874331,0.00233338687170615,combined,TRUE,down,down
nefl,0.227361114050922,0.000177374055644628,0.451789237711892,1.94927194472312e-45,pre_onset,TRUE,up,up
nefl,0.318197482585756,1.48197156193054e-09,0.336991076826251,0.000138126819730441,post_onset,TRUE,up,up
csrp3,0.303778187379244,0.0180223387098618,0.599359605663048,0.000355577054407033,post_onset,TRUE,up,up
itga11,-0.121964158416144,0.02871127050888,-0.174448262877722,0.0483959632294459,post_onset,TRUE,down,down
itgav,-0.0951777096434912,1.50247570915572e-05,-0.118826983834151,0.000233908468393964,post_onset,TRUE,down,down
