protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
nefl,0.48561922268746704,0.02720837178895754,12.153970110900264,6.108911203069022e-34,1.78074761569462e-30,326,49185,0.6220098159509203,0.011697383348581886,True,True
csrp3,0.3798082222889328,0.056986618047072196,5.833616616574483,5.462851378619946e-09,7.962105884338572e-06,304,42451,0.6183263157894737,0.15904609785399637,True,True
mybpc1,0.27491112077617375,0.041500403086304316,5.308988752690901,1.1076626058707698e-07,0.00010762788320377646,315,43881,0.5172209523809523,0.12418696360611654,True,True
myom3,0.3303768000792441,0.05471212640724105,5.24089978931487,1.6054410294245887e-07,0.00011699651501931691,313,42923,0.5025996805111821,0.044770522796635834,True,True
mb,0.17525496144345926,0.03244350235174797,4.046571202897782,5.204911382071931e-05,0.02705677660464292,342,51155,0.360890350877193,0.07381456162642948,True,True
ca3,0.19139726218045372,0.0378198634069498,4.030698047093412,5.569147843151202e-05,0.02705677660464292,341,51072,0.30918152492668616,0.05137965715068923,True,True
megf10,0.15064732917940893,0.02450145669569695,3.978115373099685,6.955984967606768e-05,0.02896670882939104,336,50506,0.15805357142857143,0.001086157090246703,True,True
myl3,0.1978510398795456,0.042523160836403985,3.743422866799244,0.00018176649999379957,0.06343283531620375,317,42708,0.4135577287066246,0.09477034864662359,False,True
hspb6,0.14001996607966646,0.02422747868272842,3.7245833176023435,0.0001958475189865639,0.06343283531620375,339,50961,0.28593643067846614,0.034347645258138576,False,True
mylpf,0.15500096248718567,0.028420655472042075,3.659564120849804,0.0002529467829238628,0.07019177693756336,317,42665,0.2800615141955836,0.09668899917965547,False,True
eda2r,0.13517737420454373,0.02338859926292729,3.6476860397495234,0.00026487462995306927,0.07019177693756336,339,50961,0.28998466076696167,0.01753594513451463,False,True
actn2,0.17033500069840773,0.03499392997139678,3.618402349206416,0.00029676891938380725,0.07209011666698317,304,42451,0.33266874999999996,0.10766052978728415,False,True
rbfox3,0.12797718401893818,0.023111538146467672,3.3098678943842628,0.0009341481221754676,0.20601719376527217,320,43796,0.23752765625,0.030752757101105123,False,False
thbs4,0.13461098651263598,0.02894304394503133,3.2937017055482234,0.000989447928889815,0.20601719376527217,338,50574,0.1628835798816568,0.001216430379246253,False,False
myom2,0.1361038729873657,0.02981936786931337,3.1384629661625834,0.001699518111625337,0.33027301969252376,304,42451,0.23090921052631577,0.062356830227792044,False,False
fabp3,0.12595096319518304,0.031007356517462167,2.8739920466258537,0.00405512398848796,0.7223327176759201,315,43881,0.30133682539682544,0.061623213919464,False,False
art3,-0.10225485193120921,0.021272506141618838,-2.8553691432277337,0.004300415307024115,0.7223327176759201,338,50737,-0.06464408284023668,0.009974820150974634,False,False
hs6st2,0.10582996943229135,0.01993196619786324,2.8437739052713873,0.00446037355683244,0.7223327176759201,304,42616,0.1621391447368421,0.028098660127651585,False,False
coro6,0.10441542673994147,0.02187152257492887,2.724027519983033,0.006451731261506023,0.9898314014363189,308,42470,0.15148896103896103,0.035408362373440076,False,False
dtnb,0.10554069351685084,0.026257580825941717,2.5943839258698675,0.009479208873567969,0.9999786873994423,317,43590,0.21109542586750787,0.042514530855700845,False,False
cd276,0.0934871278057055,0.02196321061133377,2.576933669345307,0.00997089996543164,0.9999786873994423,336,50506,0.10424851190476189,-0.024743822516136695,False,False
capn3,0.09732914035832961,0.02204934943473575,2.5561713709764224,0.010586427749192433,0.9999786873994423,317,43673,0.1424889589905363,0.03681836832825773,False,False
sorbs1,0.0962505268140611,0.023136711850511325,2.488354145820389,0.012837247131248421,0.9999786873994423,320,43796,0.18595203124999998,0.05889929788108503,False,False
ttn,0.12628395257099911,0.04027525860851332,2.470208978614625,0.013507287109416804,0.9999786873994423,304,42451,0.30214539473684204,0.14903046100209652,False,False
rbp2,-0.1370771664054072,0.04786018656761511,-2.45104673209475,0.01424750212213396,0.9999786873994423,336,50300,0.0008601190476190493,0.06502882803180915,False,False
itgam,-0.08431180217737098,0.019710668626573224,-2.412276398356847,0.015856773104007144,0.9999786873994423,336,50547,-0.08042842261904763,0.009188871743130156,False,False
ccl19,0.19543326089292934,0.07579299736997781,2.410998970141102,0.01591238432319951,0.9999786873994423,338,50978,0.5847955621301776,0.34499924673388516,False,False
fabp2,-0.13629973852808522,0.04912998818275653,-2.391958389161478,0.01676235030270169,0.9999786873994423,331,50540,0.0021217522658610304,0.08152504155124654,False,False
vwa5a,-0.13390221299235855,0.046465954424089906,-2.3844060286213438,0.017111064094080912,0.9999786873994423,307,42313,0.013512377850162863,0.15938928343535086,False,False
klk4,0.11379276824238176,0.038585805763848305,2.364965540366639,0.018035448627951794,0.9999786873994423,339,50961,0.25134778761061943,0.058969635603696946,False,False
cd248,-0.09013516023698061,0.02360420716810956,-2.3148978888776557,0.02062307839880862,0.9999786873994423,319,43886,-0.028261598746081508,0.013212828692521533,False,False
fabp1,-0.15073458858806205,0.06054498922040687,-2.247166685882778,0.024633647391214396,0.9999786873994423,336,50506,0.04858050595238096,0.06391180948798164,False,False
plxdc1,-0.08013671046902034,0.021081738268179592,-2.2245005722505145,0.0261192599838181,0.9999786873994423,323,49352,-0.04676377708978328,0.025183611606419198,False,False
adamts8,-0.08953873496628133,0.028113654450875852,-2.223834645593548,0.02616393195848275,0.9999786873994423,337,50688,-0.08453857566765578,-0.006358629261363636,False,False
itga11,-0.08014701979741336,0.021638284988155537,-2.220604506279429,0.026382154719232675,0.9999786873994423,333,50466,-0.08714204204204205,-0.008624126144334799,False,False
itgav,-0.06748169301920305,0.01030105883320944,-2.2099457433237686,0.027113326779212688,0.9999786873994423,339,50961,-0.06079174041297935,-0.008743502874747355,False,False
mmp9,0.10562291563968126,0.03836621752652233,2.19933761110311,0.02785841458565884,0.9999786873994423,336,50464,0.12647574404761905,-0.010997602251109701,False,False
sele,-0.09143388110027324,0.032340317128457426,-2.1149459438052616,0.034439345047126854,0.9999786873994423,342,51155,-0.09124576023391813,-0.025930365555664157,False,False
ntprobnp,-0.14771418731065153,0.06389777306185349,-2.10673219615939,0.035145683461645184,0.9999786873994423,331,50540,0.09725045317220542,0.09559191135734073,False,False
dusp29,0.10396696269350438,0.038430446884899744,2.094853918395088,0.03618981907190616,0.9999786873994423,317,42665,0.2677608832807571,0.12621217977264737,False,False
cnpy2,0.09751574925741456,0.03696435971935189,2.0719573251187535,0.03827454142360956,0.9999786873994423,330,49615,0.1976519696969697,0.10276157109745036,False,False
egflam,-0.07391808597053366,0.01790539774591718,-2.0631301582142236,0.03910611474923259,0.9999786873994423,321,43695,-0.04864579439252336,0.018688546744478774,False,False
itgb2,-0.0689752574658476,0.01779598851091274,-2.029816405284334,0.0423804283622902,0.9999786873994423,336,50247,-0.05270401785714286,0.011077484227914103,False,False
bgn,-0.1601307402934614,0.07451513938232193,-2.000507124472985,0.04545097339770871,0.9999786873994423,321,49271,-0.025895171339563858,0.15967509894258286,False,False
olr1,0.09482840867732019,0.037794063196618426,1.990432678976756,0.046548687483683064,0.9999786873994423,329,50051,0.1793142857142857,0.05957835607680166,False,False
nos1,0.0877188701577146,0.033212060095671625,1.983154752453944,0.047355645111820055,0.9999786873994423,329,49340,0.2113957446808511,0.03543439704094041,False,False
neb,0.07425957084745213,0.022429993196998597,1.9208602236679824,0.05475597455985355,0.9999786873994423,304,42451,0.13308338815789472,0.04362547878730772,False,False
syngap1,0.08777510195050117,0.033363079249176385,1.9135835275931488,0.0556800587477506,0.9999786873994423,308,42470,0.15731282467532465,0.07493328938073934,False,False
ckmt1a_ckmt1b,-0.09611093879841195,0.04125190790256415,-1.907737141472532,0.05643084487448622,0.9999786873994423,335,50346,-0.08187298507462687,0.004900081436459699,False,False
aldh3a1,0.09673820540650871,0.041695307203368226,1.9066266141650916,0.056574602184241526,0.9999786873994423,333,50381,0.2461753753753754,0.09690094777793216,False,False
clec4a,-0.06884698011306299,0.02176269340169474,-1.9035774144934368,0.05697088874879428,0.9999786873994423,333,50466,-0.10399834834834835,-0.015472715293464908,False,False
myl1,0.07459646632401828,0.024015147633528973,1.8837360438820512,0.0596074691147255,0.9999786873994423,304,42451,0.1285097039473684,0.040698143742196886,False,False
hspa2,0.06865439274740104,0.020040610523822912,1.8580736377761404,0.06316523418689594,0.9999786873994423,317,43673,0.1112268138801262,0.01893439424816248,False,False
smpdl3b,0.10008460829673162,0.044056516557345146,1.8570590503360576,0.06330943292861876,0.9999786873994423,317,43673,0.24693264984227128,0.15456407963730454,False,False
calcb,0.07151942314096463,0.022938817755057468,1.8543446860380661,0.06369653544622847,0.9999786873994423,318,43776,0.12814874213836477,0.03933966557017544,False,False
klhl41,0.07816509602676942,0.02889300433059551,1.8445899758180035,0.06510390628551288,0.9999786873994423,320,43796,0.17058390625,0.07410322974700885,False,False
mybpc2,0.10731932624863724,0.049173878423994725,1.8396238233788178,0.06583036992169373,0.9999786873994423,317,42708,0.38225930599369085,0.22551264283038308,False,False
dmd,0.0790708997677769,0.02997276164169096,1.8218932513854833,0.068478124447455,0.9999786873994423,317,42708,0.19089053627760252,0.08862182612156974,False,False
tff1,-0.10353547997872746,0.04919508216135325,-1.8140903541213644,0.06966973295742773,0.9999786873994423,335,50298,0.16676626865671645,0.17382560141556322,False,False
sh3bgrl2,0.08622720392152498,0.0357221749009248,1.8110055806492953,0.07014699989362759,0.9999786873994423,308,42470,0.18939025974025975,0.10806645867671298,False,False
ca14,-0.06616181797214685,0.022797228851885322,-1.803362441938935,0.07133717738044376,0.9999786873994423,339,50961,-0.07024631268436579,0.00296725437098958,False,False
muc13,-0.07729187728960311,0.03151460652745048,-1.7986536886387474,0.07207954823284579,0.9999786873994423,329,49340,-0.028744072948328266,0.010881033644102147,False,False
dmp1,-0.08574426343558257,0.03603000610350991,-1.794384408598174,0.07275885203024415,0.9999786873994423,317,42708,-0.15386593059936907,-0.03966665612999906,False,False
ccl7,0.08431263688984589,0.037587424671376414,1.7785522746264402,0.07531917393145053,0.9999786873994423,333,50466,0.19973873873873876,0.06363228906590576,False,False
s100a12,0.09723016372723246,0.04665574723179951,1.7687064019357484,0.07694896127538885,0.9999786873994423,334,49817,0.15065374251497007,0.009994299134833491,False,False
