protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
nefl,combined_vs_hc,0.427608626240236,0.164147918604225,15.2401903452348,5.4746586442689e-51,1.59367313134668e-47,102.403006205272
mybpc1,combined_vs_hc,0.233937771743219,0.250207824149239,5.88287958365358,4.37055358878763e-09,6.36134074848039e-06,10.3520840667115
myom3,combined_vs_hc,0.28785965597475,0.19021652862184,5.72892600119743,1.08697437308348e-08,1.05472746668201e-05,9.49783262588233
mylpf,combined_vs_hc,0.139850371287671,0.119949107205826,5.44491239296584,5.50231006627725e-08,4.00430615073326e-05,7.98035788389253
itgav,combined_vs_hc,-0.0552455421946474,0.00184970758607321,-5.33768053387799,9.95003845616831e-08,5.79291238918119e-05,7.42716734952321
csrp3,combined_vs_hc,0.277298800865082,0.272140814245742,5.25462474596014,1.56258269287514e-07,7.58113036493254e-05,7.00614548984485
megf10,combined_vs_hc,0.124367474152396,0.0204817191209261,5.15486404719529,2.66396924589797e-07,0.000110783063925843,6.50904638343633
coro6,combined_vs_hc,0.0963313764925934,0.0512775253821865,4.92107885977867,8.96227959266148e-07,0.00032611494867797,5.38093698420088
myl3,combined_vs_hc,0.190878957716909,0.209882442301998,4.8748025412701,1.13251796485554e-06,0.000347723209924728,5.16376099969041
eda2r,combined_vs_hc,0.104569596014329,0.163392632912691,4.86420622642485,1.19451463388776e-06,0.000347723209924728,5.11431729699056
hspb6,combined_vs_hc,0.111697743413765,0.161619218385003,4.70477457909004,2.62950834302512e-06,0.000695863526049648,4.38322035561577
ca3,combined_vs_hc,0.168033185182783,0.134164888873642,4.48187600112396,7.61125160697477e-06,0.00184636278565863,3.40146303004306
egflam,combined_vs_hc,-0.0724405745470883,0.0192507690486175,-4.42489843505592,9.9122252617693e-06,0.00221957597977003,3.15806863829689
art3,combined_vs_hc,-0.0895436306874331,0.0298161141547326,-4.39451328141435,1.13973008579952e-05,0.00233338687170615,3.02953057088132
rbfox3,combined_vs_hc,0.0885538765114186,0.103469131078499,4.38281907361313,1.20236355464075e-05,0.00233338687170615,2.98029428006637
mb,combined_vs_hc,0.144581384767229,0.206859253361027,4.35369439264034,1.37295475857252e-05,0.00249791956387787,2.85823472108168
itgb2,combined_vs_hc,-0.0719970923157223,0.0137987069760328,-4.32983518436172,1.52967851720802e-05,0.00261934950799561,2.75884275630383
myom2,combined_vs_hc,0.111437186658567,0.0977314218885381,4.27729002704577,1.93714358160972e-05,0.00313279164781439,2.54185880056537
capn3,combined_vs_hc,0.0849907871969146,0.0556486356984978,4.22428960801177,2.45169095607291e-05,0.00375624861743592,2.32565289414669
thbs4,combined_vs_hc,0.11099755645431,0.0422586909620506,4.10824552349109,4.068576660071e-05,0.00592181332873334,1.86159714710632
itgam,combined_vs_hc,-0.0766119535206393,0.000717374110671375,-3.96768639046575,7.38776819921837e-05,0.0102408539180594,1.31666502789915
cd276,combined_vs_hc,0.0825748375998991,0.00542914685253334,3.92373777053893,8.86870593662883e-05,0.0114393899832987,1.15014118662895
dtnb,combined_vs_hc,0.0794053017630977,0.0913425554520038,3.91915517588273,9.0383362973504e-05,0.0114393899832987,1.13288338367958
cd248,combined_vs_hc,-0.0799793497215062,0.0507237024213414,-3.83911388349094,0.000125436551850911,0.0152144084349167,0.834678715806571
actn2,combined_vs_hc,0.122371465035813,0.176994268187636,3.82481048626078,0.000132918162516251,0.0154769908433922,0.782032412041443
hs6st2,combined_vs_hc,0.0682272543555475,0.0575389754265903,3.80672030974812,0.000142983592413413,0.0160086629813632,0.715727428933789
calcb,combined_vs_hc,0.0743687616551099,0.0519712027128456,3.74339736493415,0.000184164275873227,0.0197654369474713,0.486090396825361
ttn,combined_vs_hc,0.118034966606738,0.172053922847769,3.73537048059122,0.000190117565966746,0.0197654369474713,0.45725439291247
hspa2,combined_vs_hc,0.0657392114282398,0.0358826146987975,3.67975912630998,0.000236606775335891,0.0237504249311303,0.259162191196305
rbp2,combined_vs_hc,-0.163128838215766,0.125822574426198,-3.5814528694357,0.000345855535617437,0.0335595154727453,-0.0837951888689377
sorbs1,combined_vs_hc,0.0768639322030008,0.0985509221550545,3.47769890512706,0.000511261187579392,0.0480090747433423,-0.435752680346184
nfasc,combined_vs_hc,-0.0565163076427816,0.0587220171296275,-3.38803452356264,0.000710927734722339,0.0646722073680227,-0.731633883684652
fabp3,combined_vs_hc,0.0920124198920958,0.169940814209388,3.28431175011506,0.00103133922188149,0.0909766204514244,-1.06432282125787
il25,combined_vs_hc,-0.0579989606841303,-0.0186513430326636,-3.25161563770348,0.00115726837487685,0.0990825952725445,-1.16706318035858
plxdc1,combined_vs_hc,-0.0641058607595944,0.0257651885130749,-3.20935032517792,0.00134113039852532,0.11154373114592,-1.29835790366534
lrrc38,combined_vs_hc,-0.0766556285147723,0.0293082976538916,-3.15209062547248,0.00163334749656668,0.132074293402933,-1.47350661753425
fabp2,combined_vs_hc,-0.148089171815753,0.123129048844965,-3.13326590053072,0.0017415455622492,0.137017273829931,-1.53040352955342
vsig10,combined_vs_hc,-0.057639202253967,0.0385538570222994,-3.09480143200332,0.00198340090310551,0.151938948130004,-1.64560652161008
fabp1,combined_vs_hc,-0.160889476671796,0.16511325367721,-3.03623706926065,0.0024113324778658,0.179984329309419,-1.81829072871106
dnajb8,combined_vs_hc,0.09188774947811,0.072943082535024,2.97513813961944,0.00294652391736592,0.210981778543775,-1.99494916242354
