protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
eda2r,post_onset_vs_hc,0.304507309982152,0.141558222419014,6.05804931834073,2.23023338305516e-09,6.49220937807357e-06,10.9567633314599
myom2,post_onset_vs_hc,0.340283416098421,0.0885501393253212,5.68036661151906,1.95825937355136e-08,1.78467847179669e-05,8.93589252256393
hspb6,post_onset_vs_hc,0.325321415041961,0.143671996145188,5.67557327655483,2.01145180154041e-08,1.78467847179669e-05,8.91100240216413
coro6,post_onset_vs_hc,0.264547630652665,0.0471183833205698,5.640020151062,2.45232356138329e-08,1.78467847179669e-05,8.72698433824109
myom3,post_onset_vs_hc,0.663468665194145,0.23973642486703,5.44894589486649,6.98475169198466e-08,3.75765047678718e-05,7.75609904624102
dtnb,post_onset_vs_hc,0.248222583104207,0.086980632269514,5.42976998482922,7.74507140526384e-08,3.75765047678718e-05,7.66035338885308
mybpc1,post_onset_vs_hc,0.495543222870399,0.249486417189921,5.38376354359812,9.91130429007132e-08,4.1216866840568e-05,7.43190521316653
nefl,post_onset_vs_hc,0.336991076826251,0.129068225994208,5.12703755990997,3.79599641993654e-07,0.000138126819730441,6.19000654821782
rbfox3,post_onset_vs_hc,0.278166358785983,0.112819379787791,5.06137448241946,5.30310992872804e-07,0.000171526144472526,5.88137444772103
itgav,post_onset_vs_hc,-0.118826983834151,-0.00421807274867271,-4.9787212807204,8.03533041545737e-07,0.000233908468393964,5.49813379069341
csrp3,post_onset_vs_hc,0.599359605663048,0.258289801679801,4.87479032376996,1.34364397062087e-06,0.000355577054407033,5.02456787323118
capn3,post_onset_vs_hc,0.218206095490026,0.0549632453152997,4.81582183880986,1.79124759705323e-06,0.000434526812918497,4.76001829539594
actn2,post_onset_vs_hc,0.36061848373555,0.176806615566252,4.77595106360529,2.17190221330526e-06,0.000486339026379356,4.58285102059922
neb,post_onset_vs_hc,0.195349374224017,0.0488239570076388,4.68130902154868,3.41249024028246e-06,0.000696961379646957,4.16782671824609
ca3,post_onset_vs_hc,0.388367914112008,0.0947019035573611,4.67050429424932,3.59135029017669e-06,0.000696961379646957,4.12094093182099
myl3,post_onset_vs_hc,0.425941766563188,0.237771801307679,4.5674839828642,5.81526580406387e-06,0.00105801492222687,3.67900722370011
mylpf,post_onset_vs_hc,0.30077026414641,0.182060293043158,4.55376035351844,6.19651733796833e-06,0.00106106246887211,3.62083538496395
aldh3a1,post_onset_vs_hc,0.495997592912647,0.212204574089353,4.53656093279923,6.70824866787176e-06,0.00108487288178748,3.54816292705881
klhl41,post_onset_vs_hc,0.259412607751316,0.0887002576622165,4.51411558172505,7.43724328807116e-06,0.00113946395850396,3.45371434237584
art3,post_onset_vs_hc,-0.233982167171593,0.0363523559045858,-4.48840313052746,8.36565756671645e-06,0.00121762145883558,3.34606038204724
megf10,post_onset_vs_hc,0.26121494228956,0.030418046208911,4.47112443854023,9.05085055779944e-06,0.00125462028446448,3.2740428835795
chchd10,post_onset_vs_hc,0.210131170300175,0.100837148704045,4.28222915215211,2.10383637725423e-05,0.0027837580428123,2.50385276338415
mb,post_onset_vs_hc,0.332942713700167,0.217458654331731,4.204759002934,2.94643396267464e-05,0.00372916055015038,2.19708696096627
serpinb5,post_onset_vs_hc,-0.278051005194351,-0.0278908954964142,-4.17496889283764,3.34915584830936e-05,0.00406224694767856,2.08053955698873
dnajb8,post_onset_vs_hc,0.308537564461184,0.0630575939946587,3.97455369809823,7.76923551936341e-05,0.00904649783874676,1.31696976470311
