protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
nefl,pre_onset_vs_hc,0.451789237711892,0.168767659061145,14.951157209528,6.69622791041952e-49,1.94927194472312e-45,96.6429786495361
mybpc1,pre_onset_vs_hc,0.205475730391052,0.224589909256916,4.89860744955569,1.01327267885314e-06,0.00147481838407075,5.26845370501735
myom3,pre_onset_vs_hc,0.231073059094025,0.160756472223221,4.18068796299849,2.98448099169602e-05,0.0289594138894237,2.1840248811298
csrp3,pre_onset_vs_hc,0.233957119719815,0.252762909887046,4.0819098025712,4.5763568835732e-05,0.0322124534319208,1.79735121021713
hs6st2,pre_onset_vs_hc,0.0774182150279982,0.0532193912393029,4.03735808056842,5.53288447817259e-05,0.0322124534319208,1.62594283433811
calcb,pre_onset_vs_hc,0.0857787522471098,0.041269417156874,3.93801658249744,8.39161488351515e-05,0.0373229433068314,1.25043896660411
itgav,pre_onset_vs_hc,-0.045385998825413,0.00619056450946149,-3.8985611461386,9.87588791751645e-05,0.0373229433068314,1.10386928906018
megf10,pre_onset_vs_hc,0.103926953919316,0.00939343937792146,3.88933530037307,0.000102570782018087,0.0373229433068314,1.06980775082762
thbs4,pre_onset_vs_hc,0.11542479939025,0.0506996021876154,3.78408427853843,0.000157112722890813,0.0508172373705731,0.686881060573677
mb,pre_onset_vs_hc,0.131393259683175,0.183152943334149,3.70075758783282,0.000218590337061856,0.060930416376293,0.39110105101682
egflam,pre_onset_vs_hc,-0.0653225602232004,0.00990098521759653,-3.6875029566211,0.000230242040583725,0.060930416376293,0.344653461736205
myl3,pre_onset_vs_hc,0.156007643545319,0.188400871533294,3.6542445042923,0.000262097197655807,0.0635804118646713,0.228834647455526
ca3,pre_onset_vs_hc,0.144531828558633,0.122935439396886,3.57943153230011,0.000349475681604387,0.0736097258866704,-0.0278910909545562
ccnd2,pre_onset_vs_hc,-0.0720807930610876,-0.0189302439978153,-3.57604412514936,0.000354014483824592,0.0736097258866704,-0.0393906064294303
cd248,pre_onset_vs_hc,-0.0814824873128258,0.0487075891218413,-3.55246628280724,0.000387167674948984,0.0740276209559248,-0.119133162039696
hspa2,pre_onset_vs_hc,0.0668678664800564,0.0249641319511706,3.53932427489325,0.000406884897043901,0.0740276209559248,-0.163353646797465
smoc2,pre_onset_vs_hc,0.0779133349466363,0.0800402846084723,3.32479197395981,0.000894853679396205,0.153230532983668,-0.86222061092453
hspb6,pre_onset_vs_hc,0.0833148516015802,0.149324646878173,3.27257612142477,0.00107708733495568,0.165566761620591,-1.0257589105265
mylpf,pre_onset_vs_hc,0.0915398329219389,0.12025119389783,3.26901471279625,0.00109069013518547,0.165566761620591,-1.03681948609697
vwa5a,pre_onset_vs_hc,-0.139310007781995,0.141787715630019,-3.25705927097854,0.00113752498536992,0.165566761620591,-1.07386173739544
fabp3,pre_onset_vs_hc,0.0913367032164428,0.147129343569118,3.049920499831,0.00230784095282265,0.298735722160929,-1.69424641662925
amdhd2,pre_onset_vs_hc,-0.0442910443269733,-0.027978164083504,-3.04722475765159,0.00232857897932073,0.298735722160929,-1.70205329174699
shbg,pre_onset_vs_hc,-0.0978075825777354,-0.015816122030366,-3.04313970994621,0.00236033033655148,0.298735722160929,-1.71387052184358
dtnb,pre_onset_vs_hc,0.0637215223746133,0.0708783276905488,3.02491064697171,0.00250690753233546,0.304066992776188,-1.76641153442693
ttn,pre_onset_vs_hc,0.102030991330777,0.169953071960083,2.93649315458363,0.00334322225940485,0.357715180163801,-2.01680156211873
coro6,pre_onset_vs_hc,0.06244349355038,0.0512700870914756,2.93589139024064,0.00334969663170578,0.357715180163801,-2.01848040089291
itgb5,pre_onset_vs_hc,-0.0595391316018893,0.0312142321951321,-2.92806904671357,0.00343490277209078,0.357715180163801,-2.04027252108271
ckmt1a_ckmt1b,pre_onset_vs_hc,-0.132693058802856,0.00191434416864002,-2.92753868934656,0.00344075061648452,0.357715180163801,-2.04174794098162
lcp1,pre_onset_vs_hc,-0.0801215857991116,0.0821700624771671,-2.914191881977,0.00359093337050587,0.360455415225606,-2.07879039409156
