protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
NEFL,-8,0.192806146793771,-0.0932590980718924,0.478871391659435,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-7.75,0.191525337039722,-0.0799272546050046,0.462977928684448,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-7.5,0.190246094242463,-0.0670511533947546,0.447543341879681,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-7.25,0.188969985358788,-0.0547226153730607,0.432662586090637,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-7,0.187698577345487,-0.0430403144110956,0.41843746910207,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-6.75,0.186433437159353,-0.0321093229081056,0.404976197226811,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-6.5,0.185176131757176,-0.0220397427902219,0.392392006304573,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-6.25,0.183928228095748,-0.0129440031922262,0.380800459383722,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-6,0.182691293131861,-0.00493239999294667,0.370314986256668,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-5.75,0.181466893822306,0.00189340269755578,0.361040384947055,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-5.5,0.180256597123874,0.00744880816545723,0.353064386082291,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-5.25,0.179061969993358,0.0116759201785885,0.346448019808128,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-5,0.177884579387549,0.0145528728281971,0.341216285946901,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-4.75,0.176725992263238,0.0161008106962176,0.337351173830259,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-4.5,0.175587775577217,0.016386560003562,0.334788991150872,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-4.25,0.174471496286277,0.0155199463695462,0.333423046203008,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-4,0.17337872134721,0.0136461712054851,0.333111271488935,-0.0057761220984011,-0.484760424807479,0.473208180610676
