protein,log2fc,se,t_stat,p_value,fdr,n_cases,n_controls,mean_cases,mean_controls,significant_fdr05,significant_fdr10
nefl,0.259950651831646,0.022081263212439275,8.381058337442791,5.3876009026038834e-17,1.5704856631090322e-13,484,46889,0.19633037190082644,-0.0017704131032864846,True,True
omg,-0.28916458761426916,0.034739342278662544,-7.074166954920679,1.5238215635806935e-12,2.220969928918861e-09,486,47948,-0.2738042181069959,-0.004637103737382164,True,True
itgam,-0.17938378994225418,0.01609621994581972,-6.681578374862071,2.3892137951597563e-11,2.3215194042968964e-08,487,48193,-0.1533425051334702,0.011815589400950344,True,True
ca6,-0.2569022450379996,0.03288466376756562,-6.536827223147378,6.345878735310293e-11,4.624559128357376e-08,487,48040,-0.312565092402464,-0.0016900978351373846,True,True
cst5,-0.21162061396686255,0.028473368117461192,-5.911559140033494,3.4118110097760373e-09,1.98908581869943e-06,481,47263,-0.21100218295218295,0.040094438567166706,True,True
itga11,-0.15594597226412585,0.01785544741250892,-5.579127136269171,2.430127204573967e-08,1.1806368002221857e-05,489,48109,-0.15519406952965234,-0.00607750732711135,True,True
itgb2,-0.13645333332760468,0.01446843019060184,-5.256188313013121,1.4769438703932163e-07,6.150416260280321e-05,485,47890,-0.11431154639175259,0.011952832532887868,True,True
il17rb,0.181021487325155,0.028038991695705957,5.1107703889835285,3.220762236967869e-07,0.00011735652400951675,483,47504,0.13767391304347826,-0.0018851591444930952,True,True
gfap,0.16114073640386847,0.023047088632172405,5.083163602683529,3.7260762166385826e-07,0.00012068346857223854,476,46963,0.14903497899159665,0.008989462981496072,True,True
ca14,-0.14254544180564924,0.01890582876635217,-4.991739361439563,6.004251128371127e-07,0.00017502392039201836,494,48576,-0.15954726720647774,0.006413947216732542,True,True
mstn,-0.1707835538765712,0.026971391140212356,-4.934012892736034,8.082765893660415e-07,0.000214193296182001,474,47281,-0.23584999999999995,0.01760224191535712,True,True
cda,-0.16195442259864634,0.023823943855588996,-4.890655593322688,1.0086743033471453e-06,0.0002450237995214107,444,42041,-0.18156204954954955,0.021297666563592683,True,True
