protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
itgav,combined_vs_hc,-0.0859255530969855,-0.0188320707255928,-9.69545597238121,4.84388914644273e-22,1.41005613052948e-18,39.0181568663109
nefl,combined_vs_hc,0.216510674890774,-0.0461388415122376,9.52855067615555,2.38229275628781e-21,3.46742710677691e-18,37.4790746375081
itgam,combined_vs_hc,-0.139600622162364,0.0113224364665154,-8.39511937904884,5.93963675154623e-17,5.76342752791703e-14,27.7120619658123
omg,combined_vs_hc,-0.278027194452215,-0.010572433494409,-8.05915757684374,9.45601637161795e-16,6.88161591444496e-13,25.0476626418714
ca14,combined_vs_hc,-0.14075169949833,-0.0165322054267192,-7.54017376550856,5.50790978360061e-14,3.20670507601228e-11,21.1404511580781
itgb2,combined_vs_hc,-0.106692457764653,0.0099935291116395,-7.19198954280833,7.293503199105e-13,3.53856463543244e-10,18.6616425801451
ca6,combined_vs_hc,-0.228255747600901,-0.0660491582138186,-6.69643808075272,2.36160382318823e-11,9.60832083048603e-09,15.3318379935878
cda,combined_vs_hc,-0.137451979684015,-0.0349910424769265,-6.67857340773497,2.66533773825551e-11,9.60832083048603e-09,15.2161552960721
lilrb4,combined_vs_hc,0.138261156601242,-0.0235855426501526,6.66252318505913,2.97062478441684e-11,9.60832083048603e-09,15.1124810218727
itga11,combined_vs_hc,-0.117372902102365,-0.0126444351435308,-6.50504276660461,8.4971149235274e-11,2.47351015423883e-08,14.1082638292322
cst5,combined_vs_hc,-0.180750433752785,-0.0178307453868809,-6.25898080690003,4.18639923028849e-10,1.10787346903362e-07,12.5864930917425
mxra8,combined_vs_hc,-0.0845722225697982,0.00770322104457484,-6.17743282532097,7.01173981908381e-10,1.70093121777941e-07,12.0949041203753
fap,combined_vs_hc,-0.0898546953547684,-0.0319621167396232,-6.10630042093595,1.09383070368032e-09,2.44933936801031e-07,11.6712885674302
gfap,combined_vs_hc,0.135036684319053,-0.00113481178081556,5.94906683235948,2.87336531671717e-09,5.97454745497406e-07,10.7520725529753
itgb5,combined_vs_hc,-0.0927404543086178,-0.0109614960946963,-5.83787318519088,5.6081937779925e-09,1.08836347251574e-06,10.116289058396
comp,combined_vs_hc,-0.0976574578234926,-0.0703894840946885,-5.72947222244001,1.06420076363095e-08,1.93618026433105e-06,9.50786809236751
ret,combined_vs_hc,-0.118394316298031,-0.00083953890655976,-5.63197045384301,1.87537849924294e-08,3.21130988899776e-06,8.97023768848882
il17rb,combined_vs_hc,0.15802016976241,-0.0143403436623876,5.61559448402231,2.06077363750931e-08,3.33272892154978e-06,8.88083339398773
mertk,combined_vs_hc,0.0729488830001868,-0.032946661275308,5.5883318256844,2.40958716244963e-08,3.69174117362678e-06,8.73256378846093
clec4a,combined_vs_hc,-0.107032487504819,-0.00917193481409823,-5.57169202075741,2.64997380607996e-08,3.85703687474938e-06,8.64241747905983
pepd,combined_vs_hc,-0.0663778670979642,-0.0147017140945998,-5.42525514427442,6.04975811398828e-08,8.38611708086661e-06,7.86054905844865
bcan,combined_vs_hc,-0.0969432616504965,0.0239716774741525,-5.35818551939962,8.76930365438966e-08,1.16033831536038e-05,7.50931737291951
gzma,combined_vs_hc,-0.0919862807733423,-0.00398710269329501,-5.30653495660487,1.16374026216968e-07,1.47289039268519e-05,7.24177704076194
itga2,combined_vs_hc,-0.0782898662806045,0.00905754500284458,-5.26438860322623,1.46323764138397e-07,1.77478532252865e-05,7.02536565395218
cd302,combined_vs_hc,0.0729902184700658,-0.0257856530483256,5.14552564898982,2.76597954577988e-07,3.2207065831061e-05,6.42422992046787
dner,combined_vs_hc,-0.0714174030518261,-0.00268130458024351,-5.09453703836124,3.61976585750147e-07,4.05274554276415e-05,6.17052456265966
got1,combined_vs_hc,-0.084824529186156,-0.0268854741257366,-5.0661080230786,4.2010055813083e-07,4.52930638784757e-05,6.03015546623136
hpgds,combined_vs_hc,-0.0955891712664857,-0.0194371676849128,-5.02716991072899,5.14505657386485e-07,5.34902131661449e-05,5.83915932441774
ache,combined_vs_hc,-0.0730853161170371,-0.0252565054768049,-5.00225987309124,5.85303672014168e-07,5.87523789390773e-05,5.71773785233998
klk6,combined_vs_hc,-0.0759842279438862,-0.0344857434225401,-4.97000146529607,6.91047609808763e-07,6.54105430639253e-05,5.56138500009669
tf,combined_vs_hc,-0.0504267266905485,0.00879993532897827,-4.9684494628572,6.96573972855268e-07,6.54105430639253e-05,5.5538878760586
enpp5,combined_vs_hc,-0.111255074597824,-0.0753936485280935,-4.89610769340315,1.00717497781578e-06,9.16214487631793e-05,5.20700616805863
tnxb,combined_vs_hc,-0.065180595817632,0.0135035000013736,-4.84061439653135,1.33192422622396e-06,0.000117491861289028,4.94432953638739
chga,combined_vs_hc,0.182211526561266,0.108169317456847,4.82501713241056,1.44000681687018e-06,0.000123289995409091,4.87103421326113
lgals9,combined_vs_hc,0.068400001022962,-0.019337126149639,4.78310580794329,1.77385744769866e-06,0.000147534258007166,4.67524392852714
igfbp2,combined_vs_hc,0.167674132693511,-0.0407368465440659,4.75015586823052,2.08737812633205e-06,0.000168787714604239,4.52250564508992
bag3,combined_vs_hc,-0.0925327405189781,-0.0618388108914333,-4.6703165839357,3.08324513647368e-06,0.000242576394385808,4.15675377340863
crtac1,combined_vs_hc,-0.0741532934198361,-0.0394731683667752,-4.65413565592762,3.33442334450615e-06,0.000254006794473229,4.08337634212636
nell2,combined_vs_hc,-0.06910305633033,0.0265386920488762,-4.64991840647029,3.40304533990242e-06,0.000254006794473229,4.06429339816737
lrrn1,combined_vs_hc,-0.0956269363864248,-0.0156634554273134,-4.64370240545094,3.50666559146109e-06,0.000255197588418581,4.03619742871266
il15,combined_vs_hc,0.0828275595431941,0.0025338054590876,4.63444870404676,3.66654825270392e-06,0.000260324925941978,3.99444025989547
arl13b,combined_vs_hc,0.112067445406927,0.0637558070447082,4.60035376166921,4.3181217857452e-06,0.00029928696472153,3.84130020957854
pla2g15,combined_vs_hc,0.0586643020670337,-0.0103665824936519,4.56209686982604,5.18122870721959e-06,0.00035075713410968,3.67080156615608
