protein,logFC_ms,t_ms,P.Value_ms,fdr_ms,logFC_ytd,t_ytd,P.Value_ytd,fdr_ytd,gap_5yr
a1bg,-0.0297538881052469,-0.959666142831394,0.337395257592385,0.870092229513724,0.00339960087509197,0.892510380542293,0.372278628494512,0.998656629238247,-0.012755883729787
aamdc,0.00159753421442626,0.0251352782410228,0.979950779062558,0.995040916261799,0.00169885028609474,0.217569258942801,0.827797645482461,0.998656629238247,0.0100917856449
aarsd1,0.19677385301988,1.99730820668165,0.0459922991801303,0.615751349324486,-0.0122742228806888,-1.01409956854741,0.310717114943033,0.998656629238247,0.135402738616436
abca2,-0.0166656426215692,-0.253515047580925,0.799908869698429,0.972088761475552,0.0012120884950051,0.150080719360256,0.880723369778879,0.998656629238247,-0.0106052001465437
abhd14b,-0.0248957416664725,-0.287432706700306,0.773825173214805,0.966748209297077,0.00665298060782736,0.625224905042558,0.531929217603277,0.998656629238247,0.00836916137266429
abl1,-0.075408507049484,-1.13585587566632,0.256218665286952,0.846701300972208,0.00477387546525214,0.585305853958503,0.558439984118292,0.998656629238247,-0.0515391297232233
abo,0.218254421497203,0.848248628823255,0.396450022419266,0.880278102554032,-0.0177508583417668,-0.561549920146859,0.574515996704545,0.998656629238247,0.129500129788369
abraxas2,-0.0819836839186538,-1.05590671297747,0.291199922747071,0.857347717772405,0.0130132689002167,1.3642483006442,0.172717010623353,0.998656629238247,-0.0169173394175701
acaa1,-0.0971022847113287,-0.734718094514988,0.462638909879285,0.89023613545086,0.000215816439645947,0.0132918278178487,0.989396933726541,0.999781041994087,-0.0960232025130989
acadm,-0.0690461229803488,-0.54668648918946,0.584684560640832,0.931591441262835,0.0172582900059751,1.112258419433,0.266225253444846,0.998656629238247,0.0172453270495268
acadsb,-0.0995263358126224,-0.938659182202797,0.348073806810371,0.870092229513724,0.0207776039378802,1.59504991056461,0.110935340905581,0.998656629238247,0.0043616838767787
acan,-0.00253438755888954,-0.0427512750756982,0.965906132769076,0.993583710559187,-0.00115788296377271,-0.158982603358941,0.873706380477553,0.998656629238247,-0.0083238023777531
ace,0.00914672481186332,0.209599936875953,0.834011581333017,0.972088761475552,-0.00715407999819673,-1.33440672668739,0.182295820292608,0.998656629238247,-0.0266236751791203
ace2,-0.225445530754393,-2.52069674093497,0.0118268394136451,0.559369288684172,0.0226404809035207,2.06050424216742,0.0395417707721982,0.998656629238247,-0.11224312623679
ache,-0.0932602819413751,-1.6056959180516,0.108574814515147,0.75612747620477,0.0047324626178141,0.663227716648414,0.507298050315224,0.998656629238247,-0.0695979688523046
acot13,0.18288668135311,1.86291924161307,0.0626908649452215,0.663355327548491,-0.00958858403863126,-0.795015002234606,0.426744643389231,0.998656629238247,0.134943761159954
acox1,-0.0792888244605801,-0.965851523635859,0.334291619000036,0.869938992572789,0.00517850198945346,0.513465695251354,0.607709694638129,0.998656629238247,-0.0533963145133128
acp1,-0.0397377404358921,-0.52553716490926,0.599296205611637,0.935969748750578,0.0067775915250754,0.729599541154693,0.465761681519064,0.998656629238247,-0.00584978281051506
acp5,-0.111145190136077,-1.75405024102902,0.0796489837030446,0.688557354995083,0.00724480033109988,0.93065062245226,0.352200851878864,0.998656629238247,-0.0749211884805772
acp6,0.100256224641425,0.742651138926474,0.45782223205178,0.88668042008901,-0.00775960837201757,-0.467866773504081,0.639955450310149,0.998656629238247,0.0614581827813371
