protein,comparison,logFC,AveExpr,t,P.Value,adj.P.Val,B
nefl,pre_onset_vs_hc,0.227361114050922,-0.100256233733809,5.44661931467147,6.09323447765814e-08,0.000177374055644628,7.61009929235038
erbb2,pre_onset_vs_hc,-0.107397944331602,-0.0566025513814174,-4.50951826302614,7.06104714629668e-06,0.0102773541214348,3.41475223661031
ptprc,pre_onset_vs_hc,-0.0746763315260332,0.00194757711462921,-3.87773380600149,0.00011050639435829,0.0892710133267078,1.01818045266919
scly,pre_onset_vs_hc,-0.1535097799916,-0.0624594996000126,-3.78150776267467,0.000162691263556964,0.0892710133267078,0.684047030858659
setmar,pre_onset_vs_hc,-0.0915210003784986,-0.0650022713431594,-3.70817444513245,0.000217220973698438,0.0892710133267078,0.43491578278239
pi3,pre_onset_vs_hc,0.192226577115903,-0.0432969170632936,3.67005810590404,0.000251945345933307,0.0892710133267078,0.307309998638712
bgn,pre_onset_vs_hc,-0.395572442632744,0.153338581630622,-3.66996788454698,0.000252033400830814,0.0892710133267078,0.307009486194696
osm,pre_onset_vs_hc,0.259665949031428,0.0010445793894362,3.61903651176726,0.000306627741983327,0.0892710133267078,0.138519798917941
kctd5,pre_onset_vs_hc,-0.107194469359593,-0.0290010644219235,-3.59480351365437,0.000336329280813835,0.0892710133267078,0.0591623515834296
arl13b,pre_onset_vs_hc,0.173290099129,0.0722585939043048,3.59201563636192,0.000339914041892979,0.0892710133267078,0.0500661922329559
tgfa,pre_onset_vs_hc,0.161444939017382,0.0668142805771845,3.57519017274224,0.000362319910936926,0.0892710133267078,-0.00468440947654614
mmp9,pre_onset_vs_hc,0.224267352404763,-0.027160200271473,3.55823943993611,0.000386284967744825,0.0892710133267078,-0.0595879763320433
spock1,pre_onset_vs_hc,-0.0936871277085867,-0.0371964651098442,-3.54986267365538,0.000398668214787771,0.0892710133267078,-0.086625999381825
omg,pre_onset_vs_hc,-0.238384694219476,-0.00558111955333181,-3.49374627581779,0.000491693434706793,0.0973559421677789,-0.266144198867993
clec5a,pre_onset_vs_hc,0.0986974210063353,0.0014078913936109,3.48833485341954,0.000501662360878284,0.0973559421677789,-0.283307254761358
gbp1,pre_onset_vs_hc,-0.171266239487861,-0.0271120023440927,-3.47006188641776,0.000536736217535325,0.0976524455778332,-0.341069631208194
pkd1,pre_onset_vs_hc,-0.0796829679427187,-0.0309144283717113,-3.37181573082836,0.000767866693273982,0.116055417587619,-0.646530680384089
cda,pre_onset_vs_hc,-0.134380989655404,-0.0455060471444756,-3.37117704656759,0.000769634154304679,0.116055417587619,-0.648488266309356
gzma,pre_onset_vs_hc,-0.116377867276103,-0.0228650269057442,-3.3652658972087,0.000786172739359255,0.116055417587619,-0.666588831023412
il1rap,pre_onset_vs_hc,0.154067196801504,0.136883024988996,3.34065148542344,0.000858654290137502,0.116055417587619,-0.741625344364373
pglyrp1,pre_onset_vs_hc,0.139352838071248,0.0106598113896894,3.33411070228382,0.000878932346357231,0.116055417587619,-0.761473795730839
rnf41,pre_onset_vs_hc,-0.13831528350031,0.0137876003842765,-3.32703019784335,0.00090138409042008,0.116055417587619,-0.782916996270152
hgfac,pre_onset_vs_hc,-0.0793131489593318,-0.0274002670223116,-3.31457714232968,0.000942167419961858,0.116055417587619,-0.820522236673534
adgre5,pre_onset_vs_hc,-0.0975433983094575,-0.0310945130447904,-3.30706772293345,0.000967580844820021,0.116055417587619,-0.84313191583195
fgl1,pre_onset_vs_hc,0.192816595472242,0.0374947589178469,3.29868569120571,0.000996697162380788,0.116055417587619,-0.868309380244862
kir3dl1,pre_onset_vs_hc,-0.393521473072634,-0.0239312169057869,-3.25145029578816,0.00117652812775053,0.121841693806939,-1.0090181946783
mucl3,pre_onset_vs_hc,0.125331781073939,0.0792524606222833,3.24518608171226,0.00120251215485698,0.121841693806939,-1.02752873720006
ppbp,pre_onset_vs_hc,0.193752546673405,-0.0662861741074601,3.24412184096714,0.00120697902502402,0.121841693806939,-1.03067004503234
kynu,pre_onset_vs_hc,-0.128834820402315,-0.064685655678946,-3.24250070337192,0.00121381282047449,0.121841693806939,-1.03545319228993
pdgfa,pre_onset_vs_hc,0.19118666289771,-0.0536359757904998,3.17098852121713,0.00155338413744421,0.150344322452748,-1.24410916922934
fgfbp3,pre_onset_vs_hc,-0.0963439795776594,-0.0256821145420962,-3.15786849407826,0.00162447529991459,0.150344322452748,-1.28189336519072
bdnf,pre_onset_vs_hc,0.201259905893093,-0.0931421596661383,3.14548584982662,0.0016943088944621,0.150344322452748,-1.31741256442699
fgfr2,pre_onset_vs_hc,-0.05818049300118,-0.0313513061295077,-3.13698305896849,0.00174385116689403,0.150344322452748,-1.34172299492026
robo1,pre_onset_vs_hc,-0.071788032096135,0.0119570270606532,-3.13493249057243,0.00175599689570368,0.150344322452748,-1.34757610562999
tarbp2,pre_onset_vs_hc,-0.114188059471865,-0.0199000327510405,-3.11343507856515,0.00188809874428736,0.151658533430032,-1.40871118844947
dpp6,pre_onset_vs_hc,-0.110234280035902,0.00428151942409957,-3.09943246188256,0.00197899608430843,0.151658533430032,-1.44830956334058
mmp8,pre_onset_vs_hc,0.221426806390657,0.0212186682926486,3.09618595406525,0.00200063698449354,0.151658533430032,-1.45746535129774
cd8a,pre_onset_vs_hc,-0.154846662528344,0.0252769846020176,-3.08690471850634,0.00206370973385534,0.151658533430032,-1.48358813408565
acy1,pre_onset_vs_hc,-0.163676022738957,-0.105320231398617,-3.08335893508782,0.00208828425052316,0.151658533430032,-1.49354763735229
bcan,pre_onset_vs_hc,-0.108277091589211,0.043304882356787,-3.08101441623723,0.00210468051572008,0.151658533430032,-1.50012680124713
trim21,pre_onset_vs_hc,-0.190164157553768,-0.111178073543336,-3.07074753353919,0.00217788275161023,0.151658533430032,-1.52887956535979
clec4d,pre_onset_vs_hc,0.183340339001378,-0.0125530796208666,3.06189003101216,0.00224290581764709,0.151658533430032,-1.55360935398921
sel1l,pre_onset_vs_hc,0.0872355402937034,0.0170125133712829,3.06084623649819,0.0022506845042707,0.151658533430032,-1.55651895135855
wfdc2,pre_onset_vs_hc,0.111887499096765,0.00779767995667908,3.05124319371452,0.00232341922425367,0.151658533430032,-1.58324176396506
retn,pre_onset_vs_hc,0.120568300949456,0.0208240129080859,3.04852056515601,0.00234442940719733,0.151658533430032,-1.59080309152622
letm1,pre_onset_vs_hc,0.103620958974024,0.0194350534632322,3.03377472253906,0.0024612781443712,0.155756101701404,-1.6316399329034
spint2,pre_onset_vs_hc,0.112356566920105,-0.0366412210214989,3.0104119681824,0.00265737101886461,0.161611372460184,-1.69594081730921
col2a1,pre_onset_vs_hc,0.197418206320271,0.0318077108066389,3.00955380987158,0.00266483884510094,0.161611372460184,-1.69829338331873
ret,pre_onset_vs_hc,-0.124989415533305,0.0203140335440365,-3.00234371336186,0.00272834473160472,0.162085949259211,-1.71803312348373
b4gat1,pre_onset_vs_hc,-0.075305325271238,-0.00977884648329649,-2.98926782713085,0.00284705877330198,0.162851884706857,-1.7537131068313
plaur,pre_onset_vs_hc,0.0761406746663946,0.0017025266951668,2.98823795266221,0.00285660656146167,0.162851884706857,-1.75651678908867
ctla4,pre_onset_vs_hc,-0.0734576462426736,-0.022725841054646,-2.97851997768538,0.00294815183744675,0.162851884706857,-1.78292565805972
dkk4,pre_onset_vs_hc,-0.129622118246508,-0.0485617856015464,-2.97676031750007,0.00296501198538765,0.162851884706857,-1.78769851568622
kel,pre_onset_vs_hc,-0.105963232027129,-0.0614143626319298,-2.96269257055103,0.00310300133935458,0.167274757386318,-1.82575553253177
extl1,pre_onset_vs_hc,-0.124798054351047,0.0501586241106017,-2.95127849686573,0.00321924126073556,0.17038566018184,-1.85650303086697
pdgfb,pre_onset_vs_hc,0.20933519728548,-0.092758157032145,2.93121675524193,0.00343321625171689,0.175368437784637,-1.91026216617484
spag1,pre_onset_vs_hc,-0.140259076571029,0.0545240731532939,-2.93115705983483,0.00343387184944154,0.175368437784637,-1.91042159138118
got1,pre_onset_vs_hc,-0.101813722102367,-0.046996302818213,-2.9041026577282,0.00374301199726465,0.186547094296036,-1.98234464276815
cant1,pre_onset_vs_hc,0.0523615778372087,-0.0181930310314742,2.89470513795454,0.00385618417824049,0.186547094296036,-2.00717361421509
olr1,pre_onset_vs_hc,0.16693823149929,0.039405070512794,2.88729976575987,0.00394754818875675,0.186547094296036,-2.02668324158967
chp1,pre_onset_vs_hc,-0.164713126632342,0.0182087483921611,-2.87990678725302,0.00404071809170602,0.186547094296036,-2.04611103087971
sftpa2,pre_onset_vs_hc,0.162432495327912,0.0779448651726098,2.879864056966,0.00404126235971837,0.186547094296036,-2.04622317767838
itgav,pre_onset_vs_hc,-0.0518131596320973,-0.0345409271889887,-2.87622304196988,0.00408788445274552,0.186547094296036,-2.05577308956139
pglyrp2,pre_onset_vs_hc,-0.080369582295816,-0.0471958863556029,-2.8751788752055,0.0041013445671406,0.186547094296036,-2.05850960432499
faslg,pre_onset_vs_hc,-0.115577283772772,0.0230691398178809,-2.85510988044774,0.00436799738012952,0.195619082670108,-2.11091515726231
mtif3,pre_onset_vs_hc,0.121147718020959,0.00117009455379566,2.84803470691729,0.00446569208437402,0.196964085721406,-2.12930396535207
lilrb4,pre_onset_vs_hc,0.118383093251399,-0.0394094606528458,2.83704952372087,0.00462130913680176,0.200785535779551,-2.15776588089452
il1a,pre_onset_vs_hc,0.15151138959729,0.060633058529554,2.81470538413755,0.0049531017462491,0.205649080859825,-2.21532307099678
shbg,pre_onset_vs_hc,0.139247613153898,0.0590459572416993,2.8121729896196,0.00499203549056624,0.205649080859825,-2.22181802197349
smoc1,pre_onset_vs_hc,-0.0850823350501989,-0.0897184548022175,-2.80949259286148,0.00503354627763653,0.205649080859825,-2.22868627296229
ambp,pre_onset_vs_hc,0.0559766273874973,-0.0471854333887267,2.8086339644678,0.00504690961031165,0.205649080859825,-2.23088505549491
nfasc,pre_onset_vs_hc,-0.0766253971781809,-0.0416372171872042,-2.80425370680105,0.0051155831448599,0.205649080859825,-2.24209172646205
pomc,pre_onset_vs_hc,-0.172836580096599,-0.0324610722039096,-2.80162994179234,0.00515712226134224,0.205649080859825,-2.24879622712541
pcbd1,pre_onset_vs_hc,-0.0868061612646991,-0.0257063384231522,-2.79330112622474,0.00529101266109928,0.206161051181549,-2.2700377688358
clstn3,pre_onset_vs_hc,-0.0725719213200632,-0.000587341534580167,-2.79203717381766,0.00531160386074069,0.206161051181549,-2.27325585415893
mmp1,pre_onset_vs_hc,0.238850019645869,-0.117681569204269,2.78249191486215,0.00546946141434023,0.206545281948385,-2.29751210629588
adamts4,pre_onset_vs_hc,0.077727446661105,-0.044940818425078,2.77755483921935,0.00555276233464299,0.206545281948385,-2.31002592918877
angpt1,pre_onset_vs_hc,0.210307124828412,-0.0742538244702548,2.77034120725552,0.00567653596729285,0.206545281948385,-2.32827058905386
itgb2,pre_onset_vs_hc,-0.0789991065410002,-0.0162680664067232,-2.7606575899967,0.00584660663099569,0.206545281948385,-2.35268863336898
mavs,pre_onset_vs_hc,-0.138359265546314,0.0544491895830125,-2.75752756198785,0.005902553836471,0.206545281948385,-2.3605631964999
l1cam,pre_onset_vs_hc,-0.084836305135268,-0.0308583726284002,-2.75692516831714,0.00591337649663751,0.206545281948385,-2.36207769331915
stk24,pre_onset_vs_hc,-0.108321697622365,0.0334470245303945,-2.75594495610645,0.00593102535437637,0.206545281948385,-2.36454137690133
mvk,pre_onset_vs_hc,-0.122055466106282,-0.0656344675957572,-2.7544082374244,0.00595878985613483,0.206545281948385,-2.36840205215784
cd248,pre_onset_vs_hc,-0.101555050081853,-0.059252018272604,-2.75433678234427,0.00596008371132406,0.206545281948385,-2.368581515926
cd34,pre_onset_vs_hc,-0.0645060096157627,-0.00639197480434127,-2.74665645275916,0.00610063992003684,0.208928974202674,-2.38784431354682
c2,pre_onset_vs_hc,-0.0653309764479507,-0.0223867070421318,-2.72993728125995,0.00641699964741384,0.21656454634187,-2.42959338981897
il5ra,pre_onset_vs_hc,0.161110430968168,-0.0266817041314676,2.72708687017755,0.00647238596074981,0.21656454634187,-2.43668595831249
reg1b,pre_onset_vs_hc,0.164532541734002,0.0234581406079749,2.70858441531926,0.00684249483728853,0.222402593218571,-2.48254688630599
crx,pre_onset_vs_hc,0.310297710625443,0.39855741969571,2.70181843118307,0.00698251980195721,0.222402593218571,-2.4992402810528
fcgr3b,pre_onset_vs_hc,0.136887269903344,-0.00458642851965731,2.69948000017,0.00703151046718554,0.222402593218571,-2.50500018655347
rasa1,pre_onset_vs_hc,-0.0924644857668381,-2.92155660126756e-05,-2.69599923732631,0.00710500565768039,0.222402593218571,-2.5135646967201
rrm2,pre_onset_vs_hc,-0.122579382565769,0.0451369901127626,-2.69448562346945,0.00713717997531487,0.222402593218571,-2.51728557673833
serpine1,pre_onset_vs_hc,0.153997401661284,-0.0882892250166327,2.6940049139095,0.00714742559860325,0.222402593218571,-2.5184668611912
pf4,pre_onset_vs_hc,0.206318284537117,-0.0739900301380063,2.69240266001987,0.00718167082189821,0.222402593218571,-2.52240269812584
man1a2,pre_onset_vs_hc,-0.058932445350921,-0.0319350235878981,-2.66190026294588,0.00786234489368108,0.238960684330218,-2.59688846208893
