cell_type,NGenes,direction,pval,padj,contrast,cluster
Macrophages,247,Up,0.0196008254647669,0.352814858365805,C1_vs_None,C1
monocytes,193,Up,0.132113166407422,0.824626755094795,C1_vs_None,C1
Pericytes,91,Up,0.165105269236697,0.824626755094795,C1_vs_None,C1
Oligodendrocyte precursor cells,223,Up,0.200635805880799,0.824626755094795,C1_vs_None,C1
Plasma cells,118,Up,0.231659466599639,0.824626755094795,C1_vs_None,C1
Oligodendrocytes,168,Up,0.274875585031598,0.824626755094795,C1_vs_None,C1
dendritic cells,128,Up,0.366021858907084,0.854966543812031,C1_vs_None,C1
Microglial cells,197,Up,0.438401631450405,0.854966543812031,C1_vs_None,C1
Astrocytes,195,Up,0.470940170345624,0.854966543812031,C1_vs_None,C1
B-cells,122,Up,0.551649745598024,0.854966543812031,C1_vs_None,C1
NK-cells,145,Up,0.565630284759997,0.854966543812031,C1_vs_None,C1
T-cells,156,Up,0.620619604420999,0.854966543812031,C1_vs_None,C1
Excitatory neurons,251,Up,0.651510467075988,0.854966543812031,C1_vs_None,C1
Fibroblasts,79,Up,0.664973978520469,0.854966543812031,C1_vs_None,C1
Inhibitory neurons,257,Up,0.759289932097699,0.861669216851459,C1_vs_None,C1
Smooth muscle,138,Up,0.765928192756852,0.861669216851459,C1_vs_None,C1
granulocytes,121,Up,0.840173899881869,0.889595893992567,C1_vs_None,C1
Endothelial,260,Down,0.966754866714116,0.966754866714116,C1_vs_None,C1
