cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Astrocytes,195,-1.5389367395797,-0.33498566333258,0.00149487486879822,0.00448462460639466,"NCAN,TLR4,PCDH7,PDGFRB,KIAA1549L,BRSK2,SCG3,FAM171B,SNAP25,TMPRSS5,GLI2,GPC5,ADAM23,SEZ6L,NCAM2,PTPRZ1,DNM3,IL33,NXPH3,EDNRB,JAM2,WASF3,UNC5D,TNR,SORCS2,DCUN1D2,BOC,EPHA4,GP6,UNC79,KIAA0319,THTPA,RYR1,TAFA5,PXDNL,IL17D,BCAN,AMY2B,AMOT,IL17RB,PLXNB3,TMEM132A,ADGRB3,NRGN,PNMA2,PAMR1,NELL2,GRIK2,IKZF2,NRXN3,MYBPC1,IGDCC3,HSD17B3,THSD1,AGT,NEFL,STX1B,ANK2,CHRM1,SORBS1,NTRK3,RNF31,CADPS,PON1,PRTFDC1,DPP6,LRRN1,ANGPT1,RGMA,RNF43,RAB11FIP3,PRKG1,PRSS53,SYTL4,SNED1,LEPR,IGDCC4,LRP2BP,MYOM1,GFAP,GAD1",0.45505986738723,C0_vs_None,C0
B-cells,122,1.5201216206467,0.293725866622313,0.00371753369383367,0.00836445081112577,"CD83,LCP1,IFI30,GKN1,SELL,CD200R1,ORM1,COCH,TCL1A,SIT1,CD80,TNFSF8,CD5,SERPINA9,LY75,PF4,RAB37,FCRL1,CHIT1,TNFRSF17,SLAMF8,ITGB7,BLNK,CD70,APBB1IP,CLEC10A,CD1C,MNDA,PPBP,IL16,SLAMF7,IL5RA,CLEC4C,JCHAIN,A1BG,HCLS1,FCER1A,MZB1,PIK3AP1,IGLC2,FCER2,IL2RA",0.431707695803346,C0_vs_None,C0
Endothelial,260,-0.997884449461439,-0.212024092564036,0.477223427331887,0.522159548751007,"HS6ST2,FES,ESM1,CLEC1A,PON3,NPR1,DAND5,CD160,IL20RA,AHNAK2,SPINK8,ART5,DIPK2B,PTPRR,KAZALD1,ISM1,ROBO4,ECSCR,IL1RL1,DLL4,NXPH3,ADIPOQ,GRP,MYOM3,KRT14,SCARF2,CRTAC1,GPIHBP1,CEACAM16,IL15RA,IGFBP1,TDGF1,POSTN,LCN15,PGR,CDH5,GP6,TNXB,IGFBP3,KRT8,PHOSPHO1,SERPINA5,CD34,GIPC3,ICAM2,PCDH12,PLA2G4A,CA4,GGACT,F7,MET,CEACAM19,PRTG,BMP4,GBP6,C1QTNF9,SCGB3A1,SCARF1,CHRM1,SMPDL3B,FLI1,WNT9A,CCL23,ESAM",0.051530912208539,C0_vs_None,C0
Excitatory neurons,251,-1.87178616466421,-0.397837381848981,1.21633512035425e-07,2.18940321663765e-06,"LRTM2,SLITRK1,HS6ST2,NCAN,PCDH7,KIAA1549L,GPR158,FGF9,BRSK2,VGF,ART3,VWC2L,SUSD5,SCG3,FAM171B,IGSF21,DTNB,SNAP25,TMPRSS5,AMIGO1,EXTL1,CA7,SPINK8,GPC5,ADAM23,SUSD4,SEZ6L,MAP2,VIPR1,CNTNAP4,IL1RL2,PTPRR,CORO6,SYT1,NCAM2,ENPP5,DLG4,PDZD2,DNM3,APLP1,SCG2,NRN1,CRTAC1,UNC5D,TNR,SORCS2,NPTX1,ENO2,GFRA2,SCN2A,DCUN1D2,PTPRN2,EPHA4,EPHB6,GP6,UNC79,ITGA11,KIAA0319,THTPA,TAFA5,PXDNL,IL17D,BCAN,AMY2B,CNTN4,EHD3,ADGRB3,NRGN,PNMA2,PAMR1,CLIP2,SH3GL3,NELL2,GRIK2,CHGA,NRXN3,IL12RB2,RBFOX3,DSCAM,PDE5A,DDX25,THY1,WASF1,CEACAM19,NEFL,STX1B,ANK2,CLSTN2,VSTM2L,CHRM1",0.690132458796796,C0_vs_None,C0
Fibroblasts,79,0.993950385547179,0.208496369672754,0.493150684931507,0.522159548751007,"GPHA2,MME,CILP,C1S,LAMA1,CES1,ADH1B,KRT18,SELE,FABP4,CXCL10,RBP5,SERPINA3",0.131457611642763,C0_vs_None,C0
Inhibitory neurons,257,-1.79979663208403,-0.382159964531722,1.39816198165639e-06,6.29172891745377e-06,"LRTM2,SLITRK1,HS6ST2,NCAN,PCDH7,KIAA1549L,GPR158,FGF9,BRSK2,VGF,VWC2L,SUSD5,SCG3,FAM171B,IGSF21,DTNB,SNAP25,AMIGO1,EXTL1,SPINK8,GPC5,ADAM23,SUSD4,SEZ6L,MAP2,CRHBP,CNTNAP4,PTPRR,CORO6,SYT1,NCAM2,ISM1,CALB1,PTPRZ1,PDZD2,DNM3,APLP1,SCG2,CRTAC1,MEPE,CRH,JAM2,WASF3,UNC5D,TNR,FLT3,SORCS2,NPTX1,ENO2,POSTN,SCN2A,DCUN1D2,PTPRN2,EPHA4,GP6,UNC79,KIAA0319,THTPA,TAFA5,PXDNL,NGF,IL17D,BCAN,AMY2B,CNTN4,ADGRB3,PNMA2,NPY,CLIP2,SH3GL3,NELL2,GRIK2,NRXN3,IL12RB2,RBFOX3,DSCAM,PDE5A,DDX25,THY1,WASF1,ACAN,CEACAM19,NEFL,STX1B,ANK2,CLSTN2,VSTM2L,CHRM1,ELAVL4,SORBS1,KAZN,NTRK3,GLP1R,PTH,RNF31,CADPS,NT5C1A,SEMA6C,CLEC2L,LUZP2,PRTFDC1",0.643551836150722,C0_vs_None,C0
Macrophages,247,1.81086374432119,0.314977009439393,7.27222016955971e-07,5.29190017031973e-06,"MRC1,CD83,ASGR1,LCP1,MARCO,CEACAM3,CST7,IFI30,GPNMB,VNN2,CD5L,HMOX1,CLEC4A,CSF2RA,CD300A,SELL,CD200R1,TNFSF13B,LRRC25,FCN1,LILRA5,HAVCR2,KYNU,CD80,TNFSF8,CXCL16,CD300LF,CXCL9,ADGRE1,LY96,NCF2,LILRA6,FABP4,CFP,CXCL10,TREM2,FOLR2,FBP1,CHIT1,AZU1,MSR1,SELPLG,CCL13,SIGLEC7,SLAMF8,HGF,KRT6C,ITGB7,FCGR2A,LILRB5,CRTAM,APBB1IP,CLEC10A,CD1C,MNDA,CXCL11,OSCAR,CD36,GIMAP8,CSF3R,VMO1,PPBP,HPSE,LPO,LAIR1,APOBR,CCL7,SLAMF7,IL18R1,MMP12,LILRA2,LYVE1,HCLS1,FCER1A,PADI4,FCGR3B,SIGLEC1,CSF1R,CPVL,PIK3AP1,CD209,ITGAL,IGLC2,CD300C,FCER2,IL2RA",0.659444398037935,C0_vs_None,C0
Microglial cells,197,-1.43433660697764,-0.311977494300631,0.00868855918824979,0.0173771183764996,"PEAR1,NCAN,CLEC1A,KIAA1549L,VGF,VWC2L,CYTL1,IGSF21,DTNB,SNAP25,ASPN,GPC5,SEZ6L,DIPK2B,ISM1,ROBO4,DLL4,PDZD2,DNM3,TLR2,TREML1,GRP,GPIHBP1,JAM2,UNC5D,CD226,SCN2A,DCUN1D2,CDH5,EPHA4,UNC79,ITGA11,RYR1,CD84,PXDNL,LAMA4,CD34,ADGRB3,NRGN,GIPC3,PAMR1,CLIP2,GRIK2,PCDH12,PLA2G4A,DSCAM,PDE5A,HSD17B3,THSD1,NEFL,PRTG,DCDC2C,SCARF1,ELAVL4,FLI1,PLCB2,SORBS1,NTRK3,LTBP2,RNF31",0.380730400722792,C0_vs_None,C0
NK-cells,145,1.08627439919584,0.206299901265019,0.262773722627737,0.394160583941606,"LCP1,KLRF1,CST7,FLT3LG,VNN2,CD300A,CD7,SELL,HBQ1,HAVCR2,TNFSF8,SKAP1,CD5,PF4,RAB37,SELPLG,LAIR2,IFNG,TXK,SIGLEC7,ADA,ITGB7,CRTAM,APBB1IP,CD3G,PPBP,BATF,LAIR1,TNFRSF9,APOBR,IL16,SLAMF7,IL18R1,CSF2,HCLS1,PADI4,XCL1,FCGR3B,B3GNT7,CCL5,PIK3AP1,ITGAL,IL2RA",0.237793834423688,C0_vs_None,C0
Oligodendrocyte precursor cells,223,-1.60525970785698,-0.346231886372023,0.000194921960573378,0.000701719058064159,"SLITRK1,HS6ST2,NCAN,PCDH7,KIAA1549L,GPR158,BRSK2,VWC2L,SUSD5,SCG3,FAM171B,CSPG4,IGSF21,DTNB,SNAP25,EXTL1,SPINK8,GPC5,ADAM23,SUSD4,SEZ6L,MAP2,CNTNAP4,NCAM2,PTPRZ1,PDZD2,DNM3,MOG,SCG2,CRTAC1,JAM2,WASF3,UNC5D,TNR,SCN2A,DCUN1D2,PTPRN2,UNC79,THTPA,SMOC1,TAFA5,PXDNL,NGF,IL17D,BCAN,AMY2B,LAMA4,IL17RB,CNTN4,EHD3,PLXNB3,ADGRB3,PNMA2,CLIP2,NELL2,GRIK2,IKZF2,NRXN3,IGDCC3,DSCAM,PDE5A,WASF1,PRTG,STX1B,ANK2,CLSTN2,CHRM1,ELAVL4,VCAN,SORBS1,KAZN,NTRK3,RNF31,CADPS,CLEC2L,LUZP2,PRTFDC1,DPP6,ANGPTL2,LRRN1,HDAC9",0.518848077743792,C0_vs_None,C0
