cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Fibroblasts,2915,173,90,10,2.04074125837447,0.038306694667125,0.0638349934449545,"ACTA2,AKAP12,CYTL1,F10,IL34,MXRA8,PCDH7,PDGFRB,PEAR1,TTR",0.104457262000835,down,C0_vs_None,C0
Excitatory neurons,2915,1114,90,42,1.43062895826643,0.0598186652797431,0.0989972858515694,"AKAP12,ALDH5A1,ARG2,ARL2BP,ART3,BRSK2,CDC123,CHGB,CHM,CSDE1,DKK3,DTNB,EXTL1,FAM171B,FGF9,GABARAP,GNPDA2,GPR158,HDGF,HS6ST2,IGSF21,IL34,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PODXL2,PRRT3,RAP1A,RGMB,SCG3,SLITRK1,SNAP25,SNX2,SUSD5,TTN,VGF,VWC2L,WASL",0.13707316502525,down,C0_vs_None,C0
Inhibitory neurons,2915,1145,90,42,1.36586823117676,0.0896089531100144,0.154670063329525,"AKAP12,ALDH5A1,AMIGO1,ARG2,ARL2BP,BRSK2,CDC123,CHGB,CHM,CSDE1,DKK3,DTNB,FAM171B,FGF9,GABARAP,GNPDA2,GPR158,HDGF,HS6ST2,IGSF21,IL34,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PENK,PODXL2,PRRT3,RAP1A,RGMB,SCG3,SLITRK1,SNAP25,SNX2,SUSD5,TTN,VGF,VWC2L,WASL",0.198861509995104,down,C0_vs_None,C0
Oligodendrocyte precursor cells,2915,1015,90,34,1.14119588211283,0.310721726991773,0.574707016645878,"AKAP12,ALDH5A1,ARL2BP,BRSK2,CDC123,CHM,CSDE1,CSPG4,DKK3,DTNB,FAM171B,GABARAP,GNPDA2,GPR158,HS6ST2,IGSF21,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PODXL2,PON3,RAP1A,RGMB,SCG3,SLITRK1,SNAP25,SNX2,SUSD5,TTN,WASL",0.646545393726612,down,C0_vs_None,C0
Smooth muscle,2915,724,90,23,1.04012298568343,0.47770793316704,0.901405005378066,"ACTA2,AKAP12,ARL2BP,BRSK2,CDC123,CHM,CSDE1,CSPG4,DKK3,F10,GABARAP,GNPDA2,IL34,LPP,MCTS1,MXRA8,NAPRT,PDGFRB,PEAR1,RAP1A,SNX2,SUSD5,WASL",0.901405005378066,down,C0_vs_None,C0
Pericytes,2915,321,90,9,0.894955962513135,0.673327994552073,0.865265913289532,"CSPG4,DKK3,F10,IL34,LPP,MXRA8,PDGFRB,PEAR1,TTN",0.901405005378066,down,C0_vs_None,C0
Astrocytes,2915,1116,90,31,0.842688751117159,0.807677629911945,0.509033813061993,"AKAP12,ALDH5A1,BRSK2,CDC123,CHM,CSDE1,DKK3,DTNB,FAM171B,FGF9,GABARAP,GNPDA2,GPR158,HDGF,KIAA1549L,LPP,MAPRE3,MCTS1,MYL6B,NCAN,PCDH7,PDGFRB,PON3,RAP1A,SCG3,SNAP25,SNX2,TLR4,TMPRSS5,TTN,WASL",0.610840575674392,down,C0_vs_None,C0
Oligodendrocytes,2915,1062,90,25,0.663243674316794,0.969447244066712,0.0949182443447917,"ARL2BP,BRSK2,CDC123,CHM,CSDE1,DKK3,DTNB,FAM171B,GABARAP,GNPDA2,GPR158,GPR37,HDGF,KLK6,LPP,MAPRE3,MCTS1,PCDH7,PODXL2,RAP1A,SLITRK1,SNAP25,SNX2,TMPRSS5,WASL",0.13707316502525,down,C0_vs_None,C0
Microglial cells,2915,1150,90,25,0.581298803252583,0.993045271365211,0.0214442427841545,"ACTA2,AKAP12,CDC123,CHM,CLEC1A,CSDE1,CYTL1,DKK3,DTNB,FAM171B,GABARAP,HDGF,IGSF21,KIAA1549L,LPP,PCDH7,PDGFRB,PEAR1,RAP1A,SNAP25,SNX2,TLR4,TTN,VGF,WASL",0.0385996370114782,down,C0_vs_None,C0
Endothelial,2915,1019,90,21,0.557259346178326,0.994341235019187,0.01834668000041,"ACTA2,AKAP12,ARL2BP,CDC123,CHM,CLEC1A,CSDE1,FES,GABARAP,GNPDA2,HDGF,LPP,MCTS1,MYL6B,NAPRT,PDGFRB,PEAR1,RAP1A,SNX2,TTN,WASL",0.0366933600008199,down,C0_vs_None,C0
