cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Pericytes,2915,321,67,12,1.79231672952778,0.0586016034089939,0.0750940165601798,"APOE,ARMCX2,BST2,C1R,C1S,CD83,FUOM,FZD10,KIRREL1,PTGR1,SOD3,TSPAN8",0.10251720194367,up,C0_vs_None,C0
Fibroblasts,2915,173,67,7,1.88446873416759,0.0993361147592364,0.115134786010078,"C1R,C1S,GPNMB,ICAM1,IL6,KIRREL1,SOD3",0.138161743212094,up,C0_vs_None,C0
Smooth muscle,2915,724,67,15,0.87030904630969,0.72486081145323,0.774819735706423,"APOE,ARMCX2,C1R,COQ7,FZD10,GPNMB,IL6,KIRREL1,LSM8,LTA4H,PTGR1,SNU13,SOD3,TSPAN8,VEGFB",0.774819735706423,up,C0_vs_None,C0
Macrophages,2915,1416,67,28,0.75526519903887,0.894227908873666,0.268763389064295,"APOE,ASGR1,BLOC1S2,BST2,C1R,C1S,CD83,CDCP1,COQ7,CST7,EDEM2,FAM20A,FUOM,GPNMB,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,MARCO,MRC1,PTGR1,QSOX1,RBKS,SNU13,TNFRSF10B,VEGFB",0.284573000185724,up,C0_vs_None,C0
Plasma cells,2915,1224,67,23,0.71692582987892,0.922050809001599,0.212479481611277,"ALMS1,APOE,BLOC1S2,BST2,C1R,C1S,CD83,COQ7,CST7,EDEM2,FGA,FUOM,GKN1,GPNMB,ICAM1,IFI30,LCP1,LSM8,LTA4H,QSOX1,SNU13,TNFRSF10A,VEGFB",0.239039416812686,up,C0_vs_None,C0
monocytes,2915,1227,67,21,0.621663465175673,0.97458169798308,0.0797356015117435,"ASGR1,BLOC1S2,BST2,CD83,COQ7,CST7,EDEM2,FUOM,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,MARCO,MN1,QSOX1,RBKS,SNU13,TNFRSF10A,TNFRSF10B",0.10251720194367,up,C0_vs_None,C0
Microglial cells,2915,1150,67,19,0.601023949024247,0.979391255636855,0.0758753657254001,"ALMS1,APOE,ARMCX2,BLOC1S2,BST2,C1R,C1S,CD83,FAM20A,GPNMB,GTF2IRD1,KIRREL1,LCP1,LSM8,MRC1,PTGR1,SNU13,TNFRSF10B,VEGFB",0.10251720194367,up,C0_vs_None,C0
B-cells,2915,1205,67,20,0.597282444450698,0.981668374412192,0.0596147043519574,"APOE,BLOC1S2,BST2,C1S,CD83,COQ7,CST7,EDEM2,FGA,FUOM,ICAM1,IFI30,IL6,LCP1,LSM8,LTA4H,SNU13,TNFRSF10A,TNFRSF10B,VEGFB",0.0975513343941122,up,C0_vs_None,C0
granulocytes,2915,1277,67,21,0.578753006745747,0.987315125578589,0.0455802565519467,"APOE,BLOC1S2,BST2,C1R,CD83,COQ7,CST7,EDEM2,FUOM,GPNMB,ICAM1,LCP1,LSM8,LTA4H,PTGR1,QSOX1,RBKS,SNU13,TNFRSF10A,TNFRSF10B,VEGFB",0.082044461793504,up,C0_vs_None,C0
Oligodendrocyte precursor cells,2915,1015,67,15,0.533180140210391,0.990949319625107,0.0370789557576955,"ALMS1,APOE,ARMCX2,BLOC1S2,GPNMB,GTF2IRD1,LSM8,LTA4H,MN1,MORN4,PTGR1,QSOX1,RBKS,TNFRSF10B,VEGFB",0.0741579115153909,up,C0_vs_None,C0
