cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Macrophages,2915,1416,90,20,0.292552905501575,0.99999995601977,2.61112294848385e-07,"ACTA2,AKAP12,ARL2BP,CD207,CDC123,CHM,CSDE1,FES,GABARAP,HDGF,IGSF21,LPP,MCTS1,MYL6B,NAPRT,RAP1A,SNX2,TLR4,TTN,WASL",2.35001065363547e-06,down,C0_vs_None,C0
monocytes,2915,1227,90,15,0.266276014870585,0.999999959687994,2.094732276908e-07,"ARG2,ARL2BP,CDC123,CHM,CSDE1,FES,GABARAP,HDGF,LPP,MCTS1,NAPRT,RAP1A,SNX2,TLR4,WASL",2.35001065363547e-06,down,C0_vs_None,C0
NK-cells,2915,1142,90,16,0.326353485243733,0.999997588312283,1.38151002719729e-05,"ARL2BP,CD160,CDC123,CHM,CSDE1,FES,GABARAP,GNPDA2,HDGF,LPP,MCTS1,NAPRT,PDGFRB,RAP1A,SNX2,WASL",6.21679512238781e-05,down,C0_vs_None,C0
Plasma cells,2915,1224,90,18,0.335731728522279,0.999997893683432,1.05897005046513e-05,"ACTA2,AKAP12,ALDH5A1,ARL2BP,CDC123,CHM,CRISP3,CSDE1,GABARAP,HDGF,LPP,MCTS1,MYL6B,NAPRT,PODXL2,RAP1A,SNX2,WASL",6.21679512238781e-05,down,C0_vs_None,C0
T-cells,2915,1271,90,20,0.359606818282015,0.999995057262393,2.07587480027955e-05,"ACTA2,ARL2BP,CD160,CDC123,CHM,CSDE1,DTNB,GABARAP,GNPDA2,HDGF,LPP,MCTS1,MYL6B,NAPRT,RAP1A,SCGB1A1,SNX2,TTN,TTR,WASL",7.47314928100638e-05,down,C0_vs_None,C0
Excitatory neurons,2915,1114,195,46,0.47765370056109,0.999997548868044,8.59232837607136e-06,"ADAMTS16,AGRN,ATP5IF1,ATRN,AZI2,C2CD2L,CAMLG,CD99L2,CTSF,CYB5A,DNER,FABP3,FAP,GALNT10,GAS2,GAS6,GRIN2B,ICAM5,IGSF3,IL10RB,JAM2,LAMA4,LGMN,LRRFIP1,LTBP3,MAMDC2,MPRIP,MTSS1,NEK7,NEXN,P4HB,PNMA2,PPP1R12B,PTGR1,PXDNL,REPS1,ROBO1,SCG3,SHISA5,SIRPA,SLMAP,SPON1,STX7,TAFA5,THRAP3,TIMP3",0.000154661910769285,up,C2_vs_None,C2
dendritic cells,2915,1115,90,17,0.366394133722265,0.999983187754149,9.33567138208267e-05,"ALDH5A1,ARL2BP,CDC123,CHM,CSDE1,DSG2,FES,GABARAP,GNPDA2,HDGF,LPP,MCTS1,MYL6B,NAPRT,PODXL2,RAP1A,SNX2",0.00028007014146248,down,C0_vs_None,C0
B-cells,2915,1205,90,20,0.395535886029075,0.999967601482987,0.00012655243689892,"ALDH5A1,ARL2BP,CDC123,CHM,CSDE1,DTNB,GABARAP,GNPDA2,HDGF,LPP,MCTS1,MYL6B,NAPRT,RAP1A,RGMB,SCGB1A1,SNX2,TTN,TTR,WASL",0.000325420552025794,down,C0_vs_None,C0
granulocytes,2915,1277,90,23,0.430186815872264,0.999912704428272,0.000334305341678734,"ACTA2,AKAP12,ALDH5A1,ARG2,ARL2BP,CDC123,CHM,CRISP3,CSDE1,EVPL,FES,GABARAP,HDGF,LPP,MAPRE3,MCTS1,MYL6B,NAPRT,RAP1A,SCGB1A1,SNX2,TTN,WASL",0.000752187018777151,down,C0_vs_None,C0
NK-cells,2915,1142,195,53,0.559108911025443,0.999895859833385,0.000340688164392814,"ADGRG1,AREG,ATP5IF1,AZI2,BOLA1,BTN2A1,CAMLG,CCL3,CCL4,CD74,CD83,CTSF,CYB5A,EPS8L2,F11R,FLT3LG,GADD45B,GALNT10,GZMH,HEG1,HTRA2,ICAM3,IL10RA,IL18,IL4R,ITGA5,ITGB7,LGALS1,LGALS9,LILRB1,LRRFIP1,LTBP3,MPRIP,MTSS1,NEK7,P4HB,PCNA,PECAM1,PTPRC,REPS1,SHISA5,SLMAP,SPON1,SPON2,STX7,TGFB1,TGFBR2,THRAP3,TNFRSF14,TNFRSF1A,TNFRSF1B,VEGFB,VNN2",0.00102206449317844,up,C2_vs_None,C2
T-cells,2915,1271,195,61,0.568196370953944,0.999900538702733,0.000316949684442047,"ADGRG1,AREG,ATP5IF1,AZI2,BTN2A1,CAMLG,CCL3,CCL4,CD74,CD83,COL18A1,COL3A1,CXCL16,CYB5A,EPS8L2,F11R,FLT3LG,GADD45B,GALNT10,GZMH,HEG1,HTRA2,ICAM3,IL10RA,IL2,IL4R,ITGA5,ITGB7,KRT19,LGALS1,LGALS4,LGALS9,LRRFIP1,LTBP3,LY96,MPRIP,MTSS1,NEK7,P4HB,PCNA,PECAM1,PLAUR,PPP1R12B,PTPRC,REPS1,RNASE1,SHISA5,SIT1,SLMAP,SPON2,STX7,TGFB1,TGFBR2,THRAP3,TIMP3,TNFRSF10B,TNFRSF12A,TNFRSF14,TNFRSF1A,TNFRSF1B,VEGFB",0.00102206449317844,up,C2_vs_None,C2
