from,to,combined_score
9606.ENSP00000232217,9606.ENSP00000232219,470
9606.ENSP00000232217,9606.ENSP00000232219,470
9606.ENSP00000249075,9606.ENSP00000265643,477
9606.ENSP00000249075,9606.ENSP00000265643,477
9606.ENSP00000260227,9606.ENSP00000266085,922
9606.ENSP00000260227,9606.ENSP00000266085,922
9606.ENSP00000232217,9606.ENSP00000274024,473
9606.ENSP00000232217,9606.ENSP00000274024,473
9606.ENSP00000365756,9606.ENSP00000379691,505
9606.ENSP00000365756,9606.ENSP00000379691,505
9606.ENSP00000222381,9606.ENSP00000381250,888
9606.ENSP00000222381,9606.ENSP00000381250,888
