from,to,combined_score
9606.ENSP00000232217,9606.ENSP00000232219,470
9606.ENSP00000232217,9606.ENSP00000232219,470
9606.ENSP00000219235,9606.ENSP00000249075,507
9606.ENSP00000219235,9606.ENSP00000249075,507
9606.ENSP00000227752,9606.ENSP00000249075,688
9606.ENSP00000227752,9606.ENSP00000249075,688
9606.ENSP00000219235,9606.ENSP00000259607,807
9606.ENSP00000219235,9606.ENSP00000259607,807
9606.ENSP00000227752,9606.ENSP00000259607,445
9606.ENSP00000227752,9606.ENSP00000259607,445
9606.ENSP00000228918,9606.ENSP00000259607,680
9606.ENSP00000228918,9606.ENSP00000259607,680
9606.ENSP00000259526,9606.ENSP00000261405,700
9606.ENSP00000259526,9606.ENSP00000261405,700
9606.ENSP00000249075,9606.ENSP00000265643,477
9606.ENSP00000249075,9606.ENSP00000265643,477
9606.ENSP00000260227,9606.ENSP00000266085,922
9606.ENSP00000260227,9606.ENSP00000266085,922
9606.ENSP00000232217,9606.ENSP00000274024,473
9606.ENSP00000232217,9606.ENSP00000274024,473
9606.ENSP00000222381,9606.ENSP00000278222,715
9606.ENSP00000222381,9606.ENSP00000278222,715
9606.ENSP00000261405,9606.ENSP00000293379,755
9606.ENSP00000261405,9606.ENSP00000293379,755
9606.ENSP00000228918,9606.ENSP00000299855,414
9606.ENSP00000228918,9606.ENSP00000299855,414
9606.ENSP00000249075,9606.ENSP00000299855,548
9606.ENSP00000249075,9606.ENSP00000299855,548
9606.ENSP00000260227,9606.ENSP00000299855,787
9606.ENSP00000260227,9606.ENSP00000299855,787
9606.ENSP00000266085,9606.ENSP00000299855,918
9606.ENSP00000266085,9606.ENSP00000299855,918
9606.ENSP00000215631,9606.ENSP00000311697,414
9606.ENSP00000215631,9606.ENSP00000311697,414
9606.ENSP00000249075,9606.ENSP00000311697,663
9606.ENSP00000249075,9606.ENSP00000311697,663
9606.ENSP00000261405,9606.ENSP00000311697,461
9606.ENSP00000261405,9606.ENSP00000311697,461
9606.ENSP00000290401,9606.ENSP00000311697,400
9606.ENSP00000290401,9606.ENSP00000311697,400
9606.ENSP00000299855,9606.ENSP00000311697,429
9606.ENSP00000299855,9606.ENSP00000311697,429
9606.ENSP00000227752,9606.ENSP00000328133,910
9606.ENSP00000227752,9606.ENSP00000328133,910
9606.ENSP00000249075,9606.ENSP00000328133,654
9606.ENSP00000249075,9606.ENSP00000328133,654
9606.ENSP00000260227,9606.ENSP00000339328,453
9606.ENSP00000260227,9606.ENSP00000339328,453
9606.ENSP00000293379,9606.ENSP00000339328,506
9606.ENSP00000293379,9606.ENSP00000339328,506
9606.ENSP00000299855,9606.ENSP00000339328,660
9606.ENSP00000299855,9606.ENSP00000339328,660
9606.ENSP00000259607,9606.ENSP00000345359,451
9606.ENSP00000259607,9606.ENSP00000345359,451
9606.ENSP00000261405,9606.ENSP00000346537,568
9606.ENSP00000261405,9606.ENSP00000346537,568
9606.ENSP00000294288,9606.ENSP00000346537,487
9606.ENSP00000294288,9606.ENSP00000346537,487
9606.ENSP00000261973,9606.ENSP00000346634,424
9606.ENSP00000261973,9606.ENSP00000346634,424
9606.ENSP00000265643,9606.ENSP00000353198,563
9606.ENSP00000265643,9606.ENSP00000353198,563
9606.ENSP00000261405,9606.ENSP00000355751,476
9606.ENSP00000261405,9606.ENSP00000355751,476
9606.ENSP00000266085,9606.ENSP00000355751,538
9606.ENSP00000266085,9606.ENSP00000355751,538
9606.ENSP00000293379,9606.ENSP00000355751,781
9606.ENSP00000293379,9606.ENSP00000355751,781
9606.ENSP00000299855,9606.ENSP00000355751,496
9606.ENSP00000299855,9606.ENSP00000355751,496
9606.ENSP00000346537,9606.ENSP00000355751,431
9606.ENSP00000346537,9606.ENSP00000355751,431
9606.ENSP00000219235,9606.ENSP00000361359,611
9606.ENSP00000219235,9606.ENSP00000361359,611
