protein,logFC,AveExpr,t,P.Value,fdr,comparison
polr2a,-0.0806551686612063,0.0100756609274178,-3.25918605398808,0.00111809611362167,0.789223091137364,hla_interaction_all
ccl2,-0.161245428932277,0.0129087064623299,-3.24428553344545,0.00117825684350682,0.789223091137364,hla_interaction_all
ccl21,-0.124253154360001,0.020938460804883,-3.20835995590463,0.00133581392295826,0.789223091137364,hla_interaction_all
btn1a1,0.107048500961633,0.0392673361702187,3.12678883306655,0.00176831679468477,0.789223091137364,hla_interaction_all
elob,0.0886469213965314,0.0186755976916718,3.12007484818097,0.00180911533192282,0.789223091137364,hla_interaction_all
egfl7,-0.111098307857646,0.0174466365909346,-2.99552009839252,0.00274116192125372,0.789223091137364,hla_interaction_all
gcc1,0.0972269014241849,-0.0895831171031664,2.97022948393467,0.0029772368241086,0.789223091137364,hla_interaction_all
lbp,0.171491629436128,-0.0128553254688955,2.95325934639334,0.0031458908836663,0.789223091137364,hla_interaction_all
adcyap1r1,0.0999178697560427,0.0257475986520281,2.95309768290109,0.00314753860310599,0.789223091137364,hla_interaction_all
fgf16,-0.115907235196902,0.0314186180948359,-2.92613467356812,0.00343362144933354,0.789223091137364,hla_interaction_all
ctsl,0.0646722431549081,-0.000826302227522457,2.90101514354876,0.00372123764526032,0.789223091137364,hla_interaction_all
ruvbl1,-0.288816252138631,0.257171963256866,-2.89233254770519,0.0038256366731137,0.789223091137364,hla_interaction_all
espl1,0.134733085949788,0.096176961397879,2.86765867136793,0.00413700347127942,0.789223091137364,hla_interaction_all
pros1,0.0600344355669221,-0.00639532337587059,2.79483221351108,0.00519471339477491,0.789223091137364,hla_interaction_all
prnd,-0.120619566341843,0.0311645495473706,-2.79331359236441,0.00521916204805301,0.789223091137364,hla_interaction_all
abraxas2,0.101776368363442,0.0114443003822209,2.78838687406799,0.00529919589103558,0.789223091137364,hla_interaction_all
pdap1,0.104047571983415,-0.0551848947126658,2.78211417276588,0.00540269860799173,0.789223091137364,hla_interaction_all
f10,0.0638613035415651,-0.00890231945049171,2.76786310098912,0.00564466377923484,0.789223091137364,hla_interaction_all
muc13,0.129215818617605,-0.00047148909359523,2.74776420463194,0.00600254008126083,0.789223091137364,hla_interaction_all
pnma2,-0.101513598837802,0.00858201836464646,-2.74417587796382,0.00606854232515279,0.789223091137364,hla_interaction_all
casp4,0.393979305085796,0.428168716926345,2.74073859371586,0.00613237867268201,0.789223091137364,hla_interaction_all
ager,-0.112976864713276,0.00334324266666677,-2.72720485472353,0.00638964324237679,0.789223091137364,hla_interaction_all
fcrl6,0.181049751052386,-0.0254675568859722,2.71222719371596,0.0066856426187733,0.789223091137364,hla_interaction_all
btn3a2,0.0884094214407374,-0.0200033780040902,2.70992808051528,0.00673215489032378,0.789223091137364,hla_interaction_all
gipc2,0.0628473317702492,0.0146543653483071,2.70002646413889,0.00693581101381302,0.789223091137364,hla_interaction_all
prkab1,0.0998103860855753,0.038767422255931,2.69242539272007,0.00709588629413624,0.789223091137364,hla_interaction_all
