protein,logFC,AveExpr,t,P.Value,fdr,comparison
polr2a,-0.110294389601051,0.0100884719850622,-3.86927236065221,0.000109304295252129,0.318184803478946,hla_interaction_post
lbp,0.238792170226529,-0.013368662851466,3.57099999102357,0.000355967107783537,0.518110125378938,hla_interaction_post
alms1,-0.143012031062166,0.0352747827041469,-3.25495363882993,0.00113489109265646,0.941777020141661,hla_interaction_post
creld1,0.111394187170347,0.00368675990092992,3.20115525248324,0.00136966547149977,0.941777020141661,hla_interaction_post
muc13,0.17076455858665,-0.000175575833423606,3.15289018626216,0.00161761769175826,0.941777020141661,hla_interaction_post
egfl7,-0.130259854138061,0.017475898860671,-3.05118285098037,0.00228065680486333,0.984808809417994,hla_interaction_post
adcyap1r1,0.115253267640069,0.0257316759004689,2.95552619915872,0.00312287306746361,0.984808809417994,hla_interaction_post
ankmy2,-0.118271062312504,-0.021268513693109,-2.93213493877081,0.00336798782174275,0.984808809417994,hla_interaction_post
btn1a1,0.113371821426785,0.0392141544848297,2.87695112429838,0.00401714058236142,0.984808809417994,hla_interaction_post
il17c,-0.216373303028618,0.0906136378446539,-2.78354456749149,0.00537894244214409,0.984808809417994,hla_interaction_post
rcor1,-0.132578580277905,0.0701131382106435,-2.77960583076181,0.00544460134437769,0.984808809417994,hla_interaction_post
ap1g2,0.117210411421424,0.0207073134045725,2.72551443875168,0.00642245568063532,0.984808809417994,hla_interaction_post
scara5,0.0854220098162909,-0.00679649723162995,2.72139939888512,0.00650295200342013,0.984808809417994,hla_interaction_post
ctsl,0.0697588127167608,-0.000786238062950748,2.71760476297013,0.00657798382702817,0.984808809417994,hla_interaction_post
lrrc37a2,-0.115274485615048,0.00650639677293762,-2.71755047319315,0.00657906293174401,0.984808809417994,hla_interaction_post
timm10,0.0620015974596322,0.0304452062266278,2.71626528713979,0.0066046547986941,0.984808809417994,hla_interaction_post
ddx39a,-0.0571673588532888,0.00403446807522768,-2.68525921145192,0.00724983907896876,0.984808809417994,hla_interaction_post
fcrl6,0.206037503629525,-0.0252260600917862,2.68020068655714,0.00736030580690524,0.984808809417994,hla_interaction_post
pts,0.134223651161676,0.0620557357526158,2.6368673198949,0.00837024011860091,0.984808809417994,hla_interaction_post
fadd,-0.0881848288879909,-0.0272648611861155,-2.62171864327727,0.00875151245367533,0.984808809417994,hla_interaction_post
igfl4,-0.188256952979774,0.177398412052511,-2.61023365666396,0.00905083983851322,0.984808809417994,hla_interaction_post
xiap,-0.0755149193203155,0.0250461979648824,-2.60024040162737,0.00931869109379367,0.984808809417994,hla_interaction_post
metap2,-0.0834830426717389,-0.0623006527203856,-2.59621677939844,0.00942851911432849,0.984808809417994,hla_interaction_post
b4gat1,0.0740497707620489,0.00230652122279819,2.59479029603208,0.00946773248339131,0.984808809417994,hla_interaction_post
tjp3,-0.105090837608779,0.0269046697637626,-2.58280446451254,0.00980300567356605,0.984808809417994,hla_interaction_post
crybb1,0.0770757829721718,0.00466525706238221,2.58267964187525,0.00980655224275391,0.984808809417994,hla_interaction_post
tprkb,-0.161049787314653,0.0782190784278143,-2.57870856660367,0.00991998036907562,0.984808809417994,hla_interaction_post
ccl21,-0.114366537374739,0.0206711917918386,-2.5677522049304,0.0102390178544507,0.984808809417994,hla_interaction_post
lrfn2,-0.118121446769145,0.0483807061295081,-2.54290728671029,0.0109965398628341,0.984808809417994,hla_interaction_post
mdk,-0.122499946303356,0.0194021875121266,-2.47603298030587,0.0132885404617181,0.984808809417994,hla_interaction_post
btn3a2,0.0928107484911463,-0.0200028094958702,2.47111514855968,0.0134726770982704,0.984808809417994,hla_interaction_post
ngfr,-0.0712596299166413,0.00569515524536714,-2.46769727368614,0.0136019759437246,0.984808809417994,hla_interaction_post
myoc,0.127445519654913,-0.0138102880840964,2.44747751764138,0.0143895547455781,0.984808809417994,hla_interaction_post
mybpc2,0.200742570346528,0.221050179378103,2.43589675964374,0.0148585233941298,0.984808809417994,hla_interaction_post
elob,0.0794177563263937,0.0186083675713399,2.43049675751917,0.0150817664868611,0.984808809417994,hla_interaction_post
angptl1,0.0783385068935037,0.00346974767656682,2.42916974029569,0.0151370772565593,0.984808809417994,hla_interaction_post
gcc1,0.0913957878791122,-0.0894473141665819,2.42536857453844,0.0152965017926685,0.984808809417994,hla_interaction_post
ahsa1,-0.148523908309614,0.090491843623899,-2.42102008106312,0.0154806930464024,0.984808809417994,hla_interaction_post
dpp10,0.0973527137430163,0.020516186668965,2.41819979903855,0.0156011940654916,0.984808809417994,hla_interaction_post
vsig10,-0.084846667124088,0.0341120014188139,-2.40901896408686,0.0159991950032751,0.984808809417994,hla_interaction_post
itgb5,0.0835391872766665,0.00787620830003986,2.40298570233347,0.0162655803657236,0.984808809417994,hla_interaction_post
vim,-0.308937512151653,-0.148847735454891,-2.39819237763631,0.0164799895401306,0.984808809417994,hla_interaction_post
gba,-0.124782904238492,-0.0158647347629818,-2.38011791508311,0.0173109660492928,0.984808809417994,hla_interaction_post
f10,0.063233549456295,-0.00888154539296093,2.37993833047855,0.0173194035883524,0.984808809417994,hla_interaction_post
lrp2bp,-0.189341495537206,0.20053954444834,-2.37464872413174,0.0175695516085475,0.984808809417994,hla_interaction_post
