protein,logFC,AveExpr,t,P.Value,fdr,comparison
smpdl3a,0.516640450522325,-0.0393773825153086,3.98162532143315,6.85464995372713e-05,0.157554476101966,hla_interaction_pre
tnfsf13,-0.190594006860499,-0.00393999517852913,-3.87164270695938,0.000108247664790083,0.157554476101966,hla_interaction_pre
atxn2,0.651962064100616,0.204239133527839,3.64459666821958,0.000268094335809677,0.26014087051399,hla_interaction_pre
nxpe4,0.203094778633164,0.0301659778324351,3.52459872172948,0.000424519983990332,0.308944418348964,hla_interaction_pre
daam1,-0.235835633972807,0.00191285440256349,-3.39863239447256,0.000677787861380354,0.394608092895642,hla_interaction_pre
cd207,-0.23797510572159,-0.00283284811162573,-3.21070745224031,0.00132495945423824,0.642826161881255,hla_interaction_pre
gbp1,0.302162478363947,0.00622416647232079,3.06829666229582,0.0021540290791739,0.844767461138258,hla_interaction_pre
casp4,0.874188193078447,0.428510604327069,3.04583820047629,0.00232158697667677,0.844767461138258,hla_interaction_pre
nt5e,0.316276546125551,0.0539161308088632,2.99769900873271,0.00272165592622687,0.880304489027379,hla_interaction_pre
tnfrsf17,0.1999594594391,0.00578345491746649,2.95274105963039,0.0031511880205631,0.882287291362469,hla_interaction_pre
ccl2,-0.289417348301037,0.0132818515088723,-2.91536760544738,0.0035543431184997,0.882287291362469,hla_interaction_pre
enpep,0.211390387805886,0.0583981653064157,2.87457737803345,0.00404746618733175,0.882287291362469,hla_interaction_pre
ofd1,0.311181848469608,0.150169844661464,2.78570319810789,0.00534327292124785,0.882287291362469,hla_interaction_pre
nos3,-0.261380360259219,0.032674749662268,-2.7758288396309,0.0055082536720906,0.882287291362469,hla_interaction_pre
itga6,0.227110742635315,0.0454235995071836,2.7718097672964,0.00557671069141347,0.882287291362469,hla_interaction_pre
gal,-0.361110206996496,0.0252069936690544,-2.73980976542316,0.00614974972040553,0.882287291362469,hla_interaction_pre
gprc5c,0.247649437479869,0.0860224765012791,2.71950733254353,0.00654027947613385,0.882287291362469,hla_interaction_pre
clec7a,0.310912649245398,-0.0953344346058407,2.70923334164759,0.00674628549624871,0.882287291362469,hla_interaction_pre
ptprn2,-0.170942544816498,-0.00164695042949891,-2.7046704122019,0.00683963386941913,0.882287291362469,hla_interaction_pre
pak4,0.221531573669215,0.0587322427511651,2.68603039507678,0.00723314239448626,0.882287291362469,hla_interaction_pre
nucb2,-0.124892588354142,1.98745919746364e-05,-2.68487774982752,0.00725813007286969,0.882287291362469,hla_interaction_pre
hspa2,0.147184413869247,0.00797961502581876,2.68131564496909,0.00733584170104239,0.882287291362469,hla_interaction_pre
dnpep,0.252704178556053,0.00346769095727848,2.6601426168497,0.00781335655988536,0.882287291362469,hla_interaction_pre
atf2,-0.352372862433314,0.141824392019254,-2.64870806212102,0.00808265764975504,0.882287291362469,hla_interaction_pre
cinp,0.198064610612553,0.0459543613935032,2.64516871561823,0.00816768266407122,0.882287291362469,hla_interaction_pre
il7,0.226443234632953,-0.00790151378098203,2.63899789121499,0.00831783943829314,0.882287291362469,hla_interaction_pre
eif2ak2,0.225803501455841,-0.00117204850221947,2.62942412432,0.00855569249882598,0.882287291362469,hla_interaction_pre
clec4a,-0.184481858784248,-0.0136915751855337,-2.62809859270156,0.00858909920314604,0.882287291362469,hla_interaction_pre
