group,label,OR,OR_lo,OR_hi,pval,n_high,n_low,fdr,log2OR,log2OR_lo,log2OR_hi,direction,sig_star,star_x,star_hjust
Migraine,Migraine,0.271801825974848,0.0646838592585929,1.14211232060103,0.0753091222639904,3,9,0.606327289349612,-1.87937294667018,-3.95045043231233,0.191704538971975,Depleted in LILRB4-high,"",-4.00045043231233,1
Optic_neuritis,Optic neuritis,0.213397393999215,0.0196277648641164,2.32010359207581,0.204543827517817,1,3,0.606327289349612,-2.22838553675392,-5.67096029629065,1.21418922278281,Depleted in LILRB4-high,"",-5.72096029629065,1
Demyelinating_NOS,Demyelinating NOS,0.580198107152484,0.091748436721798,3.66905263534967,0.562905636151322,2,4,0.828092911316505,-0.78538250601498,-3.44617261332213,1.87540760129217,Depleted in LILRB4-high,"",-3.49617261332213,1
Neurological,Neurological,0.781547190266223,0.313113104567325,1.95078392345502,0.597398520835492,12,13,0.828092911316505,-0.355595108280942,-1.67524420474787,0.964053988185986,Depleted in LILRB4-high,"",-1.72524420474787,1
Eye,Eye disorders,0.510498965207945,0.191211575867782,1.36293627776274,0.179601330747398,10,14,0.606327289349612,-0.970020058154273,-2.38675822877836,0.44671811246981,Depleted in LILRB4-high,"",-2.43675822877836,1
Hypertension,Hypertension,1.52538564341496,0.646498418422432,3.59908283583163,0.335001315657829,21,13,0.606327289349612,0.609174026614549,-0.629281254220597,1.8476293074497,Enriched in LILRB4-high,"",1.8976293074497,0
Cardiovascular,Cardiovascular,1.64217826240335,0.599288222111767,4.49992064921166,0.334817536584315,13,8,0.606327289349612,0.715610743635889,-0.738678074170938,2.16989956144272,Enriched in LILRB4-high,"",2.21989956144272,0
Atopic,Atopic/allergic,1.17980193596466,0.493850103595224,2.81853258300992,0.709793923985576,15,15,0.828092911316505,0.238544681633214,-1.01785488225957,1.494944245526,Enriched in LILRB4-high,"",1.544944245526,0
Resp_infections,Resp. infections,1.68417576382751,0.76653865564842,3.70033263497274,0.19429368945289,24,17,0.606327289349612,0.752042708695366,-0.383569547744225,1.88765496513496,Enriched in LILRB4-high,"",1.93765496513496,0
Digestive,Digestive,0.922211678638086,0.432234383221884,1.96762315361639,0.834097850644019,26,26,0.898259223770482,-0.116830159123895,-1.21011425515017,0.976453936902382,Depleted in LILRB4-high,"",-1.26011425515017,1
Skin,Skin,0.568872978442218,0.195154617234492,1.65825677192599,0.301401978120072,7,11,0.606327289349612,-0.813821540473189,-2.35731049845688,0.729667417510506,Depleted in LILRB4-high,"",-2.40731049845688,1
Musculoskeletal,Musculoskeletal,0.962750402749225,0.44877213920033,2.06538743613947,0.922345940848761,31,29,0.922345940848761,-0.0547662733395879,-1.15594498196468,1.0464124352855,Depleted in LILRB4-high,"",-1.20594498196468,1
Gynaecological,Gynaecological,1.55707242095511,0.619360301721767,3.9144816310622,0.346472736771207,22,18,0.606327289349612,0.638836047129209,-0.691149179334518,1.96882127359294,Enriched in LILRB4-high,"",2.01882127359294,0
Urological,Urological,0.844491287949213,0.362559752715442,1.96702896579328,0.695209225051956,16,16,0.828092911316505,-0.243845555102025,-1.46370931260881,0.976018202404764,Depleted in LILRB4-high,"",-1.51370931260881,1
