icd10,block,direction,cluster,n_in,n_with,pct_in,pct_out,OR,pval,fdr
H46,H4,enriched,1,26,12,46.2,0,Inf,2.62799713357076e-07,7.09559226064104e-06
B27,B2,enriched,2,30,12,40,0,Inf,2.35360331521263e-06,3.17736447553705e-05
G51,G5,enriched,1,26,9,34.6,0,Inf,1.93683388744164e-05,0.000174315049869748
M50,M5,enriched,0,21,6,28.6,0,Inf,0.000228871461748174,0.00154488236680018
R20,R2,enriched,2,30,7,23.3,0,Inf,0.000846553950324374,0.00457139133175162
Z86,Z8,enriched,0,21,12,57.1,19.6,5.3101492846045,0.0021364591452069,0.00961406615343107
M45,M4,enriched,1,26,5,19.2,0,Inf,0.00332931551388653,0.0128416455535623
H25,H2,enriched,0,21,5,23.8,1.8,16.4238532425538,0.00503517215845983,0.014980097748663
E78,E7,depleted,2,30,8,26.7,4.3,7.95073573857927,0.00640796285703518,0.014980097748663
K76,K7,enriched,2,30,5,16.7,0,Inf,0.00721263965676367,0.014980097748663
N17,N1,enriched,2,30,5,16.7,0,Inf,0.00721263965676367,0.014980097748663
R26,R2,enriched,2,30,5,16.7,0,Inf,0.00721263965676367,0.014980097748663
R29,R2,enriched,2,30,5,16.7,0,Inf,0.00721263965676367,0.014980097748663
M25,M2,depleted,2,30,7,23.3,4.3,6.67147725002387,0.0154355003609144,0.0297684649817635
I10,I1,depleted,2,30,12,40,17,3.19653767629448,0.024827403805912,0.0446893268506417
M19,M1,depleted,2,30,6,20,4.3,5.49503244048355,0.0353295181935372,0.0596185619515941
L30,L3,depleted,2,30,4,13.3,2.1,6.9018775514834,0.0724038057852045,0.114994279776501
K21,K2,depleted,2,30,5,16.7,8.5,2.12774473618025,0.232678175093155,0.349017262639733
J06,J0,depleted,1,26,3,11.5,5.9,2.06555808890254,0.323885594974276,0.460258477068708
Z86,Z8,enriched,2,30,10,33.3,27.7,1.30305905026746,0.389064187106849,0.525236652594247
R79,R7,enriched,2,30,3,10,6.4,1.61890060462857,0.433369707126016,0.557189623447735
I10,I1,depleted,0,21,6,28.6,25,1.19708216619929,0.480714095517702,0.589967299044453
R79,R7,enriched,0,21,2,9.5,7.1,1.36253150714426,0.524725735107855,0.590316451996337
J06,J0,depleted,0,21,2,9.5,7.1,1.36253150714426,0.524725735107855,0.590316451996337
K21,K2,depleted,1,26,3,11.5,11.8,0.978538513142671,0.645275531604319,0.696897574132664
E78,E7,depleted,0,21,2,9.5,14.3,0.635054358127029,0.822512708742157,0.854147812924548
I10,I1,depleted,1,26,2,7.7,35.3,0.155933708824388,0.999091677794292,0.999091677794292
