feature,cluster,n_clust,n_with,pct_in,pct_out,OR,pval,fdr
F32,1,40,24,60,9.4,14.1458023957433,2.62593709298624e-10,7.6152175696601e-09
B27,1,40,12,30,0,Inf,7.91480594585204e-09,1.14764686214855e-07
M79,0,128,35,27.3,0,Inf,1.96270844194339e-05,0.000189728482721194
M54,0,128,33,25.8,2.5,13.4254470291393,0.00042852101335465,0.00310677734682121
F17,0,128,23,18,0,Inf,0.00113608974300064,0.00658932050940371
M25,0,128,28,21.9,2.5,10.8287890072491,0.00198181252186586,0.00957876052235166
D50,0,128,19,14.8,0,Inf,0.00402708611710353,0.0166836424851432
R10,0,128,17,13.3,0,Inf,0.00747039316563431,0.0270801752254244
G56,0,128,15,11.7,0,Inf,0.0137272016008211,0.0442320940470902
Z53,0,128,14,10.9,0,Inf,0.0185437635660215,0.0537769143414623
J18,1,40,7,17.5,5.5,3.63136297555301,0.0241161376751002,0.0604016066878743
J06,0,128,13,10.2,0,Inf,0.0249937682846376,0.0604016066878743
J22,0,128,18,14.1,2.5,6.33762516015846,0.0318505901989098,0.0649837975400578
H46,0,128,12,9.4,0,Inf,0.0336123090724437,0.0649837975400578
N93,0,128,12,9.4,0,Inf,0.0336123090724437,0.0649837975400578
J11,0,128,11,8.6,0,Inf,0.0451036967895185,0.0817504504310022
K80,0,128,10,7.8,0,Inf,0.0603930855317281,0.103023498848242
F41,1,40,8,20,10.9,2.02598940033987,0.114447263805892,0.184387258353937
R69,0,128,12,9.4,2.5,4.01149522234308,0.137034798526117,0.209158376697757
R07,0,128,16,12.5,5,2.70152935745901,0.146541974543845,0.212485863088576
B35,0,128,11,8.6,2.5,3.64679097597954,0.171508961677341,0.236845708982995
M51,0,128,10,7.8,2.5,3.28820571463216,0.213286972953825,0.281151009802769
N95,0,128,13,10.2,5,2.13969573482343,0.257487120187484,0.318269023227605
R51,0,128,9,7,2.5,2.93558181788463,0.263395053705604,0.318269023227605
Z72,0,128,12,9.4,5,1.95880452406678,0.30618061192293,0.355169509830599
D64,0,128,11,8.6,5,1.7809829702715,0.361116859009075,0.402784188894738
F41,0,128,14,10.9,20,0.493585997948581,0.955475672072063,0.999999999982975
J18,0,128,7,5.5,17.5,0.275378695749277,0.994675614024629,0.999999999982975
F32,0,128,12,9.4,60,0.0706923490109628,0.999999999982975,0.999999999982975
