cell_type,NGenes,direction,pval,padj,contrast,cluster
Macrophages,247,Up,0.0173675721694663,0.257521111087544,C0_vs_None,C0
dendritic cells,128,Up,0.0450046198710673,0.257521111087544,C0_vs_None,C0
monocytes,193,Up,0.048335947058868,0.257521111087544,C0_vs_None,C0
B-cells,122,Up,0.0572269135750097,0.257521111087544,C0_vs_None,C0
Fibroblasts,79,Up,0.0798907952736782,0.287606862985242,C0_vs_None,C0
Plasma cells,118,Up,0.106720656785823,0.32016197035747,C0_vs_None,C0
Endothelial,260,Up,0.140249888464605,0.342321453696611,C0_vs_None,C0
Astrocytes,195,Up,0.152142868309605,0.342321453696611,C0_vs_None,C0
granulocytes,121,Up,0.181505307586423,0.363010615172846,C0_vs_None,C0
Oligodendrocyte precursor cells,223,Up,0.407843074690848,0.670485173494609,C0_vs_None,C0
T-cells,156,Up,0.443831817179785,0.670485173494609,C0_vs_None,C0
NK-cells,145,Up,0.446990115663072,0.670485173494609,C0_vs_None,C0
Pericytes,91,Up,0.580722539178911,0.789490119777284,C0_vs_None,C0
Smooth muscle,138,Down,0.667243821409255,0.789490119777284,C0_vs_None,C0
Microglial cells,197,Up,0.676476475776963,0.789490119777284,C0_vs_None,C0
Excitatory neurons,251,Down,0.701768995357586,0.789490119777284,C0_vs_None,C0
Oligodendrocytes,168,Down,0.855964075709588,0.906314903692505,C0_vs_None,C0
Inhibitory neurons,257,Down,0.940529719166062,0.940529719166062,C0_vs_None,C0
