cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Astrocytes,195,1.25627165270986,0.200357930043276,0.047113391331335,0.464558342420938,"GRIK2,PXDNL,GAS2,PNMA2,NCAM2,DIPK1C,LEPR,MFAP3L,RNF31,CD109,LRRC37A2,TNC,DNER,PON1,EPHA4,SNED1,PRKCQ,TLR4,DPP6,NCAM1,PDGFRB,KCNIP4,IL33,BOC,PDE4D,IGDCC4,SCG3,LRRN1,CNTN1,CHL1,COL28A1,IKZF2,MAPT,ZNF75D,CDH4,CHRM1,TNR,ADAMTS13",0.321775918075361,C2_vs_None,C2
B-cells,122,-1.0312614722479,-0.254000886371412,0.417708333333333,0.749826026443981,"HHEX,EVI2B,SERPINA9,FMNL1,FCRL5,FCGR2B,SIGLEC10,SLAMF6,PIK3AP1,SLAMF1,CD27,APBB1IP,CD79B,FLI1,PLSCR3,RNASE6,TNFRSF13B,LAT2,CD80,FCER2,TNF,CD72,CCL22,CEACAM21,TIGIT,LTB,MZB1,IRAG2,CLEC7A,ARHGAP25,MNDA,IL5RA,CCL17,TNFSF8,SLAMF8,IFI30,PDCD1,FCER1A,LTA,FCRL1,IGLC2",0.055826471778749,C2_vs_None,C2
Endothelial,260,,0.186785394879639,,,"FLT1,VWF,ABO,SCGB3A1,CYP24A1,ADAMTS8,DKKL1,WNT9A,CD109,APOF,ADIPOQ,LPO,PCDH12,DIPK2B,BMP6,SNED1,CD300LG,FBLN2,ESM1,IL4R,IL3RA,DMP1,GCNT1,FAM3B,HMCN2,VTCN1,IL1R1,APOA1,PRTG,S100A14,CCL28,PON3,IL32,PI16,C1QTNF9,TNXB,CDH5,TDGF1,MYOC,AHSP,ITGB6,RASGRF1,ADGRF5,NPHS1,ROBO4,TCN2,ICAM5,FCRLB,IL15,BMP4",,C2_vs_None,C2
Excitatory neurons,251,,0.160181473943097,,,"GRIK2,PXDNL,GAS2,ADAMTS16,PNMA2,NCAM2,ADAMTS8,PDE1C,FGF12,RNF31,LRRC37A2,ITGA11,COL24A1,EPHA4,SNED1,PRKCQ,NPTX1,CNTNAP2,DPP6,NCAM1,IGFL4,KCNIP4,GRIN2B,MAMDC2,PDE4D,SCG3,LRRN1,CNTN1,FGF5,RASGRF1,CHL1,COL28A1,CD200,ICAM5,MAPT,ENPP5,CDH4,CHRM1,TNR,ADAMTS13",,C2_vs_None,C2
Fibroblasts,79,-1.21810222218054,-0.317633838119816,0.154852780806979,0.464558342420938,"FABP4,CILP,CXCL6,RBP5,SERPIND1,FNDC1,SERPINA3,GFRA1,VIT,TNFRSF11B,ADH1B,C1S,KRT18,PAMR1,KLK10,OGN,CXCL10,C1QTNF5,SELE,CES1",0.112378519110475,C2_vs_None,C2
Inhibitory neurons,257,,0.13765015717382,,,"GRIK2,PXDNL,GAS2,PNMA2,NCAM2,PDE1C,FGF12,RNF31,LRRC37A2,COL24A1,DNER,BMP6,EPHA4,SNED1,PRKCQ,NPTX1,CNTNAP2,HMCN2,DPP6,NCAM1,IGFL4,KCNIP4,GRIN2B,MAMDC2,PDE4D,RGS8,SCG3,LRRN1,CNTN1,RASGRF1,CHL1,COL28A1,CD200,ICAM5,MAPT,ZNF75D,CDH4,CHRM1,TNR,ADAMTS13",,C2_vs_None,C2
Macrophages,247,-0.965478727997846,-0.226295906284631,0.587109768378651,0.880664652567976,"CCL18,HHEX,PILRA,FABP4,CD244,CD300C,AIF1,MPO,ADAMTSL4,IL1RN,FCGR3B,EVI2B,MSR1,FMNL1,KYNU,CCL24,FCGR2B,CD300LF,CXCL11,CD4,CST7,SIGLEC10,SIGLEC15,ASGR1,NPL,PIK3AP1,SIGLEC1,CCL13,LAIR1,APBB1IP,FLI1,TLR2,SIGLEC8,CCL7,RELT,TREM2,SCARF1,CXCL16,RASSF2,CXCL10,RNASE6,VASH1,ACP5,LRRC25,COLEC12,LAT2,FCGR2A,CD80,CD101,FCER2,TNF,CD72,SIGLEC7,OTOA,CCL22,CEACAM21,TGFBI,PLA2G7,HAVCR2,CLEC7A,CD14,OSCAR,ADA2,ARHGAP25,MNDA,LILRA5,CD300E,RETN,CCL17,FOLR2,TNFSF8",0.03863723737086,C2_vs_None,C2
Microglial cells,197,-0.831041969143079,-0.19687961110567,0.849898580121704,0.910605621558968,"DTNB,ZHX2,PILRA,TGFB2,DLL4,HAVCR1,GABRA4,PKN3,MAD1L1,MSR1,DNM3,FNDC1,VIT,ROBO2,SIGLEC10,NPL,ST6GAL1,LRIG1,PIK3AP1,CACNA1C,APBB1IP,FLI1,TLR2,SIGLEC8,CA5A,CRELD1,PAMR1,GPIHBP1,SCARF1,CEP112,VASH1,CALY,CYTL1,COLEC12,GHR,HSD17B3,ARSB",0.0201218228563507,C2_vs_None,C2
NK-cells,145,0.801550607621603,0.142629552497791,0.96551724137931,0.96551724137931,"CCL3,CCL4,KIR3DL2,SELL,IL2RB,KLRC1,ITGAM,PRKCQ,LAIR2,IL2RG,ITGB7,FCRL3,SEMA4D,FASLG,IFNG,CD3E,ITGAL,KIR3DL1,FCRLB,IKZF2,CD5,LY9",0.271288554688953,C2_vs_None,C2
Oligodendrocyte precursor cells,223,1.02953191695751,0.1629808110974,0.359775173089615,0.749826026443981,"GRIK2,PXDNL,PNMA2,NCAM2,DIPK1C,PDE1C,FGF12,MFAP3L,RNF31,LRRC37A2,COL24A1,DNER,PDGFRA,PRKCQ,ADGRG2,CNTNAP2,DPP6,NCAM1,IGFL4,PRTG,KCNIP4,GRIN2B,PDE4D,IGDCC4,SCG3,LRRN1,CNTN1,ANGPTL2,CHL1,COL28A1,IKZF2,MAPT,CDH4,CHRM1,TNR,PCDH7,VCAN,CHAD,FUT8,OMG,C1QL2,ADAM23,ERC2,KIAA1549L,LYPD1",0.203508959461977,C2_vs_None,C2
