cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Oligodendrocyte precursor cells,2915,1015,70,29,1.33339183114831,0.147543793538855,0.253998972987403,"ACAA1,ADAM9,AGRN,ALDH5A1,ATF4,ATXN2,CNTN3,CSTB,DOCK9,DPY30,DTNB,ENAH,ENOX2,HIP1R,HS6ST2,IGDCC3,LAMP2,NGRN,NPDC1,PADI2,PKD2,PON2,PRCP,RBFOX3,RNF41,SNRPB2,SYT1,TPR,ZHX2",0.903773932924094,down,C2_vs_None,C2
Excitatory neurons,2915,1114,70,31,1.29308713783033,0.175013355322226,0.319612056179379,"ACAA1,ADAM9,AGRN,ALDH5A1,ATF4,ATXN2,CNTN3,CSTB,DOCK9,DPY30,DTNB,ENAH,ENOX2,FTCD,HIP1R,HS6ST2,LAMP2,LDLR,NDUFS6,NGRN,NMNAT1,NPDC1,PILRA,PKD2,PRCP,RBFOX3,RNF41,SNRPB2,SYT1,TPR,WDR46",0.903773932924094,down,C2_vs_None,C2
Endothelial,2915,1019,70,28,1.24710362085465,0.21961570275183,0.376430709353222,"ACAA1,AGRN,AIF1,ATXN2,CSTB,DOCK9,DPY30,EDN1,ENAH,HHEX,HIP1R,IL13RA1,KLF4,LAMP2,LDLR,NDUFS6,NPDC1,PKD2,PON2,PRCP,RNF41,SART1,SEMA3F,SNRPB2,STX16,TCOF1,TPR,WDR46",0.903773932924094,down,C2_vs_None,C2
Oligodendrocytes,2915,1062,70,28,1.16756218936697,0.305072921672366,0.531772066632097,"ACAA1,ADAM9,AGRN,ATF4,ATXN2,CSTB,DOCK9,DPY30,DTNB,ENAH,ENOX2,FTCD,GPR37,HIP1R,LAMP2,LDLR,NDUFS6,NGRN,NMNAT1,NPDC1,PADI2,PKD2,PON2,RNF41,SNRPB2,SYT1,TPR,ZHX2",0.903773932924094,down,C2_vs_None,C2
Astrocytes,2915,1116,70,29,1.14388252254635,0.333405031078493,0.61925970144439,"ACAA1,ADAM9,AGRN,ALDH5A1,ATF4,ATXN2,CNTN3,CSTB,DCXR,DOCK9,DTNB,ENAH,ENOX2,HIP1R,IGDCC3,LAMP2,LDLR,NDUFS6,NGRN,NPDC1,PADI2,PKD2,PON2,PRCP,RNF41,SYT1,TGFB2,TPR,ZHX2",0.903773932924094,down,C2_vs_None,C2
Smooth muscle,2915,724,70,18,1.04874431187384,0.478301898453337,0.888711232450097,"ADAM9,AGRN,AIF1,ATF4,CSTB,DPY30,ENAH,IL13RA1,KLF4,NDUFS6,NPDC1,PKD2,RNF41,SART1,SNRPB2,TGFB2,TPR,WDR46",0.903773932924094,down,C2_vs_None,C2
Inhibitory neurons,2915,1145,70,28,1.03134197990699,0.496191888171671,0.901974381191823,"ACAA1,ADAM9,ALDH5A1,ATF4,ATXN2,CNTN3,CSTB,DOCK9,DPY30,DTNB,ENAH,ENOX2,HS6ST2,LAMP2,NDUFS6,NGRN,NMNAT1,NPDC1,PILRA,PKD2,PRCP,RBFOX3,RNF41,SNRPB2,SYT1,TGFB2,TPR,ZHX2",0.903773932924094,down,C2_vs_None,C2
T-cells,2915,1271,70,31,1.02884739984848,0.500095388734274,0.903614447208963,"ACAA1,AIF1,ATF4,ATXN2,CD244,CSTB,DCXR,DOCK9,DPY30,DTNB,ENOX2,FABP4,HIP1R,KLF4,KRT17,LAMP2,LDLR,LMNB2,NDUFS6,NGRN,NPDC1,PRCP,RNF41,RRM2,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
Macrophages,2915,1416,70,33,0.942837804887537,0.641550823332441,0.903773932924094,"ACAA1,ADAM9,AIF1,ATF4,ATXN2,CCL18,CD300C,CSTB,DCXR,DPY30,ENOX2,FABP4,HHEX,IL13RA1,KLF4,KRT17,LAMP2,LDLR,LMNB2,MMP7,NDUFS6,PADI2,PILRA,PKD2,PON2,PRCP,RNF41,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46",0.903773932924094,down,C2_vs_None,C2
monocytes,2915,1227,70,28,0.915214553014446,0.68306227226322,0.806669409979519,"ACAA1,ADAM9,AIF1,ATF4,ATXN2,CD244,CD300C,CSTB,DCXR,DPY30,ENOX2,HHEX,IL13RA1,KLF4,LAMP2,LDLR,LMNB2,NDUFS6,PILRA,PRCP,RNF41,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
Microglial cells,2915,1150,70,26,0.904776564033525,0.697494223286455,0.712560002466763,"ACAA1,ADAM9,AGRN,ATF4,ATXN2,CSTB,DOCK9,DPY30,DTNB,ENAH,ENOX2,IL13RA1,KLF4,LAMP2,NDUFS6,NGRN,NPDC1,PADI2,PILRA,PKD2,PON2,PRCP,SYT1,TGFB2,TPR,ZHX2",0.903773932924094,down,C2_vs_None,C2
dendritic cells,2915,1115,70,25,0.894510770533615,0.712114716586458,0.709991260652633,"ACAA1,ADAM9,AIF1,ALDH5A1,ATF4,ATXN2,CSTB,DCXR,DPY30,HHEX,IL13RA1,KLF4,LAMP2,LDLR,NDUFS6,PON2,PRCP,RNF41,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
B-cells,2915,1205,70,27,0.88856389492319,0.723669752606967,0.712888176250487,"ACAA1,AIF1,ALDH5A1,ATF4,ATXN2,CSTB,DCXR,DPY30,DTNB,ENOX2,HHEX,HIP1R,IL13RA1,KLF4,LAMP2,NDUFS6,NGRN,PRCP,RNF41,SART1,SNRPB2,STX16,SYT1,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
NK-cells,2915,1142,70,25,0.859517167847558,0.764273962763904,0.620658749176002,"ACAA1,AIF1,ATF4,ATXN2,CD244,CSTB,DCXR,DPY30,ENOX2,HHEX,HIP1R,LAMP2,LDLR,LMNB2,NDUFS6,PON2,PRCP,RNF41,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
granulocytes,2915,1277,70,28,0.851928168191695,0.779221498783891,0.544164698477173,"ACAA1,ADAM9,AIF1,ALDH5A1,ATF4,ATXN2,CSTB,DCXR,DPY30,ENOX2,FABP4,HHEX,KLF4,KRT17,LAMP2,LDLR,MMP7,NDUFS6,PADI2,PON2,PRCP,RNF41,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46",0.903773932924094,down,C2_vs_None,C2
Plasma cells,2915,1224,70,26,0.812433925057949,0.829857799467624,0.462669675446024,"ACAA1,ALDH5A1,ATF4,ATXN2,CSTB,DCXR,DPY30,ENOX2,HIP1R,KLF4,LAMP2,LDLR,LMNB2,MMP7,NDUFS6,NGRN,PRCP,RNF41,RRM2,SART1,SNRPB2,STX16,TCOF1,TPR,WDR46,ZHX2",0.903773932924094,down,C2_vs_None,C2
Fibroblasts,2915,173,70,1,0.225291455819491,0.986909918145383,0.1252839136866,FABP4,0.903773932924094,down,C2_vs_None,C2
Pericytes,2915,321,70,3,0.355900832198545,0.987518640467516,0.0797924874203405,"AGRN,DOCK9,FABP4",0.903773932924094,down,C2_vs_None,C2
