cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,direction,contrast,cluster
Excitatory neurons,2915,1114,38,8,0.427114053321102,0.992949035733138,0.0290110520770958,"ADAMTS16,AKAP12,GAS2,GRIK2,NCAM2,PHLDB2,PNMA2,PXDNL",0.0652748671734656,up,C2_vs_None,C2
dendritic cells,2915,1115,38,8,0.426487471656581,0.993031068982857,0.0289435084546894,"CCL3,CCL4,LSM1,MTPN,PFDN6,PLTP,RELB,TPRKB",0.0652748671734656,up,C2_vs_None,C2
Astrocytes,2915,1116,38,8,0.425862021020033,0.993112244634673,0.0288789599832302,"AKAP12,DIPK1C,GAS2,GRIK2,NCAM2,PLTP,PNMA2,PXDNL",0.0652748671734656,up,C2_vs_None,C2
monocytes,2915,1227,38,9,0.422827592344827,0.994753825615776,0.020723731210475,"CCL3,CCL4,FLT1,LSM1,MTPN,PFDN6,RELB,SCGB3A1,TPRKB",0.0652748671734656,up,C2_vs_None,C2
NK-cells,2915,1142,38,8,0.409987501959751,0.994946079706044,0.0282455369523697,"CCL3,CCL4,LSM1,MTPN,PFDN6,PHLDB2,RELB,TPRKB",0.0652748671734656,up,C2_vs_None,C2
Inhibitory neurons,2915,1145,38,8,0.408202547811365,0.995126425489543,0.0195988175201752,"AKAP12,FLT1,GAS2,GRIK2,LSM1,NCAM2,PNMA2,PXDNL",0.0652748671734656,up,C2_vs_None,C2
T-cells,2915,1271,38,9,0.397273409473537,0.996953099352384,0.0131366807795066,"CA6,CCL3,CCL4,LSM1,MTPN,PFDN6,RELB,SCGB3A1,TPRKB",0.0652748671734656,up,C2_vs_None,C2
granulocytes,2915,1277,38,9,0.393926252945211,0.997177093136519,0.0129316191979594,"AKAP12,CCL4,CLC,LSM1,MTPN,PFDN6,RELB,SCGB3A1,TPRKB",0.0652748671734656,up,C2_vs_None,C2
Oligodendrocyte precursor cells,2915,1015,38,7,0.418788750043595,0.99224084400872,0.0385265238355177,"AKAP12,DIPK1C,GAS2,GRIK2,NCAM2,PNMA2,PXDNL",0.0770530476710354,up,C2_vs_None,C2
Macrophages,2915,1416,38,12,0.484337875009165,0.989322086533912,0.0485672194503153,"AKAP12,CA6,CCL3,CCL4,FLT1,LSM1,MTPN,PFDN6,PLTP,RELB,SCGB3A1,TPRKB",0.0874209950105675,up,C2_vs_None,C2
Oligodendrocytes,2915,1062,38,8,0.461334641520171,0.987289356218033,0.0605886373772454,"DIPK1C,ENTPD5,GAS2,GRIK2,LSM1,NCAM2,PNMA2,PXDNL",0.0991450429809469,up,C2_vs_None,C2
B-cells,2915,1205,38,10,0.502801414432174,0.982469502952209,0.0679159450615671,"CA6,CCL3,CCL4,KLK1,LSM1,MTPN,PFDN6,RELB,SCGB3A1,TPRKB",0.101873917592351,up,C2_vs_None,C2
Plasma cells,2915,1224,38,11,0.55899054131525,0.96678638539839,0.135488455256874,"AKAP12,CA6,CCL3,CCL4,LSM1,MTPN,PFDN6,PLTP,RELB,SCGB3A1,TPRKB",0.174199442473124,up,C2_vs_None,C2
Microglial cells,2915,1150,38,10,0.544278590434701,0.969584222866537,0.131496464177485,"AKAP12,ENTPD5,FLT1,GRIK2,LSM1,NCAM2,PHLDB2,PNMA2,PXDNL,VWF",0.174199442473124,up,C2_vs_None,C2
