cell_type,size,NES,ES,pval,padj,leading_edge,log2err,contrast,cluster
Macrophages,247,1.82127015082529,0.300177316422759,6.61171558091013e-08,1.19010880456382e-06,"KRT6C,LCP1,LILRA5,FBP1,IL18R1,HGF,CST7,FCAR,PRTN3,CCL17,FCN1,MMP8,ITGAL,CSF1R,ITGB2,OSM,LY96,CD163,CD72,SIGLEC10,MRC1,CCL7,DPEP2,LILRA2,FABP4,PDGFB,CSF3R,VNN2,CSF2RB,CLEC5A,VMO1,FCGR2A,CCL4,MMP9,VSTM1,CXCL5,ADGRE1,LILRB1,EREG,IL1RL2,ITGAX,SPRR3,TNFSF14,CCL3,LILRB5,IGLC2,ICAM4,IL1RN,CD300E,ADGRE2,MARCO,OLR1,ITGAM,IGSF21,IL1R2,GIMAP7,GPNMB,MMP12,LILRA6,HPGDS,SIGLEC8,PPBP,CLEC4A,CD5L,CCL22,SLAMF8,FCGR3B,MSR1,ITGA5,PTPRC,COLEC12,IL1B,CD209",0.704975715167238,C1_vs_None,C1
Plasma cells,118,1.79781444210076,0.335118454956504,2.94413620934261e-05,0.000264972258840835,"FGA,A1BG,CD3G,BTN1A1,FUT8,IFNLR1,CTHRC1,GAST,ITGAL,ITIH3,ST6GAL1,LY96,C9,LY9,SMPDL3B,PLG,CDC25A,CD70,SLAMF1,CSF2RB,TK1,CCL4,BLNK,IL5RA,CR2,LILRB1,ORM1,FCRL5,TNFRSF17,CCL3,IGLC2,ICAM4",0.575610261071129,C1_vs_None,C1
monocytes,193,1.48189110448592,0.250679096245344,0.00106545352857048,0.0063927211714229,"LCP1,LILRA5,HGF,CST7,FCAR,FCN1,KLRD1,ITGAL,CSF1R,ITGB2,OSM,CCL5,LY96,CD163,CD72,SIGLEC10,DPEP2,LILRA2,CSF3R,SLAMF1,VNN2,CSF2RB,VMO1,FCGR2A,CCL4,VSTM1,ADGRE1,LILRB1,EREG,EPGN,IL1RL2,ITGAX,CCL3,ICAM4,IL1RN,CD300E,ADGRE2,MARCO,VNN1,OLR1,ITGAM,IL1R2,LILRA6,CLEC4A,FCGR3B,GZMA,IL6,MSR1,PTPRC,IL1B",0.45505986738723,C1_vs_None,C1
Astrocytes,195,1.41514815891246,0.240038260899474,0.00221281077025602,0.00995764846615207,"NTRK2,PAMR1,STX1B,LRIG1,HGF,FUT8,PLIN1,SERPINI2,KLKB1,CACNB1,PON1,SPON1,WFIKKN1,NRCAM,LRP2BP,THBS4,COL28A1,ENPP6,SORBS1,ROBO1,CRYBB2,PNMA2,GASK1A,ADAMTSL2,IGDCC4,ITIH4,AMOT,CNTN1,MDGA1,ANGPT1,LEPR,LCAT,ERC2,GFRA1,GAS2,SERPINE2,PDGFRB,CADPS,PTPRM,ADCYAP1R1,PXDNL,ZHX2,IL17D,BMPER,LAMA1,TMEM132A,CDH2",0.431707695803346,C1_vs_None,C1
Fibroblasts,79,1.58927518163389,0.316959823273332,0.00335773710204636,0.0100732113061391,"CCL21,ITGBL1,PAMR1,SERPIND1,C1QTNF5,ENPP6,DCDC2C,FABP4,CPXM1,ANGPT1,LEFTY2,GFRA1,MFAP4,FAP,C7,CILP,SCARA5,ADH1B,CD177,LAMA1,C1S,SERPINA3,ENTPD2",0.431707695803346,C1_vs_None,C1
Pericytes,91,1.58900885444132,0.304573838525406,0.00301597657694557,0.0100732113061391,"PAMR1,UPB1,SERPIND1,PLIN1,KLKB1,DKKL1,GHR,DCDC2C,ADGRF5,FABP4,C1QTNF1,CXCL5,CR2,ABO,ADGRD1,ASAH2,C7,ADGRG2,ADAMTS16,PXDNL,ADH1B,PRELP,TSPAN8,TIMP4,ECM1,NID2,F10,CLEC4M,SFRP4,HBZ,SSC5D,CSPG4,DKK1,ANPEP",0.431707695803346,C1_vs_None,C1
Oligodendrocyte precursor cells,223,1.2506153025839,0.207522370858972,0.0381247818619796,0.0980351533593762,"PZP,NTRK2,STX1B,FUT8,EXTL1,SPON1,MEGF11,NRCAM,LRP2BP,THBS2,THBS4,CPB2,SMOC1,ST6GAL1,COL28A1,GHR,ANGPTL2,ENPP6,SORBS1,ROBO1,PNMA2,GASK1A,IGDCC4,CNTN1,COL4A4,ELAVL4,ERC2,GFRA1,FGF12,CLSTN2,SERPINE2,ADGRG2,CRTAC1,SLITRK1,CADPS,PTPRM,PDZD2,ADCYAP1R1,PXDNL,GRIN2B,ZHX2,CIT,IGSF21,CLEC2L,TYRO3,IL17D,BMPER,CDH2",0.321775918075361,C1_vs_None,C1
Astrocytes,195,1.25627165270986,0.200357930043276,0.047113391331335,0.464558342420938,"GRIK2,PXDNL,GAS2,PNMA2,NCAM2,DIPK1C,LEPR,MFAP3L,RNF31,CD109,LRRC37A2,TNC,DNER,PON1,EPHA4,SNED1,PRKCQ,TLR4,DPP6,NCAM1,PDGFRB,KCNIP4,IL33,BOC,PDE4D,IGDCC4,SCG3,LRRN1,CNTN1,CHL1,COL28A1,IKZF2,MAPT,ZNF75D,CDH4,CHRM1,TNR,ADAMTS13",0.321775918075361,C2_vs_None,C2
Fibroblasts,79,-1.21810222218054,-0.317633838119816,0.154852780806979,0.464558342420938,"FABP4,CILP,CXCL6,RBP5,SERPIND1,FNDC1,SERPINA3,GFRA1,VIT,TNFRSF11B,ADH1B,C1S,KRT18,PAMR1,KLK10,OGN,CXCL10,C1QTNF5,SELE,CES1",0.112378519110475,C2_vs_None,C2
Oligodendrocytes,168,1.19471454821754,0.199119571746573,0.129623132344277,0.464558342420938,"GRIK2,PXDNL,GAS2,ADAMTS16,NCAM2,DIPK1C,PDE1C,MFAP3L,RNF31,LRRC37A2,ITGA2,MAG,DNER,DIPK2B,CPOX,PRKCQ,ADGRG2,CNTNAP2,DPP6,NCAM1,KCNIP4,SEMA4D,PI16,CA14,PDE4D,RASGRF1,ANGPTL2,IKZF2,MAPT,ZNF75D,CDH4",0.249246554383295,C2_vs_None,C2
Pericytes,91,1.19207557040276,0.220683056294432,0.11374343079165,0.464558342420938,"PXDNL,ADAMTS16,ABO,IL13,DKKL1,CD248,CR2,COL24A1,FZD10,ADGRG2,HBZ,C1QTNF1,TSPAN8,CLEC4M",0.287805130535564,C2_vs_None,C2
T-cells,156,1.12316357730769,0.201184549223615,0.131104394064297,0.464558342420938,"CCL3,CCL4,IL17F,CA6,IL13,KIR3DL2,IL10,SELL,IL2RB,KLRC1,IL17A,PRKCQ,LAIR2,IL2RG,ITGB7,IL2,FCRL3,SEMA4D,FASLG,IFNG,CD3E,ITGAL,IL4,KIR3DL1",0.249246554383295,C2_vs_None,C2
Excitatory neurons,251,1.08482653383169,0.178181628915633,0.237236298508299,0.533781671643673,"NTRK2,PAMR1,STX1B,FUT8,EXTL1,APLP1,SERPINI2,KLKB1,CACNB1,CHGA,NRCAM,LRP2BP,SEPTIN3,COL28A1,GHR,SORBS1,BDNF,RBFOX3,ROBO1,CRYBB2,PNMA2,GASK1A,ADAMTSL2,ITIH4,CNTN1,ELAVL4,ERC2,PDIA2,FGF12,GAS2,CLSTN2,IL1RL2,MAMDC2,FAP,ADAMTS16,CRTAC1,SLITRK1,CADPS,PDZD2,ADCYAP1R1,PXDNL,LYPD8,GRIN2B,HAVCR1,CIT,IGSF21,CLEC2L,TYRO3,IL17D,BMPER",0.249246554383295,C1_vs_None,C1
Oligodendrocytes,168,1.08943359228062,0.188021778454643,0.281363092835287,0.562726185670574,"PZP,A1BG,LRIG1,FUT8,APLP1,LRP2BP,MYH7B,ENPP2,THBS2,THBS4,CPB2,SMOC1,ANGPTL2,ENPP6,ROBO1,GASK1A,ADAMTSL2,ERC2,PDIA2,GAS2,CLSTN2,ADGRG2,ADAMTS16,SLITRK1,PDZD2,PXDNL,TF,ZHX2,HAVCR1,CD226,TYRO3,IL17D",0.203508959461977,C1_vs_None,C1
Smooth muscle,138,1.02631488903596,0.184688421669838,0.380434782608696,0.684782608695652,"ITGBL1,RET,LIF,ITIH3,COL28A1,GHR,OSMR,BDNF,DCDC2C,SOST,FABP4,ITIH4,ANGPT1,LEFTY2,C1QTNF1,GFRA1,ABO,MFAP4,FAP,ADAMTS16,CRTAC1,PRELP,TSPAN8,FAM20A,TIMP4,CD177,IL6,F10,MYOC,AMIGO2,WFDC1,HBZ,CORO6,TNFRSF11B",0.241339976815091,C1_vs_None,C1
B-cells,122,-1.0312614722479,-0.254000886371412,0.417708333333333,0.749826026443981,"HHEX,EVI2B,SERPINA9,FMNL1,FCRL5,FCGR2B,SIGLEC10,SLAMF6,PIK3AP1,SLAMF1,CD27,APBB1IP,CD79B,FLI1,PLSCR3,RNASE6,TNFRSF13B,LAT2,CD80,FCER2,TNF,CD72,CCL22,CEACAM21,TIGIT,LTB,MZB1,IRAG2,CLEC7A,ARHGAP25,MNDA,IL5RA,CCL17,TNFSF8,SLAMF8,IFI30,PDCD1,FCER1A,LTA,FCRL1,IGLC2",0.055826471778749,C2_vs_None,C2
