protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
lilrb4,0.325447727272727,-0.102019361702128,1.28607137040416e-20,2.36637132154365e-18,0.427467088974855,0.427467088974855,*
tnfsf13,-0.0264677685950413,0.0758240585774059,0.000402757378224102,0.0370536787966174,-0.102291827172447,-0.102291827172447,*
eno2,-0.179754693877551,0.0155698744769875,0.00133844684595899,0.0820914065521516,-0.195324568354539,-0.195324568354539,+
ctsl,0.0543262396694215,-0.0296130341880342,0.003029768222043,0.112650175339156,0.0839392738574557,0.0839392738574557,+
hspa1a,-0.176466597510373,0.00856722689075629,0.00340097469056738,0.112650175339156,-0.18503382440113,-0.18503382440113,+
ube2l6,-0.064043661971831,0.11391875,0.00367337528279858,0.112650175339156,-0.177962411971831,-0.177962411971831,+
fam3b,-0.0519907024793389,-0.163856623931624,0.00828808711424095,0.217858289860048,0.111865921452285,0.111865921452285,+
muc13,-0.0536379166666667,-0.176529661016949,0.0154116323627919,0.352115354956928,0.122891744350283,0.122891744350283,+
ppp3r1,-0.155964730290456,-0.0592720085470085,0.0172230336663715,0.352115354956928,-0.0966927217434479,-0.0966927217434479,+
ifit3,0.0420959523809524,0.114907432432432,0.024412076236041,0.389048995041336,-0.0728114800514801,-0.0728114800514801,+
phykpl,-0.1445004784689,-0.0521797235023042,0.0245393249721447,0.389048995041336,-0.0923207549665954,-0.0923207549665954,+
snx18,0.114287323943662,0.175518636363636,0.0262403438328835,0.389048995041336,-0.0612313124199744,-0.0612313124199744,+
vat1,-0.065104958677686,-0.0174393162393162,0.0274871572583553,0.389048995041336,-0.0476656424383697,-0.0476656424383697,+
itga2,-0.111547607655502,-0.0555341013824885,0.0367983947546668,0.483636045347049,-0.0560135062730139,-0.0560135062730139,+
igdcc4,-0.0346220657276995,-0.0768175675675676,0.0414962855833628,0.492782711262878,0.042195501839868,0.042195501839868,+
il2ra,0.100800840336134,0.0299030042918455,0.0429155376847746,0.492782711262878,0.070897836044289,0.070897836044289,+
thpo,0.0143391949152542,0.0960237991266375,0.0455288374536355,0.492782711262878,-0.0816846042113833,-0.0816846042113833,+
bcan,-0.0353734439834025,-0.106196153846154,0.0544070058452341,0.498031248600836,0.0708227098627514,0.0708227098627514,""
hla_a,0.000890697674418602,0.0561224444444444,0.0565369391645317,0.498031248600836,-0.0552317467700258,-0.0552317467700258,""
egfr,-0.00761356275303644,-0.036572268907563,0.0571944373094015,0.498031248600836,0.0289587061545266,0.0289587061545266,""
il1rn,0.0803280334728033,0.231001059322034,0.0575192578455662,0.498031248600836,-0.150673025849231,-0.150673025849231,""
rgma,-0.0675093877551021,-0.117070920502092,0.0595472145066217,0.498031248600836,0.04956153274699,0.04956153274699,""
plxdc1,-0.0455076923076923,-0.068476724137931,0.0649111214546194,0.519288971636955,0.0229690318302387,0.0229690318302387,""
grp,-0.180196829268293,-0.0643564220183486,0.0724761804163905,0.555650716525661,-0.115840407249944,-0.115840407249944,""
arhgap1,-0.12737094017094,-0.0695155172413793,0.0895816981794581,0.624371231870812,-0.0578554229295608,-0.0578554229295608,""
dusp13,-0.0389234741784037,-0.0975671111111111,0.0905575399764495,0.624371231870812,0.0586436369327074,0.0586436369327074,""
tnxb,-0.0857022821576764,-0.0347332627118644,0.0923382693003154,0.624371231870812,-0.0509690194458119,-0.0509690194458119,""
plaur,0.0313523109243697,0.0896695744680851,0.0950130135455583,0.624371231870812,-0.0583172635437154,-0.0583172635437154,""
arl13b,0.109313658536585,0.240306944444444,0.117567269631734,0.729420874295717,-0.130993285907859,-0.130993285907859,""
nptxr,-0.0157320247933884,-0.0542326923076923,0.119866515186853,0.729420874295717,0.0385006675143039,0.0385006675143039,""
neo1,-0.0333144186046512,-0.0605246666666667,0.1228915603433,0.729420874295717,0.0272102480620155,0.0272102480620155,""
rnaset2,0.00586522633744856,0.0553512765957447,0.128405567411178,0.738332012614276,-0.0494860502582961,-0.0494860502582961,""
chgb,-0.126821224489796,-0.082490756302521,0.136484832625551,0.761006339487921,-0.0443304681872749,-0.0443304681872749,""
fcrl6,-0.10499194214876,-0.206754831932773,0.147363416599352,0.789797154878368,0.101762889784013,0.101762889784013,""
pi3,0.00917617021276595,0.0986401315789474,0.158950111218022,0.789797154878368,-0.0894639613661815,-0.0894639613661815,""
c4bpb,0.0716832644628099,0.140375210084034,0.162736488345213,0.789797154878368,-0.0686919456212237,-0.0686919456212237,""
tf,-0.063330985915493,-0.0297121076233184,0.164674145490292,0.789797154878368,-0.0336188782921746,-0.0336188782921746,""
siglec8,0.0442585365853659,0.00380045871559634,0.167735918520343,0.789797154878368,0.0404580778697695,0.0404580778697695,""
gfap,0.177272008547009,0.116397844827586,0.174218031178181,0.789797154878368,0.0608741637194223,0.0608741637194223,""
tpp1,0.0238221518987342,0.0685050632911392,0.178412702937751,0.789797154878368,-0.0446829113924051,-0.0446829113924051,""
alpp,0.462860950413223,0.396245512820513,0.179148875261187,0.789797154878368,0.0666154375927103,0.0666154375927103,""
ache,-0.104368421052632,-0.145597465437788,0.189177772962826,0.789797154878368,0.0412290443851564,0.0412290443851564,""
omg,-0.229897933884298,-0.321189743589744,0.194382722355668,0.789797154878368,0.0912918097054461,0.0912918097054461,""
mxra8,-0.075588038277512,-0.122741935483871,0.199732077112077,0.789797154878368,0.047153897206359,0.047153897206359,""
itgb2,-0.0870897119341564,-0.133813146551724,0.20639725393354,0.789797154878368,0.0467234346175678,0.0467234346175678,""
adgrg2,0.00623161157024794,-0.0313985042735043,0.207406044973517,0.789797154878368,0.0376301158437522,0.0376301158437522,""
mepe,-0.11890622406639,-0.10128487394958,0.210546931714434,0.789797154878368,-0.0176213501168102,-0.0176213501168102,""
mog,0.0652086065573771,0.0254358333333333,0.214654928435963,0.789797154878368,0.0397727732240437,0.0397727732240437,""
psap,0.00826919431279621,0.0407772727272727,0.215539495462107,0.789797154878368,-0.0325080784144765,-0.0325080784144765,""
dcbld2,0.0224309917355372,0.0710021008403361,0.217930893905008,0.789797154878368,-0.0485711091047989,-0.0485711091047989,""
hla_e,0.0291904958677686,0.0371474789915966,0.224139231312252,0.789797154878368,-0.00795698312382808,-0.00795698312382808,""
mmp12,0.0184931818181818,0.105992827004219,0.224819117700445,0.789797154878368,-0.0874996451860376,-0.0874996451860376,""
myoc,-0.162805809128631,-0.223222033898305,0.227495919611704,0.789797154878368,0.0604162247696744,0.0604162247696744,""
oscar,0.059729132231405,0.0290799163179916,0.233733841343958,0.796426422357189,0.0306492159134133,0.0306492159134133,""
cd302,0.0276351239669422,0.0722337606837607,0.251344998036988,0.812904625083768,-0.0445986367168185,-0.0445986367168185,""
itgb1,-0.0488744813278008,-0.0334182608695652,0.252817774226813,0.812904625083768,-0.0154562204582356,-0.0154562204582356,""
tnfrsf6b,0.0232319502074689,0.104965384615385,0.254854438812401,0.812904625083768,-0.0817334344079158,-0.0817334344079158,""
klrk1,-0.105568396226415,-0.138942410714286,0.256241675298144,0.812904625083768,0.0333740144878706,0.0333740144878706,""
ada,-0.0702127530364372,-0.039105625,0.270747186012006,0.844364105528967,-0.0311071280364372,-0.0311071280364372,""
rgmb,-0.0676934693877551,-0.0870987447698745,0.277961002956178,0.847047090466906,0.0194052753821194,0.0194052753821194,""
folr1,0.0559141666666667,0.0963970085470085,0.280814524556964,0.847047090466906,-0.0404828418803419,-0.0404828418803419,""
dpp4,-0.0506387711864407,-0.0940802222222222,0.293974721892128,0.861909831661099,0.0434414510357815,0.0434414510357815,""
