protein,mean_imp,protein_f
nefl,87.2907503763228,nefl
myom2,37.0901470649749,myom2
capn3,36.1138603885856,capn3
art3,35.8609439308134,art3
calcb,33.9490534528541,calcb
rbp2,33.2966967907988,rbp2
myl3,32.5329858541382,myl3
actn2,32.0991164358434,actn2
ttn,31.9379193948118,ttn
itgam,30.704357510763,itgam
egflam,27.7666243193954,egflam
csrp3,25.9263239881847,csrp3
mb,25.4605766232101,mb
cd248,23.1295557690921,cd248
itgav,22.1462439960021,itgav
dtnb,21.9680579565907,dtnb
coro6,21.5680206865573,coro6
hspb6,21.332674122791,hspb6
myom3,21.1229536091383,myom3
sorbs1,20.1944093413066,sorbs1
itgb2,19.9769537705659,itgb2
mybpc1,19.0843935177265,mybpc1
rbfox3,18.4887118588828,rbfox3
cd276,18.1522402170929,cd276
eda2r,16.0523074816866,eda2r
thbs4,15.7021822114311,thbs4
ca3,12.0611682828618,ca3
megf10,11.6647363501074,megf10
hs6st2,9.84233962018559,hs6st2
mylpf,7.66214316998032,mylpf
