protein,mean_imp,protein_f
nefl,83.0359137330689,nefl
cst5,64.549815225656,cst5
itgb5,64.3232049173843,itgb5
mog,63.9269100727999,mog
gfap,63.9232897831882,gfap
lilrb4,63.3965098461788,lilrb4
tnfsf13,62.3264183248311,tnfsf13
arl13b,60.8973529004572,arl13b
il6,60.8556742296287,il6
gzma,60.1876559334536,gzma
omg,59.7896118851977,omg
ca14,58.2247370332675,ca14
scn4b,57.379681383214,scn4b
mepe,57.3087118943934,mepe
rnaset2,57.0278096777129,rnaset2
got1,55.6250263998823,got1
neo1,54.8701648655659,neo1
art3,54.6643583127726,art3
jchain,54.2033407214745,jchain
gpc1,53.1286374102524,gpc1
klk6,52.6150558848692,klk6
thpo,52.4800005073661,thpo
adgre5,52.1468006242036,adgre5
chgb,52.0997393827449,chgb
itgav,51.9167013002173,itgav
cd83,51.7530285092295,cd83
blmh,51.0894170670733,blmh
grp,50.6482904153708,grp
tgfa,50.6129499205997,tgfa
lgals9,49.5616000592577,lgals9
