protein,metric,metric_type,int_beta,int_se,int_pval,fdr,main_beta_hc,n_total,n_ms
CD34,md_posterior_thalamic_radiation_left,md,2.67020455143989e-05,4.39230637436754e-06,1.29297887031738e-09,1.81185129097575e-05,-6.2676261659032e-07,5226,124
CR1,md_inferior_longitudinal_fasciculus_right,md,-1.76549799484355e-05,3.25873840458888e-06,6.40971122581518e-08,0.000310562309627078,-1.18250585501224e-06,3812,115
CD8A,md_inferior_longitudinal_fasciculus_right,md,-1.8031353784273e-05,3.3341050190121e-06,6.64873281154095e-08,0.000310562309627078,-1.73667819337797e-07,5274,124
PRR4,md_posterior_thalamic_radiation_right,md,2.55596457077288e-05,4.82634343067173e-06,1.25347581608954e-07,0.000439123915271568,9.40922988398433e-07,3710,110
CD8A,md_posterior_thalamic_radiation_right,md,-2.41725948586964e-05,4.6764627845933e-06,2.44051074931217e-07,0.00068397754260223,2.9761010528236e-07,5274,124
CD34,md_inferior_longitudinal_fasciculus_left,md,1.6729078093679e-05,3.31672382145728e-06,4.71686730588126e-07,0.00110162435928857,4.4405588276338e-07,5226,124
CD8A,md_posterior_thalamic_radiation_left,md,-2.35009572528261e-05,4.73232694090938e-06,7.0488019716129e-07,0.00141106945754588,-3.17774386132906e-08,5274,124
CR1,md_inferior_longitudinal_fasciculus_left,md,-1.7396354893743e-05,3.55962746344488e-06,1.06535126403686e-06,0.00185927424169,-1.50156747154495e-07,3812,115
CR1,icvf_inferior_longitudinal_fasciculus_right,icvf,0.0151623384833984,0.00311696098900472,1.1941388835517e-06,0.00185927424169,0.000831282547321153,3812,115
VGF,md_posterior_thalamic_radiation_left,md,2.42008259919945e-05,5.02201650585611e-06,1.49926629574175e-06,0.00200057568063337,7.42245122924287e-07,3827,115
PLXDC1,md_inferior_fronto_occipital_fasciculus_left,md,-1.72750776118717e-05,3.59319071040716e-06,1.57042264232977e-06,0.00200057568063337,2.08950080563429e-08,5108,117
TNR,md_inferior_longitudinal_fasciculus_right,md,-1.55146780599974e-05,3.25576822235544e-06,1.93741198498463e-06,0.0022624128454658,-1.50145663204318e-06,5182,119
PRR4,fa_posterior_thalamic_radiation_right,fa,-0.0111761360756564,0.00238975142380445,3.01937844134065e-06,0.00303291526684219,0.00039705902203265,3710,110
PLXDC1,md_inferior_longitudinal_fasciculus_left,md,-1.65699423589952e-05,3.5459936175059e-06,3.04670008965513e-06,0.00303291526684219,1.5218864796461e-07,5108,117
PRR4,md_posterior_thalamic_radiation_left,md,2.27484477427268e-05,4.87985847123102e-06,3.24653742971761e-06,0.00303291526684219,1.6527020580661e-06,3710,110
CR1,md_inferior_fronto_occipital_fasciculus_right,md,-1.5357293425699e-05,3.38861696673824e-06,6.02157526617064e-06,0.00525026065846922,-2.26223128254915e-07,3812,115
MOG,md_inferior_longitudinal_fasciculus_right,md,1.52433405480267e-05,3.37365947899921e-06,6.36940206907705e-06,0.00525026065846922,3.21998727371369e-07,5255,124
CR1,icvf_inferior_longitudinal_fasciculus_left,icvf,0.014453735721626,0.00321473130515783,7.1274428237559e-06,0.00553781053014269,0.000654432379864648,3812,115
MOG,md_posterior_thalamic_radiation_left,md,2.149121021935e-05,4.79368652591861e-06,7.50862770803619e-06,0.00553781053014269,-2.18771331246787e-07,5255,124
PRR4,md_inferior_longitudinal_fasciculus_left,md,1.61918733467716e-05,3.66236313455202e-06,1.00991089598338e-05,0.00707594069270755,1.62720788006427e-06,3710,110
MOG,md_inferior_longitudinal_fasciculus_left,md,1.5786550837919e-05,3.60168744253355e-06,1.19286765919428e-05,0.00779914196675039,6.97899729706765e-07,5255,124
CR1,icvf_posterior_thalamic_radiation_right,icvf,0.0146080103482711,0.00334029883811732,1.25677578605995e-05,0.00779914196675039,0.000820783775838066,3812,115
TNR,md_inferior_longitudinal_fasciculus_left,md,-1.5222515855565e-05,3.49746132130009e-06,1.37220159667343e-05,0.00779914196675039,-1.22838517262025e-06,5182,119
IGSF21,md_inferior_longitudinal_fasciculus_right,md,-1.70838100587306e-05,3.93076090824731e-06,1.42222847437877e-05,0.00779914196675039,-4.79485441713587e-07,3733,110
TNR,md_superior_longitudinal_fasciculus_left,md,-1.41054276167924e-05,3.25278799541292e-06,1.47578734775667e-05,0.00779914196675039,-1.2697282327621e-06,5182,119
CR1,icvf_inferior_fronto_occipital_fasciculus_right,icvf,0.0144465353541535,0.00333170969169901,1.48806556261608e-05,0.00779914196675039,0.000905614317221617,3812,115
TNR,md_superior_longitudinal_fasciculus_right,md,-1.35886550083677e-05,3.13650629938693e-06,1.50272484908485e-05,0.00779914196675039,-1.6036914196372e-06,5182,119
