protein,tract,rho,pval,n,fdr
ptprf,fa_acoustic_radiation_right,0.311063674737125,0.00046189458363677,123,0.743861604663396
col15a1,fa_acoustic_radiation_right,0.314591314574036,0.000616772468349768,115,0.743861604663396
ptprf,fa_superior_thalamic_radiation_right,0.297214331089533,0.000842677894923882,123,0.743861604663396
ube2l6,fa_uncinate_fasciculus_left,-0.302955804687707,0.00105143923647338,114,0.743861604663396
igsf21,fa_superior_longitudinal_fasciculus_right,0.3031781203648,0.00128385732170797,110,0.743861604663396
ctsf,fa_middle_cerebellar_peduncle,-0.286734155909228,0.00130281021706598,123,0.743861604663396
hrg,fa_medial_lemniscus_left,0.298980079953531,0.00136388144153784,112,0.743861604663396
igsf21,fa_anterior_thalamic_radiation_right,0.301158405604381,0.00138836848594714,110,0.743861604663396
prr4,fa_posterior_thalamic_radiation_right,-0.299830940197913,0.00146121075992546,110,0.743861604663396
ssbp1,fa_posterior_thalamic_radiation_left,0.298099767824538,0.00156142021687846,110,0.743861604663396
igsf21,fa_uncinate_fasciculus_left,0.296555439599051,0.00165603676407556,110,0.743861604663396
ppp3r1,fa_uncinate_fasciculus_left,-0.27669847600057,0.00231698634979733,119,0.789167452393136
prr4,fa_inferior_fronto_occipital_fasciculus_left,-0.286125825575367,0.00244350934323558,110,0.789167452393136
prr4,fa_inferior_longitudinal_fasciculus_right,-0.285494668980907,0.00250056345924574,110,0.789167452393136
ctsc,fa_corticospinal_tract_left,0.27509778357236,0.00257054521538207,118,0.789167452393136
eno2,fa_uncinate_fasciculus_left,-0.265366688802852,0.00289506061649651,124,0.789167452393136
itgb6,fa_parahippocampal_cingulum_left,0.269026093871671,0.00296671368523462,120,0.789167452393136
gfap,fa_acoustic_radiation_right,-0.271692726724852,0.00304455239404883,117,0.789167452393136
prr4,fa_inferior_longitudinal_fasciculus_left,-0.278088222366692,0.00326575079033447,110,0.789167452393136
ctsc,fa_corticospinal_tract_right,0.267611086155453,0.00339304932077894,118,0.789167452393136
clec4a,fa_medial_lemniscus_right,-0.260766661077505,0.00357872132807038,123,0.789167452393136
ssbp1,fa_inferior_fronto_occipital_fasciculus_left,0.27538714694678,0.00359336835724178,110,0.789167452393136
gfap,fa_superior_longitudinal_fasciculus_left,-0.266545030169192,0.00367351779094154,117,0.789167452393136
hspa1a,fa_uncinate_fasciculus_left,-0.26035141329259,0.00408071094092733,120,0.839390605135202
ssbp1,fa_inferior_fronto_occipital_fasciculus_right,0.267569821698262,0.00471396346997129,110,0.839390605135202
lpo,fa_parahippocampal_cingulum_left,-0.260623534386653,0.00471911312978494,116,0.839390605135202
il15,fa_corticospinal_tract_left,0.252409120882815,0.0048546258414692,123,0.839390605135202
mepe,fa_acoustic_radiation_right,0.257579852312377,0.00486367837387065,118,0.839390605135202
igsf21,fa_inferior_fronto_occipital_fasciculus_right,0.266277751360267,0.00492659938249765,110,0.839390605135202
igsf21,fa_forceps_minor,0.264573617031163,0.00522011287965969,110,0.859752591279951
cntn5,fa_cingulate_gyrus_cingulum_right,-0.24932043092709,0.00542048670498244,123,0.863955639010265
prr4,fa_parahippocampal_cingulum_left,-0.262033676712576,0.00568651676679932,110,0.878033729523608
obp2b,fa_acoustic_radiation_right,0.250227887765276,0.00605739715058872,119,0.899234214329694
mepe,fa_superior_thalamic_radiation_left,0.250195385257568,0.00628581834457179,118,0.899234214329694
gfap,fa_superior_longitudinal_fasciculus_right,-0.250689825057434,0.00640705917933512,117,0.899234214329694
clec10a,fa_parahippocampal_cingulum_left,0.247112674677565,0.00674089365700569,119,0.899234214329694
hla_e,fa_superior_thalamic_radiation_left,0.2414263994831,0.00714254013855017,123,0.899234214329694
mansc1,fa_superior_longitudinal_fasciculus_right,0.241387705220976,0.00715205716092737,123,0.899234214329694
blmh,fa_superior_longitudinal_fasciculus_left,-0.241122905676439,0.00721748798679159,123,0.899234214329694
ptprf,fa_superior_thalamic_radiation_left,0.240140202437056,0.0074649713469167,123,0.899234214329694
ctsf,fa_forceps_minor,-0.239988262740801,0.00750389920540703,123,0.899234214329694
igsf3,fa_corticospinal_tract_right,0.240936187508468,0.00776490770428471,121,0.899234214329694
mansc1,fa_superior_thalamic_radiation_right,0.23696366125139,0.00831713479295646,123,0.899234214329694
igsf21,fa_superior_longitudinal_fasciculus_left,0.249709778716203,0.00851650248603981,110,0.899234214329694
clec10a,fa_parahippocampal_cingulum_right,0.24005882363452,0.00854699910051443,119,0.899234214329694
igsf21,fa_cingulate_gyrus_cingulum_right,0.249010993475433,0.00870895095486869,110,0.899234214329694
igsf21,fa_superior_thalamic_radiation_right,0.247739655166419,0.0090689289366445,110,0.899234214329694
ppp3r1,fa_forceps_minor,-0.237808004557755,0.00920704119071257,119,0.899234214329694
igsf21,fa_anterior_thalamic_radiation_left,0.247167102098175,0.00923528022115003,110,0.899234214329694
enpp5,fa_parahippocampal_cingulum_left,0.235446906035141,0.00963403301802815,120,0.899234214329694
itgam,fa_parahippocampal_cingulum_left,0.233606557377049,0.00991490173767282,121,0.899234214329694
ca6,fa_superior_thalamic_radiation_left,0.233197116239862,0.0100491251016301,121,0.899234214329694
ssbp1,fa_inferior_longitudinal_fasciculus_left,0.244135878998264,0.0101614833444108,110,0.899234214329694
ctsf,fa_uncinate_fasciculus_left,-0.230640373915853,0.0102728191893798,123,0.899234214329694
wif1,fa_superior_thalamic_radiation_left,0.229343823760818,0.0103997088181629,124,0.899234214329694
