tract,label,ms_n,ctrl_n,ms_mean,ctrl_mean,delta_fa,pval,fdr,sig_label
fa_posterior_thalamic_radiation_left,Post. thalamic radiation (L),125,5204,0.429752168,0.45918935895465,-0.0294371909546503,4.06650052286881e-23,1.09795514117458e-21,**
fa_posterior_thalamic_radiation_right,Post. thalamic radiation (R),125,5204,0.426515888,0.453650614527287,-0.0271347265272867,6.19507533429173e-22,8.36335170129384e-21,**
fa_inferior_longitudinal_fasciculus_left,ILF (L),125,5204,0.438446016,0.46070643716372,-0.0222604211637202,3.53762580784113e-18,3.18386322705702e-17,**
fa_inferior_longitudinal_fasciculus_right,ILF (R),125,5204,0.426657832,0.448885235203689,-0.0222274032036894,6.05162309855245e-18,4.0848455915229e-17,**
fa_inferior_fronto_occipital_fasciculus_right,IFO (R),125,5204,0.443532352,0.463686003843198,-0.0201536518431975,5.39693315723849e-16,2.91434390490878e-15,**
fa_inferior_fronto_occipital_fasciculus_left,IFO (L),125,5204,0.456666248,0.476669260760953,-0.0200030127609531,1.15431051366485e-14,5.19439731149181e-14,**
fa_forceps_major,Forceps major,125,5204,0.556980776,0.581094513835511,-0.0241137378355112,4.67833618905586e-12,1.80450110149297e-11,**
fa_middle_cerebellar_peduncle,Mid. cerebellar peduncle,125,5204,0.468784584,0.481510506917756,-0.0127259229177556,1.64816015098246e-07,5.56254050956579e-07,**
fa_forceps_minor,Forceps minor,125,5204,0.45180964,0.462333967717141,-0.0105243277171406,2.03314763517063e-06,6.09944290551189e-06,**
fa_anterior_thalamic_radiation_right,Ant. thalamic radiation (R),125,5204,0.383470664,0.390135451191391,-0.00666478719139124,3.5183395609075e-05,9.49951681445024e-05,**
fa_anterior_thalamic_radiation_left,Ant. thalamic radiation (L),125,5204,0.389991296,0.39711142121445,-0.00712012521445043,4.85155051587302e-05,0.000119083512662338,**
fa_parahippocampal_cingulum_right,Parahippo. cingulum (R),125,5204,0.29565964,0.306479709069946,-0.0108200690699462,6.77958606239943e-05,0.000147127856183497,**
fa_parahippocampal_cingulum_left,Parahippo. cingulum (L),125,5204,0.301050184,0.310072497886241,-0.00902231388624136,7.08393381624247e-05,0.000147127856183497,**
fa_uncinate_fasciculus_right,Uncinate fasciculus (R),125,5204,0.376469048,0.384757872982321,-0.00828882498232131,9.28370423447795e-05,0.000179042867379218,**
fa_superior_longitudinal_fasciculus_left,SLF (L),125,5204,0.435919128,0.443579669292852,-0.00766054129285165,0.000159057713692631,0.000281104120991535,**
fa_medial_lemniscus_left,Medial lemniscus (L),125,5204,0.416880336,0.425027351076095,-0.00814701507609528,0.000166580219846836,0.000281104120991535,**
fa_uncinate_fasciculus_left,Uncinate fasciculus (L),125,5204,0.377568832,0.385779396233666,-0.0082105642336664,0.00029828095710962,0.00047374034364469,**
fa_medial_lemniscus_right,Medial lemniscus (R),125,5204,0.41802212,0.425362330707148,-0.00734021070714835,0.00073754050915931,0.00110631076373896,**
fa_superior_longitudinal_fasciculus_right,SLF (R),125,5204,0.417603624,0.423845240584166,-0.006241616584166,0.00105701519048023,0.00150207421805085,**
fa_acoustic_radiation_left,Acoustic radiation (L),125,5204,0.415402488,0.423201088777863,-0.00779860077786315,0.00134771256373431,0.00181941196104132,**
fa_superior_thalamic_radiation_right,Sup. thalamic radiation (R),125,5204,0.415514224,0.41989245292083,-0.00437822892083012,0.0033033618467871,0.0042471795172977,**
fa_superior_thalamic_radiation_left,Sup. thalamic radiation (L),125,5204,0.419533032,0.423356291698693,-0.00382325969869329,0.0242587358851611,0.0297720849499705,*
fa_corticospinal_tract_right,Corticospinal (R),125,5204,0.530305456,0.534543452344351,-0.00423799634435051,0.0266229401796239,0.031253016732602,*
fa_cingulate_gyrus_cingulum_right,Cingulate cingulum (R),125,5204,0.486889648,0.493417899500384,-0.00652825150038433,0.0313352965469558,0.0352522086153253,*
fa_acoustic_radiation_right,Acoustic radiation (R),125,5204,0.405492328,0.409885941391238,-0.00439361339123751,0.0640318161189449,0.0669476832880459,""
fa_corticospinal_tract_left,Corticospinal (L),125,5204,0.54028004,0.543697806110684,-0.00341776611068412,0.0644681394625627,0.0669476832880459,""
fa_cingulate_gyrus_cingulum_left,Cingulate cingulum (L),125,5204,0.52714572,0.53152507782475,-0.00437935782475019,0.18680159566496,0.18680159566496,""
