protein,rho,p_value,n,fdr,sig
cd8a,-0.248991639623322,0.00443512705009923,129,0.39364506827071,FALSE
mog,0.247814523444064,0.00463240064288628,129,0.39364506827071,FALSE
prr4,0.245731497305561,0.00933260281707758,111,0.39364506827071,FALSE
igsf21,-0.244741372859366,0.00898648375086875,113,0.39364506827071,FALSE
egfr,0.223064212702569,0.0113770250945292,128,0.39364506827071,FALSE
nefl,0.218699990551413,0.013882277581123,126,0.400272336922379,FALSE
tnr,-0.20985317927244,0.0188301291929406,125,0.440109011401618,FALSE
gfap,0.209840724340757,0.0203518617989188,122,0.440109011401618,FALSE
lamp3,0.19165111042243,0.0289369573156189,130,0.556232623955786,FALSE
tf,-0.187012495117554,0.0453633251368859,115,0.708152316260533,FALSE
lto1,-0.177947056591869,0.0471003605835665,125,0.708152316260533,FALSE
blmh,0.174284377695967,0.0491203918793433,128,0.708152316260533,FALSE
trem2,0.158265981133528,0.0804000429502945,123,0.982883993971503,FALSE
vgf,0.145670017438865,0.115500277876416,118,0.982883993971503,FALSE
lgals9,0.133653852355575,0.140541155005257,123,0.982883993971503,FALSE
tgfa,0.130425390376454,0.142268558960457,128,0.982883993971503,FALSE
jchain,-0.12693740994596,0.158345224010958,125,0.982883993971503,FALSE
bcan,-0.125979075172538,0.161536427479788,125,0.982883993971503,FALSE
sez6l2,-0.125138545389785,0.162662689236331,126,0.982883993971503,FALSE
thpo,0.124892582769874,0.168704481514211,123,0.982883993971503,FALSE
ctsc,0.12478577083017,0.169071902744724,123,0.982883993971503,FALSE
mansc1,-0.117258147198828,0.189216376068231,127,0.982883993971503,FALSE
ache,0.11725688757178,0.218225128530043,112,0.982883993971503,FALSE
pdia3,-0.115856236786469,0.223812310623829,112,0.982883993971503,FALSE
ctsf,0.115503478579275,0.195969310407999,127,0.982883993971503,FALSE
serpind1,-0.114294394173651,0.223881553209327,115,0.982883993971503,FALSE
acp5,0.112992666644137,0.209614135737615,125,0.982883993971503,FALSE
cbln4,0.111021510260493,0.210364182010611,129,0.982883993971503,FALSE
cr1,-0.109746754110591,0.238832860181778,117,0.982883993971503,FALSE
ret,0.103580207844448,0.248416146607464,126,0.982883993971503,FALSE
clec4m,0.10238187409155,0.269933979815708,118,0.982883993971503,FALSE
vat1,-0.102305365287502,0.254318071569583,126,0.982883993971503,FALSE
susd2,-0.101363633636696,0.258739268681718,126,0.982883993971503,FALSE
cd34,0.101325193775698,0.253215173432868,129,0.982883993971503,FALSE
chga,0.0999167330124389,0.281696533644816,118,0.982883993971503,FALSE
tnfrsf6b,0.0992138224695007,0.270975451586715,125,0.982883993971503,FALSE
scrg1,0.0986231571848716,0.290100791520919,117,0.982883993971503,FALSE
robo1,0.0965715769149786,0.284006523881374,125,0.982883993971503,FALSE
hspa1a,0.0962274903649221,0.285733823185283,125,0.982883993971503,FALSE
mia,-0.0958095935554742,0.283939790307317,127,0.982883993971503,FALSE
arl13b,0.0951420488490415,0.313968290904879,114,0.982883993971503,FALSE
pepd,-0.0943300089173918,0.31171120698414,117,0.982883993971503,FALSE
snx18,-0.0936642337900571,0.313050010687463,118,0.982883993971503,FALSE
rgmb,0.0925174593547686,0.297037689494582,129,0.982883993971503,FALSE
cd248,0.0916373437150588,0.3236827815289,118,0.982883993971503,FALSE
ssbp1,-0.0913616260671653,0.338043011090196,112,0.982883993971503,FALSE
penk,-0.0913573550360743,0.338065689783585,112,0.982883993971503,FALSE
klk6,0.0911752600875968,0.307985123196881,127,0.982883993971503,FALSE
st6gal1,0.0888405662335227,0.318652988145891,128,0.982883993971503,FALSE
dcbld2,0.088193206601037,0.324141521519836,127,0.982883993971503,FALSE
plxdc1,-0.0868513534279267,0.341488686100391,122,0.982883993971503,FALSE
art3,0.0859879753854851,0.340344915615834,125,0.982883993971503,FALSE
cst5,-0.0844377165624439,0.351128585189494,124,0.982883993971503,FALSE
cpa2,-0.0838216734986193,0.344950950943981,129,0.982883993971503,FALSE
tnxb,-0.0834738161944243,0.352746012369897,126,0.982883993971503,FALSE
ptprr,0.083047712262093,0.371283663704303,118,0.982883993971503,FALSE
glb1,-0.0817851974967665,0.364554750024394,125,0.982883993971503,FALSE
ptprf,0.0795230363159875,0.372238175917142,128,0.982883993971503,FALSE
clec4a,-0.0789434154451335,0.375744355717502,128,0.982883993971503,FALSE
