ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0045214,sarcomere organization,7/29,50/18860,0.14,91.048275862069,25.0200194973889,8.86893911779977e-13,6.78473842511682e-10,4.6958698697403e-10,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0030239,myofibril assembly,7/29,75/18860,0.0933333333333333,60.6988505747126,20.3288419292245,1.71785619295876e-11,6.57079993806727e-09,4.54779823714873e-09,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0055001,muscle cell development,8/29,206/18860,0.0388349514563107,25.2561098091731,13.7369529743162,6.23275422519636e-10,1.58935232742507e-07,1.10002644746448e-07,MYBPC1/MYOM3/CSRP3/MEGF10/MYOM2/CAPN3/ACTN2/TTN,8,all
GO:0031032,actomyosin structure organization,8/29,215/18860,0.0372093023255814,24.1988773055333,13.4253816864657,8.74745132558421e-10,1.67295006601798e-07,1.15788632020233e-07,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN/SORBS1,8,all
GO:0010927,cellular component assembly involved in morphogenesis,7/29,138/18860,0.0507246376811594,32.9885057471264,14.8005895175054,1.31461767395651e-09,1.67613753429456e-07,1.16009243859671e-07,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0032989,cellular anatomical entity morphogenesis,7/29,138/18860,0.0507246376811594,32.9885057471264,14.8005895175054,1.31461767395651e-09,1.67613753429456e-07,1.16009243859671e-07,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0055002,striated muscle cell development,7/29,178/18860,0.0393258426966292,25.5753583882216,12.927656821511,7.76311095576372e-09,8.48397125879893e-07,5.87194708383331e-07,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0042692,muscle cell differentiation,8/29,441/18860,0.018140589569161,11.7976385956682,9.00402507032081,2.33911032100637e-07,2.23677424446234e-05,1.54812169929764e-05,MYBPC1/MYOM3/CSRP3/MEGF10/MYOM2/CAPN3/ACTN2/TTN,8,all
GO:0051146,striated muscle cell differentiation,7/29,321/18860,0.0218068535825545,14.1819744333441,9.34784422290447,4.38514097634746e-07,3.72736982989534e-05,2.57979638725471e-05,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
GO:0140694,membraneless organelle assembly,7/29,446/18860,0.015695067264574,10.2072058141333,7.72223206618505,3.92424875053917e-06,0.000300205029416246,0.000207778644370653,MYBPC1/MYOM3/CSRP3/MYOM2/CAPN3/ACTN2/TTN,7,all
