cell_type,NGenes,direction,pval,padj,analysis,analysis_label
Inhibitory neurons,257,Down,0.0467477221594864,0.344342664394366,combined,Combined MS vs HC
Oligodendrocyte precursor cells,223,Down,0.0648282894919429,0.344342664394366,combined,Combined MS vs HC
Excitatory neurons,251,Down,0.0694265986845172,0.344342664394366,combined,Combined MS vs HC
Oligodendrocytes,168,Down,0.0765205920876368,0.344342664394366,combined,Combined MS vs HC
NK-cells,145,Down,0.136986773049921,0.431954717100389,combined,Combined MS vs HC
Macrophages,247,Up,0.16428076389848,0.431954717100389,combined,Combined MS vs HC
T-cells,156,Down,0.167982389983485,0.431954717100389,combined,Combined MS vs HC
Pericytes,91,Down,0.252901816368234,0.541139930913651,combined,Combined MS vs HC
Smooth muscle,138,Down,0.270569965456826,0.541139930913651,combined,Combined MS vs HC
B-cells,122,Down,0.325907681305331,0.546730630571643,combined,Combined MS vs HC
monocytes,193,Up,0.334113163127115,0.546730630571643,combined,Combined MS vs HC
Astrocytes,195,Down,0.465232442954247,0.69784866443137,combined,Combined MS vs HC
granulocytes,121,Up,0.580238282100546,0.79101613754523,combined,Combined MS vs HC
Plasma cells,118,Up,0.681632282525728,0.79101613754523,combined,Combined MS vs HC
Endothelial,260,Down,0.711115556972389,0.79101613754523,combined,Combined MS vs HC
Microglial cells,197,Down,0.731080567133299,0.79101613754523,combined,Combined MS vs HC
dendritic cells,128,Down,0.747070796570495,0.79101613754523,combined,Combined MS vs HC
Fibroblasts,79,Down,0.911784689448172,0.911784689448172,combined,Combined MS vs HC
Inhibitory neurons,257,Down,0.00254339839452104,0.0320811726446249,pre,Pre-onset vs HC
Oligodendrocyte precursor cells,223,Down,0.00356457473829166,0.0320811726446249,pre,Pre-onset vs HC
Excitatory neurons,251,Down,0.0068698890515104,0.0412193343090624,pre,Pre-onset vs HC
Astrocytes,195,Down,0.0202135624014409,0.0909610308064838,pre,Pre-onset vs HC
Oligodendrocytes,168,Down,0.0543453542718978,0.172697529111326,pre,Pre-onset vs HC
Microglial cells,197,Down,0.0575658430371086,0.172697529111326,pre,Pre-onset vs HC
NK-cells,145,Down,0.112323668798972,0.279547398408922,pre,Pre-onset vs HC
T-cells,156,Down,0.129003058559516,0.279547398408922,pre,Pre-onset vs HC
Macrophages,247,Up,0.139773699204461,0.279547398408922,pre,Pre-onset vs HC
granulocytes,121,Up,0.485767665655587,0.824581224842949,pre,Pre-onset vs HC
Pericytes,91,Down,0.503910748515136,0.824581224842949,pre,Pre-onset vs HC
Endothelial,260,Down,0.601309424274564,0.901964136411845,pre,Pre-onset vs HC
