analysis,analysis_label,cell_type,size,NES,ES,pval,padj,leading_edge,log2err
combined,Combined MS vs HC,Astrocytes,195,-1.37143002171331,-0.310235282252355,0.0168061308812319,0.0378137944827719,"BCAN,DNER,NELL2,LRRN1,DPP6,AMY2B,RGMA,MEGF10,IGDCC4,TNR,SCRG1,ROBO1,CNTN5,SPOCK1,WIF1,ADAM23,EPHA4,WFIKKN1,SNAP25,ENPP6,NTRK3,JAM2,DPP10,NPL,NCAN,PALM,VSNL1,CNTN1,COL28A1,ZHX2,BOC,PCDH7,NFASC,MDGA1,FLRT2,NTRK2,SEZ6L,ADAM22,PCDH9,CD109,ADGRB3,TMPRSS5,NRCAM,ERBB4,THBS4,CACNB1,CD38",0.352487857583619
combined,Combined MS vs HC,B-cells,122,-1.21971926197075,-0.294124541433527,0.124804992199688,0.187207488299532,"ITGB2,CA6,KLRK1,CR1,CLEC10A,LY9,TCL1A,ICOSLG,LCP1,ITGB7,PPY,SERPINA9,IL16,APBB1IP,TIGIT,GZMB,FCRL2,TNFRSF13C,PTPRC,CD79B",0.155241966228839
combined,Combined MS vs HC,Endothelial,260,-1.1096623968804,-0.243362291460332,0.232954545454545,0.279545454545455,"CDA,TNXB,CRTAC1,ITGB6,LPO,GRP,CD34,MYOC,PTPRR,CD160,FAM3B,EPS8L2,MIA,WFIKKN1,CLEC3B,GSTA1,BMP4,CA5A,DIPK2B,FUT1,OMD,CLEC1A,APOA1,ADAMTS8,HSPG2,KAZALD1,DMP1,LAYN,RBKS,VTCN1,PLA2G10,SERPINA5,CSF3,KLRF1,KRT18,ICAM4,DKKL1,IGFBP3,CEACAM16,TNFRSF10C,PODXL,SELE,GIMAP7,CDH5,THBD,CD300LG,GIPC2",0.103197466945307
combined,Combined MS vs HC,Excitatory neurons,251,-1.73841761816951,-0.38309644478543,3.00136814373074e-06,5.40246265871533e-05,"OMG,ITGA11,FAP,BCAN,ENPP5,CRTAC1,NELL2,LRRN1,DPP6,AMY2B,NPTXR,THY1,CBLN4,TNR,VGF,IGSF21,ROBO1,PTPRR,CNTN5,L1CAM,SPOCK1,PTPRN2,ART3,LRTM2,ENO2,ADAM23,SCN4B,EPHA4,SNAP25,EXTL1,NTRK3,CNTNAP2,GHR,DPP10,NCAN,GPR158,VSNL1,CNTN1,ADAMTS8,COL28A1,CPLX2,SLITRK1,CNTN4,CNTN2,APLP1,FGF9,PCDH7,NFASC,PLXNA4,CNTNAP4,FLRT2,CLSTN2,SCG2,NTRK2,SEZ6L,JAM3,SV2A,CDON,ADAM22,CDH6,PCDH9,MAP2,ADGRB3,TMPRSS5",0.627256739718528
combined,Combined MS vs HC,Fibroblasts,79,-0.950954594577872,-0.248562225451806,0.556302521008403,0.556302521008403,"FAP,COL15A1,CNTN5,SFRP4,ENPP6,BMP4,SCARA5,FNDC1,COL1A1,LEFTY2,EGFLAM,IL34,MFAP5,KRT18,SELE,GAL,OGN,PLA2G2A,FBN2,CPXM2,MME,WFIKKN2,EFEMP1,NTF3,KLK7,GPHA2,CXCL6",0.0649407684612899
combined,Combined MS vs HC,Inhibitory neurons,257,-1.69749597184949,-0.372730676002206,1.39276283781695e-05,0.000125348655403525,"RET,BCAN,DNER,CRTAC1,NELL2,LRRN1,DPP6,AMY2B,NPTXR,MEPE,THY1,CBLN4,TNR,VGF,IGSF21,ROBO1,PTPRR,CNTN5,L1CAM,SPOCK1,PTPRN2,WIF1,LRTM2,ENO2,ADAM23,SCN4B,EPHA4,SNAP25,EXTL1,NTRK3,CNTNAP2,GHR,JAM2,KIT,DPP10,NCAN,GPR158,VSNL1,CNTN1,COL28A1,CRH,CPLX2,SLITRK1,CNTN4,CNTN2,APLP1,FGF9,PCDH7,NFASC,PLXNA4,CNTNAP4,FLRT2,CLSTN2,SCG2,NTRK2,SEZ6L,OSTN,SV2A,CDON,ADAM22,CDH6,PCDH9,MAP2,ADGRB3,NRCAM,ERBB4,NXPH1,FBN2",0.593325476396405
combined,Combined MS vs HC,Macrophages,247,1.41209634070465,0.286669853089317,0.00218074674838193,0.0068783241324005,"LILRB4,MERTK,CD83,OSCAR,IL2RA,IL1RN,TREM2,ACP5,TNFSF13,MMP1,MMP12,CD5L,SIGLEC8,SIGLEC1,CXCL16,HAVCR2,TNFRSF1B,VSIG4,CPVL,IL18BP,CLEC4D,CCL8,ASGR2,PDGFB,OTOA,CCL7,CD300C,HGF,FABP4,FCGR3B,LILRA2,IL1RL2,PPBP,CD14,TNFSF13B,CXCL9,CSF2RA,IL10,CXCL10,MMP9,IFI30,SLAMF8,MSR1,RNASE6,CCL3,VCAN,IL18R1,LRRC25,GIMAP8,OSM,SH2B3,TNFSF14,CD300LF,IL3RA,SIGLEC7,IL12RB1,KRT6C,TREML1,CEACAM3,EREG,LILRB2,CCL13,PLA2G7,IL1A,OLR1,PILRA,TNFRSF8,ASGR1,SIRPB1,RETN,CCL17,CD36,CLEC5A,AIF1",0.431707695803346
combined,Combined MS vs HC,Microglial cells,197,-1.31838798609662,-0.297639220169945,0.0409356725146199,0.0669856459330144,"ITGAM,ITGA11,FAP,HPGDS,COL15A1,MEGF10,IGDCC4,PLXDC1,GRP,CD34,VGF,IGSF21,CNTN5,EPHA4,SNAP25,NTRK3,CLEC3B,CNTNAP2,GHR,CA5A,DIPK2B,FNDC1,JAM2,DPP10,NPL,NCAN,CLEC1A,APBB1IP,VSNL1",0.271288554688953
combined,Combined MS vs HC,NK-cells,145,-1.52094282580472,-0.357816830582294,0.00229277471080017,0.0068783241324005,"ITGAM,ITGB2,GZMA,CD8A,ADA,FGFBP2,KLRK1,FCRL6,CD160,LY9,GZMH,LCP1,ITGB7,CRTAM,IL16,KLRB1,FASLG,APBB1IP,GNLY,CD244,TIGIT,GZMB,KLRD1,PTPRC,CSF2,CD79B,PADI4,KLRF1,GIMAP7,IL7R,KIR3DL1,ITGAL,BATF",0.431707695803346
combined,Combined MS vs HC,Oligodendrocyte precursor cells,223,-1.64203825402417,-0.365546032499195,0.000107191778084274,0.000643150668505643,"OMG,BCAN,DNER,CRTAC1,NELL2,LRRN1,DPP6,AMY2B,NPTXR,MEGF10,IGDCC4,TNR,CHAD,SCRG1,IGSF21,ROBO1,CNTN5,SPOCK1,PTPRN2,ADGRG2,ADAM23,SNAP25,ENPP6,EXTL1,NTRK3,CNTNAP2,GHR,JAM2,CSPG4,DPP10,NCAN,GPR158,CNTN1,COL28A1,ZHX2,SLITRK1,CNTN4,CNTN2,PCDH7,NFASC,PLXNA4,CNTNAP4,FLRT2,CLSTN2,SCG2,NTRK2,SEZ6L,OSTN,JAM3,SV2A,ADAM22,CDH6,PCDH9,MAP2,ADGRB3,NRCAM,ERBB4,NXPH1,THBS4,FBN2",0.538434096309916
combined,Combined MS vs HC,Oligodendrocytes,168,-1.58757996415621,-0.36566227713383,0.00149443032258709,0.00672493645164191,"OMG,CA14,ITGA2,DNER,KLK6,TF,DPP6,AMY2B,MEGF10,SCRG1,ROBO1,CNTN5,SPOCK1,ADGRG2,SNAP25,ENPP6,KEL,CNTNAP2,DIPK2B,DPP10,GPR158,VSNL1,ZHX2,SLITRK1,LAYN,CNTN2,APLP1,CPB1,CAPN3,NFASC,CNTNAP4,CLSTN2,JAM3,SV2A,RASSF2,ADAM22,PCDH9,ADGRB3,TMPRSS5,CNDP1,ERBB4,THBS4,DAPK2",0.45505986738723
combined,Combined MS vs HC,Pericytes,91,-1.20950751234438,-0.310891094416825,0.165562913907285,0.229240957717779,"CD248,CBLN4,CLEC4M,SMOC2,OBP2B,ADGRG2,SFRP4,SCN4B,BMP4,GHR,CSPG4,MELTF,ADAMTSL5,FZD10,IL34,DKKL1,C1QTNF1,TNN,CXCL5,F10,CD38,RBPMS2,SYTL4,SRPX,ISM1,TFAP2A,GH1,OXT,CR2,MYL3,TSPAN1,CXCL6,ABO",0.137250779610133
combined,Combined MS vs HC,Plasma cells,118,1.07362206620153,0.239909538207528,0.25068870523416,0.28202479338843,"LILRB4,MERTK,ST6GAL1,JCHAIN,IL2RG,FGL1,C9,GAST,ITIH3,FCGR3B,GPR101,TNFRSF4,CD70,ORM1,F2R,RNASE6,CCL3,CCL11,IFNLR1,IL21R,F9,IL12RB1,IL5RA",0.144630528034484
combined,Combined MS vs HC,Smooth muscle,138,-1.36848285374793,-0.324084837463864,0.027149154804207,0.0488684786475727,"FAP,RET,ACHE,ENPP5,CRTAC1,CD248,MYOC,SMOC2,OBP2B,ART3,SCN4B,CALCA,GHR,FNDC1,CSPG4,ADAMTSL5,COL28A1,HSPG2,LEFTY2,TGFBI,FZD10,SOD3,DMP1,EGFLAM,IL34,CASQ2,LMOD1,C1QTNF1",0.352487857583619
combined,Combined MS vs HC,T-cells,156,-1.43854549696028,-0.336946343662971,0.00767444579803053,0.0197342891949356,"ITGB2,CA6,GZMA,NELL2,CD8A,FGFBP2,KLRK1,FCRL6,CD160,LY9,GZMH,LCP1,ITGB7,CRTAM,IL16,KLRB1,FASLG,APBB1IP,GNLY,CD244,TIGIT,GZMB,KLRD1,TNFRSF13C,PTPRC,CSF2,CD79B,KLRF1,GIMAP7,IL7R,KIR3DL1,ITGAL,BATF",0.407017918923954
combined,Combined MS vs HC,dendritic cells,128,-1.15401342995767,-0.276640274041024,0.182527301092044,0.234677958546913,"ITGB2,RET,CLEC4A,GZMA,DKK4,ADA,ADGRE2,LY9,TCL1A,GZMH,ICOSLG,LCP1,ITGB7,IL16,APBB1IP,GNLY,TGFBI,ZHX2,GZMB,TNFRSF13C,PTPRC,PADI4,SEMA7A,PLXNA4,IL7R,THBD,ITGAL,RASSF2",0.12563992130984
combined,Combined MS vs HC,granulocytes,121,0.979202273475858,0.218353281264841,0.527173913043478,0.556302521008403,"CD83,IL2RA,SIGLEC8,HAVCR2,SFTPA2,PLAT,CD300C,TIE1,TNFRSF4,TPSD1,IL1RL1,KLK13,CCL23,IL18R1,CSF1,LRRC25,OSM,SH2B3,PRG2,CD300LF,PROCR,SIGLEC7,KRT6C,IL5RA,SFTPA1,PAG1,TMPRSS11B,SKAP1,TPSAB1,TPSG1,SFTPD,PDCD1LG2,GRAP2,CD226,VWA5A,DOK1,LAIR1,CRNN,ADAM12,MILR1,RAB37,ST8SIA1,CCL4,CALB2,SPINK5,FCER1A,IL13,IL18RAP",0.0931454575337804
combined,Combined MS vs HC,monocytes,193,1.25690586676264,0.263968118234092,0.0267647830197974,0.0488684786475727,"LILRB4,MERTK,IL15,CD83,OSCAR,IL1RN,IL6,CXCL16,HAVCR2,TNFRSF1B,CPVL,IL18BP,HS3ST3B1,CLEC4D,IL2RG,CCL20,PRND,IL1RAP,CDH23,CD300C,HGF,FCGR3B,LILRA2,IL1RL2,TNFSF13B,CXCL9,CSF2RA,IL10,CXCL10,IFI30,MSR1,CCL3,CCL23,LRRC25,OSM,SH2B3,IL21R,CD300LF,IL3RA,SIGLEC7,IL12RB1,CEACAM3,PAG1,EREG,LILRB2,PLA2G7,IL1A,OLR1,PILRA,TNFRSF8,SIRPB1,RETN,UPK3A",0.352487857583619
pre,Pre-onset vs HC,Astrocytes,195,-1.59849800060494,-0.333806769800847,0.000618675861713513,0.00222723310216865,"SPOCK1,FGFR2,ROBO1,DPP6,BCAN,NFASC,NELL2,NPL,DIPK1C,UNC79,SLITRK2,CNTN3,TMPRSS5,MEGF10,JAM2,VSNL1,CD109,PCDH7,PALM,PCDH9,ERBB4,NCAN,NTRK3,ZHX2,WFIKKN1,DNM3,CDH4,LCAT,ADAM23,ADAMTSL2,MDGA1,PCDH17,SEZ6L,WASF3,PTPRZ1,LRRN1,TNR,IL17D,PTPRM,CACNB1,NRCAM,KIAA0319,ERC2,EPHA4,CDH2,LRP2BP,NTRK2,ROBO2,BRSK2,NCS1,CA8,ENTPD2,TMEM132A,TLR4,SNED1,IGDCC4,MASP1,CADPS,PLIN1,PAMR1,KIAA1549L,PXDNL,BMPER,SNAP25,CACNA1C",0.477270815362862
pre,Pre-onset vs HC,B-cells,122,-0.802967040331034,-0.180112520969198,0.876777251184834,0.876777251184834,"PTPRC,ITGB2,CR1,LY9,IRAG2,CD22,GKN1,BLNK,TCL1A,ARHGAP25,FLI1,ITGB7,KLRK1,CD80,CD48,PLSCR3,CLEC7A,LILRB1,CD84,TIGIT,SERPINB9,CD86,SLAMF8,TLR1,IL16,WAS,ICOSLG,CA6,TNFRSF13C,PLCB2,CD200R1,CD69",0.0409055783172035
