cell_type,n_universe,n_markers,n_DEPs,n_DEP_markers,odds_ratio,p_overrep,p_twosided,overlap_genes,p_adj,analysis,analysis_label,direction,fdr_threshold,log2_OR
Macrophages,2911,1416,68,39,1.43156323203834,0.091481537744718,0.176574489109422,"ACP5,ARL13B,CD302,CD5L,CD83,CKB,CTSC,CTSF,CTSL,CXCL16,ELOB,GLB1,IFIT3,IGFBP2,IL15,IL1RN,IL2RA,IL6,JCHAIN,LGALS9,LILRB4,MERTK,MMP1,MMP12,OSCAR,PDIA3,PLA2G15,PLAUR,PSAP,RNASET2,SIGLEC1,SIGLEC8,SNX18,SSBP1,ST6GAL1,TNFSF13,TPP1,TREM2,UBE2L6",0.31783408039696,combined,Combined MS vs HC,up,0.05,0.517591395474125
Microglial cells,2911,1150,68,29,1.14219277601558,0.338215132771789,0.61670583780103,"ARL13B,CD83,CHGA,CKB,CTSC,CTSF,CTSL,CX3CL1,CXCL16,DCBLD2,GLB1,IFIT3,IGFBP2,LGALS9,LILRB4,LTBP2,MANSC1,MERTK,NEFL,PDIA3,PSAP,RNASET2,ROBO4,SIGLEC8,SNX18,SSBP1,ST6GAL1,TPP1,TREM2",0.740047005361236,combined,Combined MS vs HC,up,0.05,0.191806165175769
Fibroblasts,2911,173,68,5,1.26358639887689,0.379354322243295,0.599154075938708,"CTSC,IGFBP2,IL6,LTBP2,SUSD2",0.740047005361236,combined,Combined MS vs HC,up,0.05,0.337524313249599
Pericytes,2911,321,68,8,1.07773930339439,0.480078428835612,0.844005907972726,"CD302,CD83,CTSF,CTSL,DCBLD2,IFIT3,IGFBP2,UBE2L6",0.893653314324063,combined,Combined MS vs HC,up,0.05,0.108008243781591
monocytes,2911,1227,68,28,0.959808133353897,0.611328476393528,0.901732387981675,"ACP5,ARL13B,CD302,CD83,CKB,CTSC,CTSL,CXCL16,ELOB,GLB1,IFIT3,IL15,IL1RN,IL6,LGALS9,LILRB4,LTO1,MERTK,OSCAR,PDIA3,PLAUR,PSAP,RNASET2,SNX18,SSBP1,ST6GAL1,TPP1,UBE2L6",0.901732387981675,combined,Combined MS vs HC,up,0.05,-0.0591820564742056
Smooth muscle,2911,724,68,15,0.85189895587674,0.74925457612752,0.671303914377784,"ARL13B,CKB,CTSL,CX3CL1,DCBLD2,ELOB,IGFBP2,IL6,MERTK,PDIA3,PLAUR,RNASET2,SNX18,SSBP1,SUSD2",0.755216903675007,combined,Combined MS vs HC,up,0.05,-0.231245773004871
granulocytes,2911,1277,68,27,0.839289339277081,0.794357909712861,0.53731467319566,"ACP5,ARL13B,CD302,CD83,CKB,CTSC,CTSF,CTSL,CXCL16,DCBLD2,ELOB,GLB1,IFIT3,IGFBP2,IL1RN,IL2RA,LGALS9,PDIA3,PI3,PLAUR,PSAP,PTPRF,RNASET2,SIGLEC8,SSBP1,TPP1,UBE2L6",0.740047005361236,combined,Combined MS vs HC,up,0.05,-0.252759839193512
Oligodendrocytes,2911,1062,68,20,0.720247012495128,0.913747454583595,0.252050365604322,"ARL13B,CHGA,CKB,CTSF,CTSL,DCBLD2,ELOB,GLB1,IFIT3,LTO1,MANSC1,MOG,NEFL,PDIA3,PSAP,PTPRF,SNX18,SSBP1,TGFA,TPP1",0.378075548406484,combined,Combined MS vs HC,up,0.05,-0.473436323629121
Endothelial,2911,1019,68,19,0.714710838363421,0.915782719315761,0.247756185223449,"ARL13B,CD302,CD83,CTSC,CX3CL1,ELOB,IFIT3,IL6,LGALS9,MANSC1,MERTK,PDIA3,PLAUR,PSAP,ROBO4,SSBP1,ST6GAL1,TPP1,UBE2L6",0.378075548406484,combined,Combined MS vs HC,up,0.05,-0.484568428434952
Oligodendrocyte precursor cells,2911,1015,68,18,0.666646611275854,0.94772003712903,0.157551794273513,"ARL13B,CKB,CTSC,CTSF,CTSL,CX3CL1,DCBLD2,ELOB,GLB1,IL17RB,NEFL,PDIA3,PSAP,PTPRF,RNASET2,SSBP1,ST6GAL1,TGFA",0.31783408039696,combined,Combined MS vs HC,up,0.05,-0.585005902093287
