ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0002696,positive regulation of leukocyte activation,10/57,381/18860,0.026246719160105,8.68444076069439,8.34293206365842,1.86582207892386e-07,0.000165672749877988,0.000113533419068962,LILRB4/IL15/IGFBP2/LGALS9/CD83/IL2RA/TNFSF13/TREM2/CTSC/IL6,10,up_DEPs
GO:1903978,regulation of microglial cell activation,4/57,19/18860,0.210526315789474,69.6583564173592,16.4854730449446,2.80876049068906e-07,0.000165672749877988,0.000113533419068962,TREM2/CTSC/CX3CL1/IL6,4,up_DEPs
GO:0050867,positive regulation of cell activation,10/57,401/18860,0.0249376558603491,8.25130157063482,8.08103994715695,2.99048284978319e-07,0.000165672749877988,0.000113533419068962,LILRB4/IL15/IGFBP2/LGALS9/CD83/IL2RA/TNFSF13/TREM2/CTSC/IL6,10,up_DEPs
GO:0022409,positive regulation of cell-cell adhesion,9/57,343/18860,0.0262390670553936,8.68190885376707,7.90522220273167,8.17687897789524e-07,0.00024663595575453,0.000169016469774148,LILRB4/IL15/IGFBP2/LGALS9/CD83/PLAUR/IL2RA/CX3CL1/IL6,9,up_DEPs
GO:0010720,positive regulation of cell development,10/57,451/18860,0.0221729490022173,7.33652312599681,7.49906954819475,8.74366431556429e-07,0.00024663595575453,0.000169016469774148,NEFL/LILRB4/GFAP/IL15/LGALS9/CD83/IL2RA/TREM2/CX3CL1/IL6,10,up_DEPs
GO:0002274,myeloid leukocyte activation,8/57,255/18860,0.0313725490196078,10.3804609563123,8.3035273077204,9.33096522178611e-07,0.00024663595575453,0.000169016469774148,LILRB4/CHGA/IL15/LGALS9/TREM2/CTSC/CX3CL1/IL6,8,up_DEPs
GO:0070661,leukocyte proliferation,9/57,356/18860,0.0252808988764045,8.36487285629805,7.72397088315197,1.11333728791487e-06,0.00024663595575453,0.000169016469774148,LILRB4/IL15/IGFBP2/LGALS9/IL2RA/TNFSF13/TREM2/CX3CL1/IL6,9,up_DEPs
GO:0032611,interleukin-1 beta production,6/57,116/18860,0.0517241379310345,17.1143375680581,9.58503049699662,1.33557376762381e-06,0.00024663595575453,0.000169016469774148,LILRB4/LGALS9/ACP5/TREM2/CX3CL1/IL6,6,up_DEPs
GO:0032651,regulation of interleukin-1 beta production,6/57,116/18860,0.0517241379310345,17.1143375680581,9.58503049699662,1.33557376762381e-06,0.00024663595575453,0.000169016469774148,LILRB4/LGALS9/ACP5/TREM2/CX3CL1/IL6,6,up_DEPs
GO:0032613,interleukin-10 production,5/57,67/18860,0.0746268656716418,24.6923278345117,10.6962184245285,1.76430764054389e-06,0.000266570845325813,0.000182677594934784,LILRB4/LGALS9/CD83/TREM2/IL6,5,up_DEPs
GO:0032653,regulation of interleukin-10 production,5/57,67/18860,0.0746268656716418,24.6923278345117,10.6962184245285,1.76430764054389e-06,0.000266570845325813,0.000182677594934784,LILRB4/LGALS9/CD83/TREM2/IL6,5,up_DEPs
GO:0032612,interleukin-1 production,6/57,136/18860,0.0441176470588235,14.5975232198142,8.76219940023115,3.37682812847031e-06,0.000431714488424435,0.000295848423887034,LILRB4/LGALS9/ACP5/TREM2/CX3CL1/IL6,6,up_DEPs
GO:0032652,regulation of interleukin-1 production,6/57,136/18860,0.0441176470588235,14.5975232198142,8.76219940023115,3.37682812847031e-06,0.000431714488424435,0.000295848423887034,LILRB4/LGALS9/ACP5/TREM2/CX3CL1/IL6,6,up_DEPs
GO:0006959,humoral immune response,8/57,307/18860,0.0260586319218241,8.62220698325619,7.41354688543749,3.7193015850191e-06,0.000441534231021553,0.000302577768044411,CD83/TREM2/PI3/CX3CL1/JCHAIN/CD5L/IL6/C4BPB,8,up_DEPs
GO:0032720,negative regulation of tumor necrosis factor production,5/57,81/18860,0.0617283950617284,20.4245180853368,9.64583250768655,4.53252677365919e-06,0.000502203966521439,0.000344153962743807,LILRB4/LGALS9/ACP5/TREM2/CX3CL1,5,up_DEPs
GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,5/57,83/18860,0.0602409638554217,19.9323610230395,9.51730320912944,5.11271795095742e-06,0.000531083577155702,0.000363944790982627,LILRB4/LGALS9/ACP5/TREM2/CX3CL1,5,up_DEPs
GO:0050671,positive regulation of lymphocyte proliferation,6/57,153/18860,0.0392156862745098,12.9755761953904,8.18885621711457,6.66434550586657e-06,0.000651537778279425,0.000446490516244435,IL15/IGFBP2/LGALS9/IL2RA/TNFSF13/IL6,6,up_DEPs
GO:0032946,positive regulation of mononuclear cell proliferation,6/57,155/18860,0.0387096774193548,12.8081494057725,8.12740716395221,7.1803723042269e-06,0.000662987709423617,0.000454337007787924,IL15/IGFBP2/LGALS9/IL2RA/TNFSF13/IL6,6,up_DEPs
GO:0042060,wound healing,9/57,453/18860,0.0198675496688742,6.57371906587661,6.61128463114641,7.9519445714598e-06,0.000679367434649285,0.000465561824238727,MERTK/PLAUR/SERPIND1/CX3CL1/PDIA3/DCBLD2/MMP12/IL6/C4BPB,9,up_DEPs
