gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
NEFL,0.4144,0.352,0.2736,0.2192,1,0.4464,0.0272,,0.016,,,,,0.0512,0.216687295279603,Up in MS
CHGA,0.264347826086957,0.182608695652174,0.20695652173913,0.172173913043478,1,0.627826086956522,,,,,,,,,0.18215463544069,Up in MS
IGFBP2,0.454887218045113,0.056390977443609,0.0225563909774436,,0.146616541353383,,0.759398496240602,0.0902255639097744,0.0488721804511278,,,0.864661654135338,0.165413533834586,1,0.170130505712098,Up in MS
IL17RB,0.0393013100436681,1,0.0851528384279476,0.77292576419214,,0.0524017467248908,0.0240174672489083,,,,,0.0305676855895197,0.0283842794759825,0.0218340611353712,0.159039679179688,Up in MS
LILRB4,0.0721205597416577,,,,,,,0.0242195909580194,,0.170613562970936,1,0.467168998923574,0.228202368137783,,0.136927163906938,Up in MS
MMP1,,,,,,,,,,,,1,,,0.136108279621361,Up in MS
GFAP,0.00993651669886834,1,0.0038642009384488,0.0259453491581562,,,,,,,,,,,0.135510735436428,Up in MS
IL22,,,,,,,1,,,,,0.0445682451253482,,,0.121811051779658,Up in MS
MAGEA3,,,,,,,,,,,,,,,0.120983288087817,Up in MS
IL6,0.0168014934660859,,,,,,0.0354698195395146,0.13627878033603,,1,,0.165525824517735,0.0180460485376478,0.029247044181705,0.118951325563716,Up in MS
LAMP3,,,,,,,0.211538461538462,0.596153846153846,,,,0.692307692307692,1,0.711538461538462,0.118765459884902,Up in MS
CKB,0.169877049180328,1,0.304918032786885,0.177254098360656,0.350409836065574,0.286270491803279,0.0350409836065574,0.0100409836065574,0.000819672131147541,0.266393442622951,0,0.0661885245901639,0.042827868852459,0.0786885245901639,0.116849005525466,Up in MS
ARL13B,0.608349900596422,0.475149105367793,0.801192842942346,0.431411530815109,1,0.667992047713718,0.149105367793241,0.166998011928429,0.133200795228628,0.210735586481113,0,0.15506958250497,0.0616302186878728,0.369781312127237,0.110498292794361,Up in MS
JCHAIN,,,,,,,0.00206616030711752,0.0748440220407365,0.000199377485075262,1.39691231581394e-05,0.0203961897311706,0.00180709656854839,1,0.000105403383829597,0.0970069874151555,Up in MS
CTSF,0.372013651877133,0.989761092150171,0.907849829351536,0.668941979522184,0.849829351535836,1,0.238907849829352,0.208191126279863,0.395904436860068,,0.0511945392491468,0.389078498293515,0.477815699658703,0.546075085324232,0.0944466474306935,Up in MS
TREM2,0.102928127772848,,,,,,,,,,,1,,0.0221827861579414,0.0873640328748613,Up in MS
PI3,,,,,,,0.186781609195402,,,,,0.204022988505747,,1,0.0855878730493148,Up in MS
