gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
NEFL,0.647996209344328,0.507325453743813,0.537369751324186,0.393693177326902,0.289982311222262,0.843920711065544,1,0.309328301412945,0.20221699882958,,0.118951175782106,,,,,0.38064376250274,0.216687295279603,Up in MS
CHGA,0.324443551168575,,,,0.174403875988994,0.402424137985655,0.230913860472051,1,,,,,,,,,0.18215463544069,Up in MS
IGFBP2,0.258781408548871,0.300975750943677,0.340846343139951,0.327241113010492,0.125026907452799,0.240083861624655,0.256068914572178,0.377394716966454,0.759398496240602,0.0902255639097744,0.0488721804511278,,,0.864661654135338,0.165413533834586,1,0.170130505712098,Up in MS
IL17RB,0.517341382081005,0.23147487018911,0.306795738588187,0.227727427765169,1,0.55846340795689,0.688889676435999,0.211054511165526,0.188323608303835,,,,,0.239684592386699,0.222564264359078,0.171203280276214,0.159039679179688,Up in MS
LILRB4,0.0344340019379473,0.0334634009377436,0.0345915983650774,0.0232383897569483,0.0342102098054771,0.0618934901446733,0.0431792633195085,0.0161031122746418,,0.0236941303177167,,0.170166935918148,1,0.466882067851373,0.227786752827141,,0.136927163906938,Up in MS
MMP1,,,,,,,,,,,,,,1,,,0.136108279621361,Up in MS
GFAP,0.729236836759979,0.601357655091304,0.597800324810671,0.4999181014603,0.354417482618223,0.870831269859199,1,0.452342107184638,,,,,,,,,0.135510735436428,Up in MS
IL22,,,,,,,,,1,,,,,0.0445682451253482,,,0.121811051779658,Up in MS
MAGEA3,,,,,,,,,,,,,,,,,0.120983288087817,Up in MS
IL6,0.0466823589699145,0.0318653377582963,0.0620811747821176,0.0468309051291798,0.0252444272816701,0.0516584598003382,0.0331988585062363,0.00980442929323861,0.0336658354114713,0.134663341645885,,1,,0.163965087281796,0.0162094763092269,0.027431421446384,0.118951325563716,Up in MS
LAMP3,0.272421676671549,,,,,0.852617521444456,,,0.211538461538462,0.596153846153846,,,,0.692307692307692,1,0.711538461538462,0.118765459884902,Up in MS
CKB,0.0548527548081782,0.0468670115503497,0.0699452131888763,0.0493124326667091,0.0721888370985797,0.0790840568434721,0.0693166227836481,0.0827204654000508,0.131538461538462,0.0376923076923077,0.00307692307692308,1,0,0.248461538461538,0.160769230769231,0.295384615384615,0.116849005525466,Up in MS
ARL13B,0.0923838537958928,0.0387124568684394,0.0647208098257693,0.00484349508249277,0.0534172249738869,0.159772827744652,0,0.144587915220162,0.40360231701182,0.451958885902753,0.360618700219879,0.570163832080591,0.000630909587373347,0.419721173308797,0.167192424656144,1,0.110498292794361,Up in MS
JCHAIN,3.63903537461926e-05,2.4823402842782e-05,,1.75148851991323e-05,4.77876064768426e-05,5.07771094191519e-05,,,0.00206616030711752,0.0748440220407365,0.000199377485075262,1.39691231581394e-05,0.0203961897311706,0.00180709656854839,1,0.000105403383829597,0.0970069874151555,Up in MS
CTSF,0.440255087268777,0.45351455164321,0.448440829626164,0.396220897155198,0.480777332326101,0.531005043259681,0.400378512434346,0.465385209122175,0.4375,0.38125,0.725,,0.09375,0.7125,0.875,1,0.0944466474306935,Up in MS
TREM2,0.0631197169528314,0.0603420038067467,0.0626418111979729,0.043626616113722,0.0627074594872212,0.10747059068244,0.0781437608347302,0.0338889805000469,,,,,,1,,0.0221827861579414,0.0873640328748613,Up in MS
PI3,,,,,,,,,0.186781609195402,,,,,0.204022988505747,,1,0.0855878730493148,Up in MS
