ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set,database,category,subcategory
GO:0007160,cell-matrix adhesion,17/165,246/18860,0.0691056910569106,7.8989898989899,10.232264912507,5.65098719555993e-11,8.25182847540546e-08,6.4274368945934e-08,ITGAV/ITGAM/ITGB2/ITGA11/ITGB5/ITGA2/TNXB/ITGB6/THY1/MYOC/HRG/CD34/EPHA1/ITGB1/L1CAM/CX3CL1/MMP12,17,all_DEPs,GO_BP,,
GO:0033627,cell adhesion mediated by integrin,11/165,76/18860,0.144736842105263,16.5438596491228,12.7558731033416,5.76043872628654e-11,8.25182847540546e-08,6.4274368945934e-08,ITGAV/ITGB2/ITGA11/ITGB5/RET/ITGA2/ITGB6/ADA/HRG/DPP4/ITGB1,11,all_DEPs,GO_BP,,
GO:0046718,symbiont entry into host cell,13/165,136/18860,0.0955882352941176,10.9260249554367,10.9140029872204,2.085564877092e-10,1.99171445762286e-07,1.55136755769651e-07,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/CLEC4M/HSPA1A/DPP4/ITGB1/MOG/EGFR/CR1/CD209,13,all_DEPs,GO_BP,,
GO:0044409,symbiont entry into host,13/165,141/18860,0.0921985815602837,10.5385772619815,10.6804709624099,3.28193142869235e-10,2.3506833858009e-07,1.83097227074415e-07,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/CLEC4M/HSPA1A/DPP4/ITGB1/MOG/EGFR/CR1/CD209,13,all_DEPs,GO_BP,,
GO:0031589,cell-substrate adhesion,19/165,369/18860,0.0514905149051491,5.88552188552189,8.90394593975856,6.13092772374733e-10,3.51302158570722e-07,2.73632984723039e-07,ITGAV/ITGAM/ITGB2/ITGA11/ITGB5/MERTK/ITGA2/TNXB/ITGB6/THY1/MYOC/HRG/CD34/EPHA1/ITGB1/L1CAM/CX3CL1/SPOCK1/MMP12,19,all_DEPs,GO_BP,,
GO:0022409,positive regulation of cell-cell adhesion,18/165,343/18860,0.0524781341107872,5.99840975351179,8.77671850859637,1.32046959319336e-09,6.30524230749829e-07,4.91122024135074e-07,ITGB2/LILRB4/IL15/IGFBP2/LGALS9/THY1/MEGF10/CD83/PLAUR/ADA/KLRK1/DPP4/IL2RA/CD160/CR1/CX3CL1/CD209/IL6,18,all_DEPs,GO_BP,,
GO:0031102,neuron projection regeneration,9/165,60/18860,0.15,17.1454545454545,11.7675362400659,2.4332783323319e-09,9.95906060304414e-07,7.75721814217088e-07,NEFL/OMG/GFAP/RGMA/THY1/FOLR1/PTPRF/TNR/NEO1,9,all_DEPs,GO_BP,,
GO:0032963,collagen metabolic process,11/165,116/18860,0.0948275862068965,10.8390804597701,9.98598562385492,5.85400211676803e-09,2.09646450806755e-06,1.63295848520371e-06,FAP/PEPD/ITGA2/KLK6/GOT1/TNXB/NPPC/ITGB1/MMP1/MMP12/IL6,11,all_DEPs,GO_BP,,
GO:0051701,biological process involved in interaction with host,13/165,185/18860,0.0702702702702703,8.03210483210483,9.02982768890051,9.24716608844257e-09,2.94368120482088e-06,2.2928645739764e-06,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/CLEC4M/HSPA1A/DPP4/ITGB1/MOG/EGFR/CR1/CD209,13,all_DEPs,GO_BP,,
GO:0044403,biological process involved in symbiotic interaction,14/165,231/18860,0.0606060606060606,6.92745638200184,8.51565685838474,1.62236427209439e-08,4.58656391238679e-06,3.57252337439515e-06,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/CLEC4M/HSPA1A/HRG/DPP4/ITGB1/MOG/EGFR/CR1/CD209,14,all_DEPs,GO_BP,,
GO:0042060,wound healing,19/165,453/18860,0.0419426048565121,4.79416683390193,7.67914000874558,1.76098439917119e-08,4.58656391238679e-06,3.57252337439515e-06,ITGAV/FAP/ITGB5/COMP/MERTK/ITGA2/ITGB6/PLAUR/HRG/CD34/SMOC2/ITGB1/SERPIND1/CX3CL1/PDIA3/DCBLD2/MMP12/IL6/C4BPB,19,all_DEPs,GO_BP,,
GO:1903039,positive regulation of leukocyte cell-cell adhesion,15/165,289/18860,0.0519031141868512,5.9326832337213,7.93876727708658,3.8878106473781e-08,9.28214792061521e-06,7.22996366003646e-06,ITGB2/LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/CD160/CR1/CD209/IL6,15,all_DEPs,GO_BP,,
GO:0002696,positive regulation of leukocyte activation,17/165,381/18860,0.0446194225721785,5.10013521037143,7.59556354509831,4.27210355681744e-08,9.41505899252459e-06,7.33348950643965e-06,LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/TNFSF13/TREM2/CD160/CTSC/CR1/CD209/IL6,17,all_DEPs,GO_BP,,
GO:0050867,positive regulation of cell activation,17/165,401/18860,0.0423940149625935,4.84576437693645,7.31289505923059,8.93501158448823e-08,1.77827802902632e-05,1.38511965519823e-05,LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/TNFSF13/TREM2/CD160/CTSC/CR1/CD209/IL6,17,all_DEPs,GO_BP,,
GO:0032102,negative regulation of response to external stimulus,18/165,452/18860,0.0398230088495575,4.55189058728882,7.18065500402591,9.36248420491344e-08,1.77827802902632e-05,1.38511965519823e-05,FAP/LGALS9/RGMA/PLAUR/IL22/ADA/HRG/TNR/KLRK1/DPP4/IL2RA/ACP5/TREM2/ROBO1/CR1/CX3CL1/NEO1/MMP12,18,all_DEPs,GO_BP,,
GO:0050870,positive regulation of T cell activation,14/165,267/18860,0.052434456928839,5.99341731926002,7.72000047219594,9.93104658444016e-08,1.77827802902632e-05,1.38511965519823e-05,LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/CD160/CR1/CD209/IL6,14,all_DEPs,GO_BP,,
GO:0031099,regeneration,12/165,194/18860,0.0618556701030928,7.07029053420806,7.98405057753621,1.42853099784088e-07,2.40749488753772e-05,1.87522335320289e-05,NEFL/OMG/GFAP/KLK6/MSTN/RGMA/THY1/FOLR1/PTPRF/TNR/NEO1/IL6,12,all_DEPs,GO_BP,,
GO:0006935,chemotaxis,18/165,474/18860,0.0379746835443038,4.34062140391254,6.92008405959275,1.89765867990971e-07,3.02044006552296e-05,2.35265286632081e-05,ITGAV/ITGB2/ITGA2/CHGA/MSTN/LGALS9/PLAUR/HRG/KLRK1/DPP4/SMOC2/TREM2/ROBO1/SERPIND1/L1CAM/CX3CL1/IL6/ADGRE2,18,all_DEPs,GO_BP,,
GO:0042330,taxis,18/165,476/18860,0.0378151260504202,4.32238349885409,6.89718379929773,2.0193797012255e-07,3.04501202316371e-05,2.37179222526208e-05,ITGAV/ITGB2/ITGA2/CHGA/MSTN/LGALS9/PLAUR/HRG/KLRK1/DPP4/SMOC2/TREM2/ROBO1/SERPIND1/L1CAM/CX3CL1/IL6/ADGRE2,18,all_DEPs,GO_BP,,
GO:0007159,leukocyte cell-cell adhesion,17/165,439/18860,0.0387243735763098,4.42631324635881,6.82403572435193,3.2257099399737e-07,4.62082948901232e-05,3.59921319618118e-05,ITGB2/LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/CLEC4M/ADA/KLRK1/DPP4/IL2RA/ITGB1/CD160/CR1/CD209/IL6,17,all_DEPs,GO_BP,,
GO:0019058,viral life cycle,14/165,298/18860,0.0469798657718121,5.36994102094773,7.1434809520156,3.79674736530625e-07,4.99216769358065e-05,3.8884524700619e-05,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/LAMP3/CLEC4M/HSPA1A/DPP4/ITGB1/MOG/EGFR/CR1/CD209,14,all_DEPs,GO_BP,,
GO:0002274,myeloid leukocyte activation,13/165,255/18860,0.0509803921568627,5.82721330956625,7.29105393527312,3.99289525232789e-07,4.99216769358065e-05,3.8884524700619e-05,ITGAM/ITGB2/LILRB4/CHGA/IL15/ITGB6/LGALS9/GRP/TREM2/CTSC/CX3CL1/IL6/ADGRE2,13,all_DEPs,GO_BP,,
GO:0051251,positive regulation of lymphocyte activation,15/165,346/18860,0.0433526011560694,4.95533368365738,6.97605048792133,4.00767389013455e-07,4.99216769358065e-05,3.8884524700619e-05,LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/TNFSF13/CD160/CR1/CD209/IL6,15,all_DEPs,GO_BP,,
GO:0050900,leukocyte migration,16/165,397/18860,0.0403022670025189,4.60667124646974,6.82321794633092,4.30229585225617e-07,5.1358656736308e-05,4.00038035385223e-05,ITGB2/RET/ITGA2/CHGA/MSTN/LGALS9/THY1/ADA/CD34/KLRK1/DPP4/ITGB1/TREM2/CX3CL1/IL6/ADGRE2,16,all_DEPs,GO_BP,,
GO:0048678,response to axon injury,8/165,84/18860,0.0952380952380952,10.8860028860029,8.53095017094589,7.17770798917357e-07,8.22565335559291e-05,6.40704881559915e-05,NEFL/RGMA/FOLR1/PTPRF/NPPC/TNR/TREM2/NEO1,8,all_DEPs,GO_BP,,
GO:0007229,integrin-mediated signaling pathway,9/165,117/18860,0.0769230769230769,8.79254079254079,7.94311829249554,8.88697199900107e-07,9.79275952966849e-05,7.62768446877825e-05,ITGAV/ITGAM/ITGB2/ITGA11/ITGB5/ITGA2/ITGB6/THY1/ITGB1,9,all_DEPs,GO_BP,,
GO:0016032,viral process,15/165,396/18860,0.0378787878787879,4.32966023875115,6.2910506947691,2.16649845301949e-06,0.000229889558070401,0.000179063419898687,ITGAV/ITGB5/ITGA2/ITGB6/LGALS9/LAMP3/CLEC4M/HSPA1A/DPP4/ITGB1/MOG/EGFR/ST6GAL1/CR1/CD209,15,all_DEPs,GO_BP,,
GO:0030574,collagen catabolic process,6/165,45/18860,0.133333333333333,15.240404040404,8.98493676237219,2.51386974970994e-06,0.00024965481446778,0.000194458788158977,FAP/PEPD/KLK6/ITGB1/MMP1/MMP12,6,all_DEPs,GO_BP,,
GO:1903037,regulation of leukocyte cell-cell adhesion,15/165,401/18860,0.0374064837905237,4.27567445023804,6.22884325583047,2.52704698763198e-06,0.00024965481446778,0.000194458788158977,ITGB2/LILRB4/IL15/IGFBP2/LGALS9/THY1/CD83/ADA/KLRK1/DPP4/IL2RA/CD160/CR1/CD209/IL6,15,all_DEPs,GO_BP,,
GO:0001774,microglial cell activation,6/165,48/18860,0.125,14.2878787878788,8.65959057521656,3.70626318729044e-06,0.000334573881676231,0.000260603152072604,ITGAM/ITGB2/TREM2/CTSC/CX3CL1/IL6,6,all_DEPs,GO_BP,,
