ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0046006,regulation of activated T cell proliferation,4/36,46/18860,0.0869565217391304,45.5555555555556,13.2310659060153,1.72282258677894e-06,0.00134446740870806,0.000888768408669348,LILRB4/LGALS9/IGFBP2/IL2RA,4,up_DEPs
GO:0050798,activated T cell proliferation,4/36,49/18860,0.0816326530612245,42.7664399092971,12.8018926254917,2.22778361012106e-06,0.00134446740870806,0.000888768408669348,LILRB4/LGALS9/IGFBP2/IL2RA,4,up_DEPs
GO:0032720,negative regulation of tumor necrosis factor production,4/36,81/18860,0.0493827160493827,25.8710562414266,9.80968657406136,1.67498556052329e-05,0.00471818088086017,0.00311898234656783,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:1903556,negative regulation of tumor necrosis factor superfamily cytokine production,4/36,83/18860,0.0481927710843374,25.2476572958501,9.68167170080784,1.84502604305446e-05,0.00471818088086017,0.00311898234656783,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:0010720,positive regulation of cell development,7/36,451/18860,0.0155210643015521,8.13131313131313,6.70343344870546,1.95450740715003e-05,0.00471818088086017,0.00311898234656783,NEFL/GFAP/LILRB4/LGALS9/IL15/IL2RA/CX3CL1,7,up_DEPs
GO:0002507,tolerance induction,3/36,31/18860,0.0967741935483871,50.6989247311828,12.1106885444145,2.76733719711202e-05,0.00522119571650048,0.00345150338211953,LILRB4/LGALS9/IL2RA,3,up_DEPs
GO:0042129,regulation of T cell proliferation,5/36,192/18860,0.0260416666666667,13.6429398148148,7.70024267596245,3.02803396980144e-05,0.00522119571650048,0.00345150338211953,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0046631,alpha-beta T cell activation,5/36,206/18860,0.0242718446601942,12.7157497303128,7.39387890128685,4.23845814533831e-05,0.00526514833254104,0.00348055852794323,LILRB4/LGALS9/IL15/CTSL/IL2RA,5,up_DEPs
GO:0022409,positive regulation of cell-cell adhesion,6/36,343/18860,0.0174927113702624,9.1642371234208,6.6731667967493,4.25594969753434e-05,0.00526514833254104,0.00348055852794323,LILRB4/LGALS9/IL15/IGFBP2/IL2RA/CX3CL1,6,up_DEPs
GO:0002695,negative regulation of leukocyte activation,5/36,212/18860,0.0235849056603774,12.3558700209644,7.2715473545014,4.85937616924922e-05,0.00526514833254104,0.00348055852794323,LILRB4/MERTK/LGALS9/IL2RA/CX3CL1,5,up_DEPs
GO:0042102,positive regulation of T cell proliferation,4/36,108/18860,0.037037037037037,19.40329218107,8.38760993443291,5.20122873942706e-05,0.00526514833254104,0.00348055852794323,LGALS9/IL15/IGFBP2/IL2RA,4,up_DEPs
GO:0070661,leukocyte proliferation,6/36,356/18860,0.0168539325842697,8.82958801498127,6.52207401716485,5.23461308951885e-05,0.00526514833254104,0.00348055852794323,LILRB4/LGALS9/IL15/IGFBP2/IL2RA/CX3CL1,6,up_DEPs
GO:0042098,T cell proliferation,5/36,224/18860,0.0223214285714286,11.6939484126984,7.04109763660147,6.31105565959288e-05,0.00553152940699313,0.00365665136746242,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
GO:0032611,interleukin-1 beta production,4/36,116/18860,0.0344827586206897,18.0651340996169,8.06235998874963,6.87431160769651e-05,0.00553152940699313,0.00365665136746242,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:0032651,regulation of interleukin-1 beta production,4/36,116/18860,0.0344827586206897,18.0651340996169,8.06235998874963,6.87431160769651e-05,0.00553152940699313,0.00365665136746242,LILRB4/LGALS9/ACP5/CX3CL1,4,up_DEPs
GO:0050866,negative regulation of cell activation,5/36,235/18860,0.0212765957446809,11.1465721040189,6.84478419213883,7.91707083906855e-05,0.00591388355625847,0.00390940891784234,LILRB4/MERTK/LGALS9/IL2RA/CX3CL1,5,up_DEPs
GO:0032691,negative regulation of interleukin-1 beta production,3/36,45/18860,0.0666666666666667,34.9259259259259,9.96415509008876,8.57712954602201e-05,0.00591388355625847,0.00390940891784234,LILRB4/ACP5/CX3CL1,3,up_DEPs
GO:0071887,leukocyte apoptotic process,4/36,125/18860,0.032,16.7644444444444,7.73323934206595,9.19147292960059e-05,0.00591388355625847,0.00390940891784234,MERTK/LGALS9/CTSL/IL2RA,4,up_DEPs
GO:0046633,alpha-beta T cell proliferation,3/36,47/18860,0.0638297872340426,33.4397163120567,9.73759196662106,9.77547750714514e-05,0.00591388355625847,0.00390940891784234,LGALS9/IL15/IL2RA,3,up_DEPs
GO:0001818,negative regulation of cytokine production,6/36,405/18860,0.0148148148148148,7.76131687242798,6.01528765243011,0.000106643272449926,0.00591388355625847,0.00390940891784234,LILRB4/MERTK/LGALS9/ACP5/SIGLEC1/CX3CL1,6,up_DEPs
GO:0050670,regulation of lymphocyte proliferation,5/36,254/18860,0.0196850393700787,10.3127734033246,6.53467524843731,0.000114148067657509,0.00591388355625847,0.00390940891784234,LILRB4/LGALS9/IL15/IGFBP2/IL2RA,5,up_DEPs
