gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
NEFL,0.4144,0.352,0.2736,0.2192,1,0.4464,0.0272,,0.016,,,,,0.0512,0.195801244487365,Up in MS
CHGA,0.264347826086957,0.182608695652174,0.20695652173913,0.172173913043478,1,0.627826086956522,,,,,,,,,0.175249058314942,Up in MS
GFAP,0.00993651669886834,1,0.0038642009384488,0.0259453491581562,,,,,,,,,,,0.168029393056492,Up in MS
CSRP3,,,,,,,,,,,,,,,0.163540385073884,Up in MS
IL17RB,0.0393013100436681,1,0.0851528384279476,0.77292576419214,,0.0524017467248908,0.0240174672489083,,,,,0.0305676855895197,0.0283842794759825,0.0218340611353712,0.160892109323469,Up in MS
IGFBP2,0.454887218045113,0.056390977443609,0.0225563909774436,,0.146616541353383,,0.759398496240602,0.0902255639097744,0.0488721804511278,,,0.864661654135338,0.165413533834586,1,0.147071861952048,Up in MS
LILRB4,0.0721205597416577,,,,,,,0.0242195909580194,,0.170613562970936,1,0.467168998923574,0.228202368137783,,0.141726087634757,Up in MS
KLB,,,,,,,,,,,,,,,0.140730968292535,Up in MS
LTBP3,0.212612612612613,1,0.245045045045045,0.407207207207207,0.277477477477478,0.214414414414414,0.372972972972973,0.335135135135135,0.36036036036036,0,0.185585585585586,0.246846846846847,0.412612612612613,0.455855855855856,0.115398628607163,Up in MS
LAMP3,,,,,,,0.211538461538462,0.596153846153846,,,,0.692307692307692,1,0.711538461538462,0.112408871233586,Up in MS
IL1RN,,,,,,,0.0403225806451613,0.00940860215053763,0.00739247311827957,0.999327956989247,0.0598118279569892,1,0.0161290322580645,0.204301075268817,0.111373956717798,Up in MS
CTSF,0.372013651877133,0.989761092150171,0.907849829351536,0.668941979522184,0.849829351535836,1,0.238907849829352,0.208191126279863,0.395904436860068,,0.0511945392491468,0.389078498293515,0.477815699658703,0.546075085324232,0.110262023830356,Up in MS
LTO1,0,0.528846153846154,1,0.163461538461539,0.865384615384616,0.615384615384615,0.278846153846154,0.384615384615385,0.509615384615385,0.375,0.317307692307692,0.240384615384616,0.461538461538462,0.0576923076923078,0.10384158571065,Up in MS
ARL13B,0.608349900596422,0.475149105367793,0.801192842942346,0.431411530815109,1,0.667992047713718,0.149105367793241,0.166998011928429,0.133200795228628,0.210735586481113,0,0.15506958250497,0.0616302186878728,0.369781312127237,0.0930503728036785,Up in MS
TMED4,0.00341530054644809,0,0.121584699453552,0.0853825136612022,0.0922131147540984,0.121584699453552,0.465846994535519,0.345628415300546,0.457650273224044,0.418715846994536,0.361338797814208,0.291666666666667,1,0.418032786885246,0.0926832855185909,Up in MS
LGALS9,0.107400722021661,0.00676895306859206,,0.013086642599278,,,0.0699458483754513,0.203519855595668,0.120487364620939,1,0.134476534296029,0.72202166064982,0.0103790613718412,0.110559566787004,0.0918474629619327,Up in MS
ACP5,,,,,,,0.0910020449897751,0.204498977505112,0.0286298568507158,0.0354464894342195,0.102931152010907,1,0.113496932515337,0.124744376278119,0.0886366085003919,Up in MS
PRND,,,,,,,,,,1,,,,,0.0883482059176566,Up in MS
GDNF,,,,1,,,,,,,,,,,0.0842867810943755,Up in MS
SIGLEC1,0.0808988764044944,,,,,,,,,0.0247191011235955,0.0269662921348315,1,,,0.0842366011668063,Up in MS
IFIT3,0.34,0.0866666666666667,1,0.0888888888888889,0.157777777777778,0.142222222222222,0.0755555555555555,0.0777777777777778,0.204444444444444,0.593333333333333,0.00666666666666667,0.482222222222222,0,0.355555555555556,0.0834366690100685,Up in MS
MERTK,0.771576898118105,1,,0.063595068137573,0.0304996755353666,0.0428293316028553,0.00584036340038936,0.018170019467878,,0.199221284879948,,0.401687216093446,0.172615184944841,0.0214146658014276,0.0829784207794223,Up in MS
IL15,0.083011583011583,,,0.0501930501930502,0.0347490347490348,0.0849420849420849,0.0868725868725869,0.166023166023166,0.148648648648649,1,0.0193050193050193,0.301158301158301,0.162162162162162,,0.0804689476582717,Up in MS
IL2RA,0.0714285714285714,,,,,,1,0.48015873015873,0.484126984126984,,,0.464285714285714,,0.857142857142857,0.0746143391211372,Up in MS
GLB1,0.367688022284123,0.779944289693593,0.370473537604457,0.454038997214485,1,0.972144846796657,0.178272980501393,0.242339832869081,0,0.481894150417827,0.225626740947075,0.899721448467966,0.370473537604457,0.295264623955432,0.0736974959865971,Up in MS
PLA2G15,0.305882352941177,0.0549019607843137,0.0627450980392157,0.125490196078431,0.184313725490196,0.172549019607843,0.0588235294117647,0,0.0431372549019608,0.0745098039215686,0.0392156862745098,1,0.0941176470588236,0.0666666666666667,0.0701957612504438,Up in MS
HS3ST3B1,0.0291595197255575,0.0994854202401372,,0.0548885077186964,0.0514579759862779,0.0343053173241853,0.260720411663808,0.0463121783876501,0.27958833619211,0.332761578044597,1,0.126929674099485,,0.0274442538593482,0.0700567631912083,Up in MS
ELOB,0,0.0128036769533815,0.0318450426789232,0.00705843729481287,0.00869993434011819,0.0136244254760341,0.505581089954038,0.357682206172029,0.586999343401182,1,0.367695338148391,0.735718975705844,0.766743269862114,0.447964543663821,0.0627262924295899,Up in MS
CX3CL1,0.591911764705882,0.113970588235294,0.110294117647059,0.452205882352941,1,0.720588235294118,,0.0514705882352941,,,,,,0.0955882352941177,0.0623745896839968,Up in MS
LTBP2,1,0.102325581395349,,,0.0465116279069768,,0.0558139534883721,,,,,0.334883720930233,0.0744186046511628,,0.060938906463905,Up in MS
PDGFC,0.371572212065814,0.426873857404022,0.0123400365630713,1,0.284277879341865,0.140767824497258,,0.00411334552102377,,0.0429616087751371,0.121572212065814,0.13436928702011,0.0118829981718464,0.0146252285191956,0.0562994673322673,Up in MS
CD302,,,,,,,0.0215336134453781,0.0346638655462185,0.0115546218487395,0.955357142857143,0.320903361344538,1,0.0362394957983193,0.13813025210084,0.0562155507152015,Up in MS
UBE2L6,0.108191653786708,0.0139103554868624,0,0.0216383307573416,0.00154559505409583,0.0417310664605873,0.887171561051005,0.655332302936631,1,0.85935085007728,0.550231839258115,0.972179289026275,0.774343122102009,0.605873261205564,0.0553186437682549,Up in MS
PTPRF,0.113744075829384,0.587677725118484,1,0.246445497630332,0.62085308056872,0.243285939968404,0.0537124802527646,0.0205371248025277,0.0157977883096367,,,0.0805687203791469,0.126382306477093,0.287519747235387,0.0551110483170961,Up in MS
CTSL,0.0216666666666667,0.0236666666666667,0.0486666666666667,0.0268333333333333,0.0291666666666667,0.0376666666666667,0.0198333333333333,0.0095,,0.476666666666667,0.00683333333333333,1,0.0248333333333333,0.1005,0.046759133845089,Up in MS
RNASET2,0.139167862266858,0.0104343289422199,0,0.0157819225251076,0.0151297769662189,0.0443458980044346,0.190817790530847,0.367549236989696,0.0782574670666493,0.767053606364941,1,0.550541280813878,0.203469414373288,0.161471240380853,0.0459988951083261,Up in MS
