gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
NEFL,0.647996209344328,0.507325453743813,0.537369751324186,0.393693177326902,0.289982311222262,0.843920711065544,1,0.309328301412945,0.20221699882958,,0.118951175782106,,,,,0.38064376250274,0.195801244487365,Up in MS
CHGA,0.324443551168575,,,,0.174403875988994,0.402424137985655,0.230913860472051,1,,,,,,,,,0.175249058314942,Up in MS
GFAP,0.729236836759979,0.601357655091304,0.597800324810671,0.4999181014603,0.354417482618223,0.870831269859199,1,0.452342107184638,,,,,,,,,0.168029393056492,Up in MS
CSRP3,,,,,,,,,,,,,,,,,0.163540385073884,Up in MS
IL17RB,0.517341382081005,0.23147487018911,0.306795738588187,0.227727427765169,1,0.55846340795689,0.688889676435999,0.211054511165526,0.188323608303835,,,,,0.239684592386699,0.222564264359078,0.171203280276214,0.160892109323469,Up in MS
IGFBP2,0.258781408548871,0.300975750943677,0.340846343139951,0.327241113010492,0.125026907452799,0.240083861624655,0.256068914572178,0.377394716966454,0.759398496240602,0.0902255639097744,0.0488721804511278,,,0.864661654135338,0.165413533834586,1,0.147071861952048,Up in MS
LILRB4,0.0344340019379473,0.0334634009377436,0.0345915983650774,0.0232383897569483,0.0342102098054771,0.0618934901446733,0.0431792633195085,0.0161031122746418,,0.0236941303177167,,0.170166935918148,1,0.466882067851373,0.227786752827141,,0.141726087634757,Up in MS
KLB,0.625104948693224,0.526881321094776,0.555441680341436,0.338922881958126,0.514420370185392,1,0.453232661792656,,,,,,,,,,0.140730968292535,Up in MS
DDX58,0.91382633249245,0.755403117452709,0.747198936952352,0.638887493032465,0.641537784617047,1,0.619300033579642,0.803445801420354,,,,,,,,,0.127185008031596,Up in MS
LTBP3,0.117527679992323,0.110163548865233,0.119621060877877,0.0853147849302459,0.109473273148505,0.175101396501903,0.0732306108512853,0.14614857344306,0.818181818181818,0.735177865612648,0.790513833992095,0,0.407114624505929,0.541501976284585,0.905138339920949,1,0.115398628607163,Up in MS
