ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
GO:0051781,positive regulation of cell division,5/25,99/18860,0.0505050505050505,38.1010101010101,13.4840968017942,1.75935854662306e-07,0.000143387721549779,8.81531229676395e-05,OSM/TGFA/PPBP/PDGFA/PDGFB,5,up_DEPs
GO:0051302,regulation of cell division,5/25,190/18860,0.0263157894736842,19.8526315789474,9.51531443932823,4.44026699109538e-06,0.00180940879887137,0.00111240373040074,OSM/TGFA/PPBP/PDGFA/PDGFB,5,up_DEPs
GO:0001934,positive regulation of protein phosphorylation,5/25,231/18860,0.0216450216450216,16.3290043290043,8.54027170470297,1.14817434812138e-05,0.00311920697906308,0.00191765259545887,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0042327,positive regulation of phosphorylation,5/25,254/18860,0.0196850393700787,14.8503937007874,8.09653114502682,1.8153749653846e-05,0.00369882649197113,0.00227399600927124,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0030195,negative regulation of blood coagulation,3/25,52/18860,0.0576923076923077,43.5230769230769,11.1866890944904,4.35606142842384e-05,0.0049606861942482,0.00304977284916002,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:1900047,negative regulation of hemostasis,3/25,53/18860,0.0566037735849057,42.7018867924528,11.0759350364166,4.61338809376507e-05,0.0049606861942482,0.00304977284916002,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0050819,negative regulation of coagulation,3/25,56/18860,0.0535714285714286,40.4142857142857,10.761407450084,5.44471943210401e-05,0.0049606861942482,0.00304977284916002,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0010562,positive regulation of phosphorus metabolic process,5/25,320/18860,0.015625,11.7875,7.09067296389842,5.47805837401642e-05,0.0049606861942482,0.00304977284916002,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0045937,positive regulation of phosphate metabolic process,5/25,320/18860,0.015625,11.7875,7.09067296389842,5.47805837401642e-05,0.0049606861942482,0.00304977284916002,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0019730,antimicrobial humoral response,4/25,184/18860,0.0217391304347826,16.4,7.64775949755977,9.44845929700156e-05,0.00638713876665473,0.00392673949361014,PI3/PPBP/PGLYRP1/WFDC2,4,up_DEPs
GO:0042742,defense response to bacterium,5/25,361/18860,0.0138504155124654,10.4487534626039,6.60390039952582,9.68547442081156e-05,0.00638713876665473,0.00392673949361014,PI3/PPBP/PGLYRP1/CLEC4D/WFDC2,5,up_DEPs
GO:0030193,regulation of blood coagulation,3/25,70/18860,0.0428571428571429,32.3314285714286,9.56780574976061,0.000106211084419075,0.00638713876665473,0.00392673949361014,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:1900046,regulation of hemostasis,3/25,72/18860,0.0416666666666667,31.4333333333333,9.42588241131815,0.000115516277492499,0.00638713876665473,0.00392673949361014,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0031401,positive regulation of protein modification process,5/25,375/18860,0.0133333333333333,10.0586666666667,6.45530412686342,0.00011581911577617,0.00638713876665473,0.00392673949361014,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0031952,regulation of protein autophosphorylation,2/25,13/18860,0.153846153846154,116.061538461538,15.1191459617626,0.000130406963969449,0.00638713876665473,0.00392673949361014,PDGFA/PDGFB,2,up_DEPs
GO:0001932,regulation of protein phosphorylation,5/25,387/18860,0.0129198966408269,9.74677002583979,6.3340428595546,0.000134245342100344,0.00638713876665473,0.00392673949361014,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0050818,regulation of coagulation,3/25,76/18860,0.0394736842105263,29.7789473684211,9.15870738120955,0.000135688160854162,0.00638713876665473,0.00392673949361014,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0061045,negative regulation of wound healing,3/25,77/18860,0.038961038961039,29.3922077922078,9.09512286867114,0.000141065641472129,0.00638713876665473,0.00392673949361014,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,2/25,15/18860,0.133333333333333,100.586666666667,14.0570851969073,0.000175262682079965,0.00751784662606166,0.00462188568809215,PDGFA/PDGFB,2,up_DEPs
GO:0042325,regulation of phosphorylation,5/25,431/18860,0.0116009280742459,8.75174013921114,5.93107584705889,0.000221747089540734,0.00903619389878493,0.00555534813796787,OSM/MMP9/PDGFA/PDGFB/PLAUR,5,up_DEPs
GO:0050866,negative regulation of cell activation,4/25,235/18860,0.0170212765957447,12.8408510638298,6.65449696418156,0.000241937648309308,0.00916011026256011,0.00563153049399885,PGLYRP1/FGL1/PDGFA/PDGFB,4,up_DEPs
GO:0010544,negative regulation of platelet activation,2/25,18/18860,0.111111111111111,83.8222222222222,12.807552775317,0.00025476086221259,0.00916011026256011,0.00563153049399885,PDGFA/PDGFB,2,up_DEPs
GO:0007596,blood coagulation,4/25,243/18860,0.0164609053497942,12.4181069958848,6.52662887596214,0.000274868361636492,0.00916011026256011,0.00563153049399885,FGL1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:2001234,negative regulation of apoptotic signaling pathway,4/25,245/18860,0.0163265306122449,12.3167346938776,6.49559858848627,0.000283580989954228,0.00916011026256011,0.00563153049399885,MMP9/BDNF/COL2A1/PLAUR,4,up_DEPs
GO:0071071,regulation of phospholipid biosynthetic process,2/25,19/18860,0.105263157894737,79.4105263157895,12.4579251440298,0.000284501444211246,0.00916011026256011,0.00563153049399885,PDGFA/PDGFB,2,up_DEPs
GO:0050817,coagulation,4/25,248/18860,0.0161290322580645,12.1677419354839,6.44972518861934,0.000297020536777301,0.00916011026256011,0.00563153049399885,FGL1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0007599,hemostasis,4/25,250/18860,0.016,12.0704,6.41958056172286,0.00030623114702234,0.00916011026256011,0.00563153049399885,FGL1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:1903035,negative regulation of response to wounding,3/25,101/18860,0.0297029702970297,22.4079207920792,7.85917314403541,0.000314703174664642,0.00916011026256011,0.00563153049399885,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0048568,embryonic organ development,5/25,472/18860,0.010593220338983,7.99152542372881,5.6043108420526,0.000337431159974643,0.00948297915101153,0.00583002657524248,ARL13B/PDGFA/PDGFB/COL2A1/SPINT2,5,up_DEPs
GO:0072574,hepatocyte proliferation,2/25,22/18860,0.0909090909090909,68.5818181818182,11.5550103296365,0.00038339084183675,0.0100794689063533,0.00619674162017974,TGFA/FGL1,2,up_DEPs
GO:0072575,epithelial cell proliferation involved in liver morphogenesis,2/25,22/18860,0.0909090909090909,68.5818181818182,11.5550103296365,0.00038339084183675,0.0100794689063533,0.00619674162017974,TGFA/FGL1,2,up_DEPs
GO:0043388,positive regulation of DNA binding,2/25,23/18860,0.0869565217391304,65.6,11.2937219026625,0.00041956325878885,0.0106857517472785,0.00656947734156226,MMP9/PLAUR,2,up_DEPs
GO:0072576,liver morphogenesis,2/25,24/18860,0.0833333333333333,62.8666666666667,11.0487849186399,0.000457333702375089,0.0112947565889605,0.00694388651772065,TGFA/FGL1,2,up_DEPs
GO:0090200,positive regulation of release of cytochrome c from mitochondria,2/25,25/18860,0.08,60.352,10.8185503952881,0.000496698213728253,0.0119061483584861,0.00731976314967952,MMP9/PLAUR,2,up_DEPs
GO:0007173,epidermal growth factor receptor signaling pathway,3/25,127/18860,0.0236220472440945,17.8204724409449,6.92919695739126,0.00061540766669234,0.0143302070958359,0.00881004659685877,MMP9/TGFA/PLAUR,3,up_DEPs
GO:0022612,gland morphogenesis,3/25,129/18860,0.0232558139534884,17.5441860465116,6.86920220744061,0.000644055511868842,0.0145807011714752,0.00896404747513359,TGFA/FGL1/PDGFA,3,up_DEPs
GO:0006959,humoral immune response,4/25,307/18860,0.0130293159609121,9.82931596091205,5.68245095829053,0.000664808519863384,0.0146437552348286,0.00900281238847711,PI3/PPBP/PGLYRP1/WFDC2,4,up_DEPs
GO:0061041,regulation of wound healing,3/25,139/18860,0.0215827338129496,16.2820143884892,6.58824900429102,0.000800094276650137,0.01706385575562,0.0104906623696159,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0045742,positive regulation of epidermal growth factor receptor signaling pathway,2/25,32/18860,0.0625,47.15,9.51899551128093,0.000816552606710649,0.01706385575562,0.0104906623696159,MMP9/PLAUR,2,up_DEPs
GO:0030198,extracellular matrix organization,4/25,331/18860,0.0120845921450151,9.1166163141994,5.42762138824203,0.000880580968501424,0.0170791046917139,0.01050003724024,MMP9/MMP8/COL2A1/SPINT2,4,up_DEPs
GO:0043062,extracellular structure organization,4/25,332/18860,0.0120481927710843,9.08915662650602,5.41757007700788,0.000890524313377569,0.0170791046917139,0.01050003724024,MMP9/MMP8/COL2A1/SPINT2,4,up_DEPs
GO:0045229,external encapsulating structure organization,4/25,333/18860,0.012012012012012,9.06186186186186,5.40756116766312,0.00090054695430332,0.0170791046917139,0.01050003724024,MMP9/MMP8/COL2A1/SPINT2,4,up_DEPs
GO:0038127,ERBB signaling pathway,3/25,145/18860,0.0206896551724138,15.608275862069,6.43331133403756,0.000904310698580289,0.0170791046917139,0.01050003724024,MMP9/TGFA/PLAUR,3,up_DEPs
GO:1901186,positive regulation of ERBB signaling pathway,2/25,34/18860,0.0588235294117647,44.3764705882353,9.22276548396816,0.000922062093785779,0.0170791046917139,0.01050003724024,MMP9/PLAUR,2,up_DEPs
GO:1903725,regulation of phospholipid metabolic process,2/25,37/18860,0.0540540540540541,40.7783783783784,8.82368585517043,0.00109197808972867,0.0197769365139748,0.0121586332330022,PDGFA/PDGFB,2,up_DEPs
GO:0050878,regulation of body fluid levels,4/25,389/18860,0.0102827763496144,7.7573264781491,4.90626521689366,0.00159935818945974,0.0273824273731244,0.0168344015881268,FGL1/PDGFA/PDGFB/PLAUR,4,up_DEPs
GO:0030574,collagen catabolic process,2/25,45/18860,0.0444444444444444,33.5288888888889,7.95920877981744,0.00161270737903064,0.0273824273731244,0.0168344015881268,MMP9/MMP8,2,up_DEPs
GO:0090199,regulation of release of cytochrome c from mitochondria,2/25,45/18860,0.0444444444444444,33.5288888888889,7.95920877981744,0.00161270737903064,0.0273824273731244,0.0168344015881268,MMP9/PLAUR,2,up_DEPs
GO:1903034,regulation of response to wounding,3/25,179/18860,0.0167597765363129,12.6435754189944,5.70242179826732,0.00165808751784258,0.0274597145727961,0.016881916870069,PDGFA/PDGFB/PLAUR,3,up_DEPs
GO:0150077,regulation of neuroinflammatory response,2/25,46/18860,0.0434782608695652,32.8,7.86705141136572,0.00168464506581571,0.0274597145727961,0.016881916870069,MMP9/MMP8,2,up_DEPs
GO:0045840,positive regulation of mitotic nuclear division,2/25,47/18860,0.0425531914893617,32.1021276595745,7.77779555390741,0.00175809147018291,0.0275547028499821,0.0169403145709932,TGFA/PDGFB,2,up_DEPs
GO:0051101,regulation of DNA binding,2/25,47/18860,0.0425531914893617,32.1021276595745,7.77779555390741,0.00175809147018291,0.0275547028499821,0.0169403145709932,MMP9/PLAUR,2,up_DEPs
GO:2001233,regulation of apoptotic signaling pathway,4/25,406/18860,0.00985221674876847,7.43251231527094,4.77358771679755,0.00187042666401637,0.0287622213428932,0.0176826830600157,MMP9/BDNF/COL2A1/PLAUR,4,up_DEPs
GO:0051099,positive regulation of binding,2/25,49/18860,0.0408163265306122,30.7918367346939,7.60739382859891,0.00190949523366656,0.0288192336192268,0.0177177335521497,MMP9/PLAUR,2,up_DEPs
GO:0035850,epithelial cell differentiation involved in kidney development,2/25,50/18860,0.04,30.176,7.52597683146202,0.00198744501060846,0.0294503215208344,0.0181057191397057,MMP9/PDGFB,2,up_DEPs
