gene,Microglial cells,Astrocytes,Oligodendrocytes,Oligodendrocyte precursor cells,Excitatory neurons,Inhibitory neurons,T-cells,B-cells,NK-cells,monocytes,dendritic cells,Macrophages,Plasma cells,granulocytes,logFC,direction
OSM,,,,,,,0.326959847036329,0.0401529636711281,0.11472275334608,0.638623326959847,,1,0.0267686424474187,0.738049713193117,0.285829959088597,Up in MS
MMP9,,,,,,,0.0100860278849006,0.00978938000593295,0.00385642242657965,0.00652625333728864,,1,,,0.244117887847154,Up in MS
MMP8,,,,,,,,,,,,1,,,0.240407326601678,Up in MS
NEFL,0.4144,0.352,0.2736,0.2192,1,0.4464,0.0272,,0.016,,,,,0.0512,0.220538575909812,Up in MS
PDGFB,0.201807228915663,,,,0.0406626506024096,,0.0436746987951807,0.0783132530120482,,0.143072289156626,1,0.795180722891566,0.0150602409638554,0.0195783132530121,0.215974296844828,Up in MS
BDNF,,0.0697674418604651,0.0976744186046512,0.0883720930232558,1,,,,,,,,,,0.205439658262187,Up in MS
PPBP,,,,,,,0.185750636132316,0.231552162849873,1,,0.320610687022901,0.641221374045802,0.0305343511450382,,0.198614093767466,Up in MS
COL2A1,,,,,,,,,,,,,,,0.196952202573279,Up in MS
PI3,,,,,,,0.186781609195402,,,,,0.204022988505747,,1,0.195335403094437,Up in MS
PDGFA,0.207236842105263,0.345394736842105,0.842105263157895,0.154605263157895,0.243421052631579,0.184210526315789,0.125,0.055921052631579,0.0460526315789474,,,0.194078947368421,0.148026315789474,1,0.193560892873515,Up in MS
CLEC4D,,,,,,,,,,0.257425742574257,,1,,,0.192367814970568,Up in MS
FGL1,0.207751937984496,0.182945736434109,,0.0372093023255814,,,0.122480620155039,0.248062015503876,,,,,1,,0.191551381311204,Up in MS
OLR1,0.12280701754386,,,,0.00733652312599681,,0.00414673046251994,0.005103668261563,,1,0.0258373205741627,0.64274322169059,,0.0127591706539075,0.181035224541255,Up in MS
ARL13B,0.608349900596422,0.475149105367793,0.801192842942346,0.431411530815109,1,0.667992047713718,0.149105367793241,0.166998011928429,0.133200795228628,0.210735586481113,0,0.15506958250497,0.0616302186878728,0.369781312127237,0.169989448916099,Up in MS
TGFA,0.11310592459605,,0.603231597845602,1,,0.0610412926391382,0.0287253141831239,,0.0394973070017953,,,0.0789946140035907,,0.156193895870736,0.167814091307367,Up in MS
IL1RAP,0.178494623655914,0.017921146953405,0.000716845878136201,1,0.14910394265233,0.214336917562724,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.273835125448029,0,0.114336917562724,0.00931899641577061,0.032258064516129,0.142667947605606,Up in MS
PGLYRP1,,,,,1,0.823529411764706,,,,,,,,,0.141370790837281,Up in MS
MUCL3,,,,,,,,0.458333333333333,,,,0.583333333333333,1,,0.124135743180562,Up in MS
RETN,,,,,,,0.0226700251889169,0.0125944584382872,,1,,0.887909319899244,,0.0226700251889169,0.119278798916189,Up in MS
SPINT2,0.106479156202913,0.0391762933199397,0.0316423907584129,0.0105474635861376,0.089904570567554,0.180311401305876,0.189854344550477,0.408337518834757,0,0.103967855349071,1,0.506780512305374,0.376192867905575,0.810647915620291,0.108307791125146,Up in MS
WFDC2,0.0252454417952314,0.0350631136044881,0.0448807854137448,0.0266479663394109,0.0631136044880785,0.102384291725105,0.718092566619916,0.225806451612903,,,,0.566619915848527,1,0.666199158485274,0.107454482316781,Up in MS
LETM1,0,0.397540983606557,0.319672131147541,0.184426229508197,0.385245901639344,0.30327868852459,0.516393442622951,0.368852459016393,0.774590163934426,0.430327868852459,1,0.413934426229508,0.721311475409836,0.454918032786885,0.104827125743003,Up in MS
CLEC5A,0.129496402877698,,,,,,,,,0.0431654676258993,,1,,,0.0944714162901927,Up in MS
SEL1L,0.00931966449207829,0,0.18685927306617,0.0647716682199441,0.0419384902143523,0.0372786579683132,0.032618825722274,0.0237651444547996,0.070363466915191,0.226933830382106,0.103914259086673,0.131873252562908,1,0.116029822926375,0.0873646742656223,Up in MS
PLAUR,0.00149147266714221,0.000453926463912846,,0.000194539913105505,0.000518773101614681,0.000745736333571104,0.00911095259710784,0.0228908631087478,0.00256144218922249,1,0.0195512612671033,0.286849101874068,0.00499319110304131,0.128461189287335,0.0785884402765471,Up in MS
ITGAV,0.400833829660512,0.730792138177487,0.834425253126861,1,0.178082191780822,0.172721858248958,0.0256104824300179,0,0.0142942227516379,0.185824895771292,0.0244192972007147,0.198332340678976,0.0148898153662895,0.171530673019655,-0.0563313781712082,Down in MS
FGFR2,0.018716577540107,0.413292589763178,1,0.0108861726508785,0.027501909854851,0.0576776165011459,0.00248281130634072,,,,,0.00286478227654698,,0.00763941940412529,-0.0577655349142915,Down in MS
CD34,1,0.043613707165109,,,,,0.0529595015576324,0.0872274143302181,0.0280373831775701,,,0.0996884735202492,0.0778816199376947,0.043613707165109,-0.0708781009649183,Down in MS
ROBO1,0.0339450807230578,0.0529874430798951,0.307713536635849,0.225541603422106,0.206361252932248,1,,0.00193183386228784,,,,0.00144887539671588,0.000965916931143921,0.00482958465571961,-0.0726742502537146,Down in MS
PTPRC,0.0998697577494139,,,0.000937744204219849,,0.000520969002344361,0.570252669966137,0.260067725970305,0.69466006772597,1,0.164678301641052,0.269028392810628,0.0602761135712425,0.121281583745767,-0.0755418940819266,Down in MS
