gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
OSM,0.0945533692005222,0.0926727835698433,0.0915094140319425,0.0565931632421751,0.0935336425088704,0.193088202843732,0.0914627740080823,0.0490480577870015,0.321772639691715,0.0327552986512524,0.107899807321773,0.635838150289017,,1,0.0192678227360308,0.736030828516378,0.285829959088597,Up in MS
MMP9,,,0.0054424579795471,,0.00477020981814913,0.0125547454926902,0.00644327022762243,,0.0100860278849006,0.00978938000593295,0.00385642242657965,0.00652625333728864,,1,,,0.244117887847154,Up in MS
MMP8,,,,,,,,,,,,,,1,,,0.240407326601678,Up in MS
NEFL,0.647996209344328,0.507325453743813,0.537369751324186,0.393693177326902,0.289982311222262,0.843920711065544,1,0.309328301412945,0.20221699882958,,0.118951175782106,,,,,0.38064376250274,0.220538575909812,Up in MS
PDGFB,0.129712717535034,0.10000307445048,0.106012268462518,0.0825161511896727,0.0911789900813342,0.173118456213499,0.117843666035972,0.0592187228173044,0.0393343419062027,0.0741301059001513,,0.139183055975794,1,0.794251134644478,0.010590015128593,0.0151285930408472,0.215974296844828,Up in MS
BDNF,1,0.427582345865092,0.863518166952025,,0.46301880996916,0.64236723824273,,,,,,,,,,,0.205439658262187,Up in MS
PPBP,0.109205414832104,,0.0270797123606502,,,0.124930158011874,0.161060682690002,,0.185750636132316,0.231552162849873,1,,0.320610687022901,0.641221374045802,0.0305343511450382,,0.198614093767466,Up in MS
COL2A1,,,,1,,0.422947124333684,,,,,,,,,,,0.196952202573279,Up in MS
PI3,,,,,,,,,0.186781609195402,,,,,0.204022988505747,,1,0.195335403094437,Up in MS
PDGFA,0.225838110168849,0.259649775474887,0.317968239487174,0.246941193727347,0.283320534065162,0.346853559659438,0.234836192775596,0.219203992613973,0.125,0.055921052631579,0.0460526315789474,,,0.194078947368421,0.148026315789474,1,0.193560892873515,Up in MS
CLEC4D,,0.125017036315011,0.185059353718189,,0.1553918816896,0.281214008163109,,,,,,0.257425742574257,,1,,,0.192367814970568,Up in MS
FGL1,0.0570117271156333,0.0738301202373254,0.0360779616384289,,0.0308711684975134,0.12387944310281,0.0737713369558694,,0.122480620155039,0.248062015503876,,,,,1,,0.191551381311204,Up in MS
OLR1,0.0244492863180697,0.024074534652124,0.0240201506824611,0.0178650542348672,0.0250135077040379,0.0403091244220081,0.0270995538168097,0.0151937825807697,0.00319284802043423,0.0041507024265645,,1,0.024904214559387,0.642401021711367,,0.0118135376756066,0.181035224541255,Up in MS
ARL13B,0.0923838537958928,0.0387124568684394,0.0647208098257693,0.00484349508249277,0.0534172249738869,0.159772827744652,0,0.144587915220162,0.40360231701182,0.451958885902753,0.360618700219879,0.570163832080591,0.000630909587373347,0.419721173308797,0.167192424656144,1,0.169989448916099,Up in MS
TGFA,0.508898311942066,0.276905260099241,0.426379567169313,0.229145072146071,0.861235971628322,0.887183938998829,0.471825224729883,0.563872452086667,0.183908045977012,,0.252873563218391,,,0.505747126436782,,1,0.167814091307367,Up in MS
IL1RAP,0.0621170645167205,0.0550869492561425,0.0601218477067891,0.037591538821491,0.0510799509909286,0.119523268608649,0.0726234283661999,0.0292765444451797,0.0589005235602094,0.0589005235602094,0.0589005235602094,1,0,0.417539267015707,0.0340314136125654,0.117801047120419,0.142667947605606,Up in MS
PGLYRP1,,,,,,,,,,,,,,,,,0.141370790837281,Up in MS
MUCL3,,,,,,,,,,0.458333333333333,,,,0.583333333333333,1,,0.124135743180562,Up in MS
RETN,0.0185645595883686,0.0166419657728141,0.0173984770294494,,0.0280447269843291,0.0730307955579139,0.0350558734280432,,0.0226700251889169,0.0125944584382872,,1,,0.887909319899244,,0.0226700251889169,0.119278798916189,Up in MS
SPINT2,0.0342280752402349,0.0165360902432027,0.0193774872240358,0.0254159596729071,0.0234833895010539,0.0409169035235914,0.0268653995297835,0.0299178135044132,0.189854344550477,0.408337518834757,0,0.103967855349071,1,0.506780512305374,0.376192867905575,0.810647915620291,0.108307791125146,Up in MS
WFDC2,0.073401696496875,0.0536093632533404,0.0998948831612764,0.0678207911645556,0.0733171063723601,0.0692329409138084,0.0866155105868198,0.119663699973094,0.718092566619916,0.225806451612903,,,,0.566619915848527,1,0.666199158485274,0.107454482316781,Up in MS
LETM1,0.082394446734019,0.0405901751780124,0.0593023940257106,0,0.0746501815226962,0.136821755969635,0.0512512342851037,0.13848167374014,0.500608552751374,0.348251840031454,0.767232800011234,0.411733803664754,1,0.394805280029207,0.712215098195707,0.437126589118074,0.104827125743003,Up in MS
CLEC5A,0.0566117404270724,0.0441429834673616,0.0557032848073016,0.043209589313494,0.0530134849306226,0.14363321797603,0.0839340357065671,,,,,0.0431654676258993,,1,,,0.0944714162901927,Up in MS
SEL1L,0.0072109155142955,0.00522650418603843,0.00646421210620003,0,0.00884286168673297,0.0178858502050223,0.00540632885442777,0.00953064788079068,0.111980878036437,0.103853535398042,0.146629022968541,0.290354661205418,0.177427374019301,0.2030926665616,1,0.18854900078763,0.0873646742656223,Up in MS
PLAUR,0.000580775622220413,0.000275471870348532,0.000459678293026398,3.35452625343034e-05,0.000159899460625374,0.00170065433519854,0.000288715509694059,0,0.00754385406242605,0.0213455576069262,0.00098398555421657,1,0.0180006741596709,0.285721248326398,0.00341958029736366,0.127082844056085,0.0785884402765471,Up in MS
ITGAV,0.109765736544697,0.0676694305902102,0.0943658750426465,0.0472201297269339,0.102902660543756,0.150980454190116,0.0748593798250587,0.0879874039606027,0.129129129129129,0,0.0720720720720721,0.936936936936937,0.123123123123123,1,0.0750750750750751,0.864864864864865,-0.0563313781712082,Down in MS
FGFR2,0.599257878198227,0.468010154804851,0.506913489901949,0.548096787069663,1,0.661677081850123,0.641431098803849,0.892546912937725,0.133514009044687,,,,,0.154054625820793,,0.410812335522113,-0.0577655349142915,Down in MS
CD34,1,0.432316968353327,0.447985167595048,0.460223049718027,0.473001945185518,0.686531813720164,0.454373868517284,0.298290990527939,0.164905665409227,0.278278310378071,0.0824528327046136,,,0.319504726730378,0.247358498113841,0.133985853144997,-0.0708781009649183,Down in MS
ROBO1,0.478223930426015,0.631860064657647,0.615642967257816,0.594126293485268,0.750176080817286,0.656341621114372,0.603794994830866,1,,0.273936038984459,,,,0.205452029238344,0.13696801949223,0.684840097461148,-0.0726742502537146,Down in MS
PTPRC,0.00133466331881883,0.00113817850991496,0.00122297890805457,0.000267626319964398,0.00130879480975789,0.00390912110675332,0.00218604690695793,0,0.569278364490426,0.258390181944177,0.693967813586906,1,0.162784494634439,0.267371164039904,0.0581456102167902,0.119289389484788,-0.0755418940819266,Down in MS
CTLA4,0.0623252305885798,,0.0275821010179411,,0.00937382796483759,0.102824007673215,0.0530687918758099,0.0146038165894522,1,0.0141607383935565,0.0141607383935565,0.0546505652095354,0.0106398838878192,0.0511297107037981,0.026483729163637,0.0863382557611711,-0.0761161832145333,Down in MS
