gene_a,gene_b,combined_score
CX3CL1,CD302,0.41
CX3CL1,MERTK,0.426
CX3CL1,ITGB1,0.441
CX3CL1,ITGB2,0.485
CX3CL1,GFAP,0.521
CX3CL1,KLRK1,0.545
CX3CL1,TREM2,0.603
CX3CL1,IL15,0.609
CX3CL1,CD8A,0.704
CX3CL1,TGFA,0.71
CX3CL1,ITGAM,0.729
CX3CL1,IL6,0.735
MYOC,WIF1,0.506
MYOC,LTBP2,0.681
CBLN4,NEO1,0.677
ST6GAL1,MUC13,0.423
FAP,DPP4,0.411
FAP,AMY2B,0.423
FAP,AMY2A,0.429
FAP,PLAUR,0.463
FAP,IL6,0.513
FAP,ITGB1,0.522
FAP,THY1,0.641
FAP,ADA,0.891
SERPIND1,TF,0.443
SERPIND1,C4BPB,0.5
SERPIND1,HRG,0.867
CHGA,EGFR,0.403
CHGA,GFAP,0.419
CHGA,PTPRN2,0.426
CHGA,NPTXR,0.428
CHGA,AMY2B,0.44
CHGA,PENK,0.447
CHGA,RET,0.468
CHGA,CD34,0.507
CHGA,VGF,0.534
CHGA,GRP,0.741
CHGA,CHGB,0.994
ACP5,PLA2G15,0.403
ACP5,TREM2,0.427
ACP5,IL22,0.45
ACP5,MMP12,0.469
ACP5,ITGAM,0.492
ACP5,CKB,0.544
ACP5,ITGAV,0.571
ACP5,IL6,0.597
ACP5,OSCAR,0.783
DKK4,SFRP4,0.497
DKK4,WIF1,0.79
GSR,PDIA3,0.414
GSR,IL6,0.561
GSR,GOT1,0.595
GSR,ACHE,0.596
GSR,HPGDS,0.964
COMP,IL6,0.456
COMP,MMP1,0.469
COMP,SFRP4,0.499
COMP,LGALS9,0.558
COMP,CHAD,0.652
COMP,ITGB5,0.681
COMP,ITGB6,0.683
COMP,ITGA2,0.72
COMP,ITGA11,0.769
COMP,ITGAV,0.911
COMP,ITGB1,0.923
CTSC,PSAP,0.402
CTSC,TPP1,0.409
CTSC,DPP4,0.503
CTSC,FOLR1,0.507
CTSC,TGFA,0.521
CTSC,CTSF,0.557
CTSC,GZMA,0.854
PRR4,TF,0.448
CLEC4A,ITGB2,0.413
CLEC4A,CD8A,0.467
CLEC4A,ITGAM,0.53
CLEC4A,CLEC10A,0.59
HRG,C4BPB,0.515
HRG,PLAUR,0.521
HRG,CD5L,0.611
HRG,TF,0.69
IGFBP2,TF,0.431
IGFBP2,LTBP2,0.459
IGFBP2,IL6,0.646
IGFBP2,EGFR,0.746
PPP3R1,ITGAM,0.469
PPP3R1,EGFR,0.514
KLRK1,ITGA2,0.428
KLRK1,LGALS9,0.456
KLRK1,EGFR,0.471
KLRK1,IL2RA,0.472
KLRK1,TREM2,0.472
KLRK1,IL22,0.474
KLRK1,CD34,0.48
KLRK1,ITGB2,0.539
KLRK1,IL6,0.58
KLRK1,ITGAM,0.599
KLRK1,CD160,0.615
KLRK1,GZMA,0.788
KLRK1,IL15,0.921
KLRK1,CD8A,0.946
ADGRE5,ITGB2,0.435
ADGRE5,ITGAV,0.468
ADGRE5,ADGRE2,0.472
ADGRE5,ITGAM,0.562
ADGRE5,THY1,0.751
C4BPB,CR1,0.608
PI3,IL6,0.466
PI3,EGFR,0.576
PEPD,GOT1,0.434
OMG,RGMA,0.443
OMG,GFAP,0.523
OMG,BCAN,0.573
OMG,MOG,0.659
VGF,NPTXR,0.458
VGF,EGFR,0.473
VGF,CHGB,0.698
GFAP,CD8A,0.402
GFAP,ITGB1,0.413
GFAP,L1CAM,0.445
GFAP,ACHE,0.461
GFAP,BCAN,0.549
GFAP,EGFR,0.562
GFAP,TREM2,0.6
GFAP,THY1,0.619
GFAP,ARL13B,0.624
GFAP,ITGAM,0.715
GFAP,MOG,0.722
GFAP,NEFL,0.726
GFAP,CD34,0.747
GFAP,IL6,0.782
CLEC10A,CD8A,0.439
CLEC10A,MUC13,0.54
CLEC10A,ITGAM,0.6
GRP,EGFR,0.641
CHAD,ITGB5,0.664
CHAD,ITGB6,0.69
CHAD,ITGA11,0.72
CHAD,ITGAV,0.759
CHAD,ITGB1,0.911
CHAD,ITGA2,0.919
FGFBP2,CD160,0.451
