ytd,pred,lci,uci,prs_q
-20,0.2107,-0.303,0.7244,Q1 (low)
-19.6363636363636,0.2058,-0.2822,0.6938,Q1 (low)
-19.2727272727273,0.2009,-0.262,0.6638,Q1 (low)
-18.9090909090909,0.196,-0.2425,0.6346,Q1 (low)
-18.5454545454545,0.1913,-0.2238,0.6064,Q1 (low)
-18.1818181818182,0.1866,-0.2061,0.5793,Q1 (low)
-17.8181818181818,0.182,-0.1894,0.5535,Q1 (low)
-17.4545454545455,0.1776,-0.1739,0.5292,Q1 (low)
-17.0909090909091,0.1734,-0.1598,0.5066,Q1 (low)
-16.7272727272727,0.1693,-0.1472,0.4858,Q1 (low)
-16.3636363636364,0.1655,-0.1363,0.4672,Q1 (low)
-16,0.1618,-0.1271,0.4507,Q1 (low)
-15.6363636363636,0.1585,-0.1197,0.4367,Q1 (low)
-15.2727272727273,0.1554,-0.1141,0.425,Q1 (low)
-14.9090909090909,0.1527,-0.1104,0.4157,Q1 (low)
-14.5454545454545,0.1503,-0.1083,0.4088,Q1 (low)
-14.1818181818182,0.1482,-0.1078,0.4042,Q1 (low)
-13.8181818181818,0.1465,-0.1086,0.4016,Q1 (low)
-13.4545454545455,0.1452,-0.1104,0.4009,Q1 (low)
-13.0909090909091,0.1444,-0.1129,0.4017,Q1 (low)
-12.7272727272727,0.144,-0.1158,0.4038,Q1 (low)
-12.3636363636364,0.1441,-0.1188,0.407,Q1 (low)
-12,0.1446,-0.1216,0.4109,Q1 (low)
-11.6363636363636,0.1457,-0.1239,0.4154,Q1 (low)
-11.2727272727273,0.1474,-0.1255,0.4202,Q1 (low)
-10.9090909090909,0.1496,-0.126,0.4252,Q1 (low)
-10.5454545454545,0.1524,-0.1254,0.4302,Q1 (low)
-10.1818181818182,0.1559,-0.1234,0.4351,Q1 (low)
-9.81818181818182,0.1599,-0.1199,0.4398,Q1 (low)
-9.45454545454546,0.1647,-0.1148,0.4441,Q1 (low)
-9.09090909090909,0.1701,-0.1079,0.4481,Q1 (low)
-8.72727272727273,0.1762,-0.0993,0.4518,Q1 (low)
-8.36363636363636,0.183,-0.089,0.4551,Q1 (low)
-8,0.1905,-0.0773,0.4582,Q1 (low)
-7.63636363636364,0.1984,-0.0645,0.4613,Q1 (low)
-7.27272727272727,0.2069,-0.0507,0.4644,Q1 (low)
-6.90909090909091,0.2157,-0.0362,0.4677,Q1 (low)
-6.54545454545455,0.2249,-0.0214,0.4713,Q1 (low)
-6.18181818181818,0.2344,-0.0066,0.4755,Q1 (low)
-5.81818181818182,0.2442,0.0079,0.4804,Q1 (low)
-5.45454545454545,0.2541,0.022,0.4862,Q1 (low)
-5.09090909090909,0.2641,0.0352,0.493,Q1 (low)
-4.72727272727273,0.2741,0.0473,0.5009,Q1 (low)
-4.36363636363636,0.2841,0.0582,0.51,Q1 (low)
-4,0.294,0.0678,0.5203,Q1 (low)
-3.63636363636364,0.3038,0.0759,0.5317,Q1 (low)
-3.27272727272727,0.3133,0.0825,0.5441,Q1 (low)
-2.90909090909091,0.3226,0.0878,0.5574,Q1 (low)
-2.54545454545455,0.3315,0.0918,0.5712,Q1 (low)
-2.18181818181818,0.34,0.0947,0.5853,Q1 (low)
-1.81818181818182,0.3481,0.0966,0.5995,Q1 (low)
-1.45454545454545,0.3556,0.0977,0.6134,Q1 (low)
-1.09090909090909,0.3625,0.0982,0.6268,Q1 (low)
-0.727272727272727,0.3687,0.0981,0.6393,Q1 (low)
-0.363636363636363,0.3742,0.0978,0.6506,Q1 (low)
0,0.379,0.0973,0.6606,Q1 (low)
0.363636363636363,0.3829,0.0968,0.6689,Q1 (low)
0.727272727272727,0.3859,0.0963,0.6756,Q1 (low)
1.09090909090909,0.3882,0.0958,0.6805,Q1 (low)
1.45454545454546,0.3896,0.0955,0.6838,Q1 (low)
1.81818181818182,0.3903,0.0952,0.6854,Q1 (low)
2.18181818181818,0.3903,0.0951,0.6855,Q1 (low)
2.54545454545455,0.3895,0.0949,0.684,Q1 (low)
2.90909090909091,0.388,0.0948,0.6811,Q1 (low)
3.27272727272727,0.3858,0.0947,0.6769,Q1 (low)
3.63636363636364,0.3829,0.0944,0.6715,Q1 (low)
4,0.3794,0.0939,0.665,Q1 (low)
4.36363636363636,0.3753,0.0931,0.6576,Q1 (low)
4.72727272727273,0.3706,0.0918,0.6494,Q1 (low)
5.09090909090909,0.3653,0.09,0.6405,Q1 (low)
5.45454545454546,0.3594,0.0875,0.6313,Q1 (low)
5.81818181818182,0.353,0.0841,0.6219,Q1 (low)
6.18181818181818,0.3461,0.0796,0.6125,Q1 (low)
6.54545454545455,0.3386,0.0739,0.6033,Q1 (low)
6.90909090909091,0.3307,0.0668,0.5947,Q1 (low)
7.27272727272727,0.3223,0.058,0.5867,Q1 (low)
7.63636363636364,0.3135,0.0474,0.5796,Q1 (low)
8,0.3043,0.0349,0.5736,Q1 (low)
8.36363636363636,0.2947,0.0204,0.5689,Q1 (low)
8.72727272727273,0.2846,0.0038,0.5655,Q1 (low)
9.09090909090909,0.2743,-0.015,0.5635,Q1 (low)
9.45454545454546,0.2636,-0.0358,0.563,Q1 (low)
9.81818181818182,0.2526,-0.0587,0.5638,Q1 (low)
10.1818181818182,0.2413,-0.0835,0.566,Q1 (low)
10.5454545454545,0.2297,-0.1102,0.5695,Q1 (low)
10.9090909090909,0.2178,-0.1386,0.5742,Q1 (low)
11.2727272727273,0.2058,-0.1685,0.58,Q1 (low)
11.6363636363636,0.1935,-0.1999,0.5869,Q1 (low)
12,0.181,-0.2327,0.5947,Q1 (low)
12.3636363636364,0.1684,-0.2666,0.6033,Q1 (low)
12.7272727272727,0.1556,-0.3015,0.6126,Q1 (low)
13.0909090909091,0.1426,-0.3374,0.6227,Q1 (low)
13.4545454545455,0.1296,-0.3741,0.6333,Q1 (low)
13.8181818181818,0.1165,-0.4115,0.6444,Q1 (low)
14.1818181818182,0.1033,-0.4494,0.656,Q1 (low)
14.5454545454545,0.0901,-0.4879,0.6681,Q1 (low)
14.9090909090909,0.0768,-0.5268,0.6804,Q1 (low)
15.2727272727273,0.0635,-0.566,0.6931,Q1 (low)
15.6363636363636,0.0503,-0.6055,0.706,Q1 (low)
16,0.037,-0.6452,0.7192,Q1 (low)
-20,0.0363,-0.3976,0.4702,Q2
-19.6363636363636,0.0397,-0.3731,0.4525,Q2
-19.2727272727273,0.0432,-0.3491,0.4354,Q2
-18.9090909090909,0.0466,-0.3257,0.419,Q2
-18.5454545454545,0.0501,-0.3032,0.4033,Q2
-18.1818181818182,0.0535,-0.2815,0.3886,Q2
-17.8181818181818,0.057,-0.2609,0.3749,Q2
-17.4545454545455,0.0605,-0.2415,0.3624,Q2
-17.0909090909091,0.0639,-0.2234,0.3512,Q2
-16.7272727272727,0.0674,-0.2067,0.3415,Q2
-16.3636363636364,0.0708,-0.1916,0.3332,Q2
-16,0.0743,-0.178,0.3266,Q2
-15.6363636363636,0.0778,-0.1662,0.3217,Q2
-15.2727272727273,0.0812,-0.156,0.3185,Q2
-14.9090909090909,0.0847,-0.1475,0.3169,Q2
-14.5454545454545,0.0882,-0.1405,0.3169,Q2
-14.1818181818182,0.0916,-0.135,0.3183,Q2
-13.8181818181818,0.0951,-0.1307,0.321,Q2
-13.4545454545455,0.0986,-0.1275,0.3247,Q2
-13.0909090909091,0.1021,-0.1251,0.3292,Q2
-12.7272727272727,0.1056,-0.1232,0.3343,Q2
-12.3636363636364,0.109,-0.1217,0.3398,Q2
-12,0.1125,-0.1204,0.3455,Q2
-11.6363636363636,0.116,-0.119,0.3511,Q2
-11.2727272727273,0.1195,-0.1174,0.3564,Q2
-10.9090909090909,0.123,-0.1154,0.3614,Q2
-10.5454545454545,0.1265,-0.1129,0.366,Q2
-10.1818181818182,0.1301,-0.1098,0.3699,Q2
-9.81818181818182,0.1336,-0.106,0.3731,Q2
-9.45454545454546,0.1371,-0.1014,0.3756,Q2
-9.09090909090909,0.1406,-0.0961,0.3773,Q2
-8.72727272727273,0.1441,-0.09,0.3783,Q2
-8.36363636363636,0.1476,-0.0833,0.3786,Q2
-8,0.1511,-0.0763,0.3784,Q2
-7.63636363636364,0.1544,-0.0692,0.378,Q2
-7.27272727272727,0.1576,-0.0622,0.3773,Q2
-6.90909090909091,0.1605,-0.0556,0.3767,Q2
-6.54545454545455,0.1633,-0.0498,0.3764,Q2
-6.18181818181818,0.1658,-0.0448,0.3764,Q2
-5.81818181818182,0.1679,-0.041,0.3769,Q2
-5.45454545454545,0.1697,-0.0386,0.3781,Q2
-5.09090909090909,0.1712,-0.0376,0.3799,Q2
-4.72727272727273,0.1721,-0.0381,0.3824,Q2
-4.36363636363636,0.1726,-0.0402,0.3854,Q2
-4,0.1726,-0.0437,0.3889,Q2
-3.63636363636364,0.172,-0.0487,0.3927,Q2
-3.27272727272727,0.1708,-0.0548,0.3965,Q2
-2.90909090909091,0.169,-0.0621,0.4001,Q2
-2.54545454545455,0.1665,-0.0703,0.4032,Q2
-2.18181818181818,0.1632,-0.0792,0.4056,Q2
-1.81818181818182,0.1592,-0.0886,0.407,Q2
-1.45454545454545,0.1544,-0.0984,0.4072,Q2
-1.09090909090909,0.1487,-0.1085,0.4059,Q2
-0.727272727272727,0.1421,-0.1186,0.4029,Q2
-0.363636363636363,0.1347,-0.1288,0.3982,Q2
0,0.1264,-0.1389,0.3917,Q2
0.363636363636363,0.1173,-0.1489,0.3835,Q2
0.727272727272727,0.1073,-0.159,0.3737,Q2
1.09090909090909,0.0966,-0.1691,0.3623,Q2
1.45454545454546,0.0851,-0.1792,0.3495,Q2
1.81818181818182,0.0729,-0.1895,0.3353,Q2
2.18181818181818,0.06,-0.2,0.32,Q2
2.54545454545455,0.0464,-0.2108,0.3036,Q2
2.90909090909091,0.0322,-0.2221,0.2864,Q2
3.27272727272727,0.0173,-0.234,0.2685,Q2
3.63636363636364,0.0018,-0.2466,0.2502,Q2
4,-0.0143,-0.2601,0.2316,Q2
4.36363636363636,-0.0309,-0.2748,0.213,Q2
4.72727272727273,-0.048,-0.2908,0.1947,Q2
5.09090909090909,-0.0657,-0.3082,0.1768,Q2
5.45454545454546,-0.0838,-0.3274,0.1597,Q2
5.81818181818182,-0.1024,-0.3484,0.1436,Q2
6.18181818181818,-0.1214,-0.3714,0.1285,Q2
6.54545454545455,-0.1409,-0.3964,0.1147,Q2
6.90909090909091,-0.1607,-0.4236,0.1023,Q2
7.27272727272727,-0.1808,-0.4528,0.0912,Q2
7.63636363636364,-0.2013,-0.4841,0.0815,Q2
8,-0.2221,-0.5173,0.0732,Q2
8.36363636363636,-0.2431,-0.5524,0.0662,Q2
8.72727272727273,-0.2644,-0.5892,0.0603,Q2
9.09090909090909,-0.286,-0.6275,0.0556,Q2
9.45454545454546,-0.3077,-0.6673,0.0518,Q2
9.81818181818182,-0.3296,-0.7083,0.049,Q2
10.1818181818182,-0.3517,-0.7504,0.047,Q2
10.5454545454545,-0.3739,-0.7935,0.0457,Q2
10.9090909090909,-0.3962,-0.8374,0.045,Q2
11.2727272727273,-0.4186,-0.8821,0.0449,Q2
11.6363636363636,-0.441,-0.9273,0.0453,Q2
12,-0.4634,-0.973,0.0461,Q2
12.3636363636364,-0.4859,-1.0191,0.0473,Q2
12.7272727272727,-0.5083,-1.0654,0.0488,Q2
13.0909090909091,-0.5308,-1.1121,0.0505,Q2
13.4545454545455,-0.5532,-1.159,0.0525,Q2
13.8181818181818,-0.5757,-1.2061,0.0547,Q2
14.1818181818182,-0.5981,-1.2534,0.0571,Q2
14.5454545454545,-0.6206,-1.3008,0.0597,Q2
14.9090909090909,-0.643,-1.3484,0.0624,Q2
15.2727272727273,-0.6655,-1.3962,0.0652,Q2
15.6363636363636,-0.6879,-1.4441,0.0682,Q2
16,-0.7104,-1.492,0.0712,Q2
-20,0.253,-0.1924,0.6984,Q3
-19.6363636363636,0.2442,-0.1772,0.6656,Q3
-19.2727272727273,0.2354,-0.1626,0.6334,Q3
-18.9090909090909,0.2268,-0.1484,0.602,Q3
-18.5454545454545,0.2182,-0.135,0.5713,Q3
-18.1818181818182,0.2097,-0.1223,0.5418,Q3
-17.8181818181818,0.2014,-0.1106,0.5134,Q3
-17.4545454545455,0.1933,-0.0999,0.4865,Q3
-17.0909090909091,0.1854,-0.0904,0.4612,Q3
-16.7272727272727,0.1778,-0.0823,0.4378,Q3
-16.3636363636364,0.1705,-0.0756,0.4165,Q3
-16,0.1634,-0.0705,0.3974,Q3
-15.6363636363636,0.1568,-0.0671,0.3807,Q3
-15.2727272727273,0.1505,-0.0655,0.3665,Q3
-14.9090909090909,0.1446,-0.0656,0.3549,Q3
-14.5454545454545,0.1392,-0.0672,0.3457,Q3
-14.1818181818182,0.1343,-0.0703,0.3389,Q3
-13.8181818181818,0.1299,-0.0745,0.3343,Q3
-13.4545454545455,0.126,-0.0795,0.3316,Q3
-13.0909090909091,0.1227,-0.0851,0.3305,Q3
-12.7272727272727,0.1201,-0.0907,0.3308,Q3
-12.3636363636364,0.118,-0.0962,0.3322,Q3
-12,0.1167,-0.1012,0.3345,Q3
-11.6363636363636,0.116,-0.1054,0.3374,Q3
-11.2727272727273,0.1161,-0.1086,0.3407,Q3
-10.9090909090909,0.1169,-0.1105,0.3444,Q3
-10.5454545454545,0.1186,-0.1111,0.3483,Q3
-10.1818181818182,0.1211,-0.1101,0.3523,Q3
-9.81818181818182,0.1245,-0.1074,0.3564,Q3
-9.45454545454546,0.1287,-0.1032,0.3605,Q3
-9.09090909090909,0.1336,-0.0974,0.3647,Q3
-8.72727272727273,0.1393,-0.0904,0.3691,Q3
-8.36363636363636,0.1457,-0.0823,0.3737,Q3
-8,0.1526,-0.0734,0.3786,Q3
-7.63636363636364,0.16,-0.0639,0.3839,Q3
-7.27272727272727,0.1678,-0.054,0.3896,Q3
-6.90909090909091,0.176,-0.0439,0.396,Q3
-6.54545454545455,0.1845,-0.0339,0.403,Q3
-6.18181818181818,0.1933,-0.0242,0.4108,Q3
-5.81818181818182,0.2022,-0.015,0.4193,Q3
-5.45454545454545,0.2111,-0.0065,0.4287,Q3
-5.09090909090909,0.2201,0.0012,0.439,Q3
-4.72727272727273,0.229,0.0081,0.45,Q3
-4.36363636363636,0.2378,0.014,0.4617,Q3
-4,0.2465,0.0189,0.474,Q3
-3.63636363636364,0.2548,0.0229,0.4868,Q3
-3.27272727272727,0.2629,0.0259,0.4998,Q3
-2.90909090909091,0.2705,0.0281,0.5128,Q3
-2.54545454545455,0.2776,0.0296,0.5257,Q3
-2.18181818181818,0.2843,0.0303,0.5382,Q3
-1.81818181818182,0.2903,0.0304,0.5501,Q3
-1.45454545454545,0.2956,0.03,0.5612,Q3
-1.09090909090909,0.3002,0.0292,0.5712,Q3
-0.727272727272727,0.304,0.0281,0.5799,Q3
-0.363636363636363,0.3069,0.0267,0.587,Q3
0,0.3088,0.0251,0.5925,Q3
0.363636363636363,0.3097,0.0234,0.5961,Q3
0.727272727272727,0.3097,0.0215,0.5978,Q3
1.09090909090909,0.3086,0.0196,0.5977,Q3
1.45454545454546,0.3067,0.0176,0.5957,Q3
1.81818181818182,0.3038,0.0155,0.592,Q3
2.18181818181818,0.3,0.0133,0.5867,Q3
2.54545454545455,0.2953,0.011,0.5797,Q3
2.90909090909091,0.2898,0.0084,0.5713,Q3
3.27272727272727,0.2835,0.0056,0.5615,Q3
3.63636363636364,0.2765,0.0026,0.5504,Q3
4,0.2686,-9e-04,0.5382,Q3
4.36363636363636,0.2601,-0.0049,0.525,Q3
4.72727272727273,0.2508,-0.0095,0.511,Q3
5.09090909090909,0.2408,-0.0148,0.4964,Q3
5.45454545454546,0.2302,-0.021,0.4814,Q3
5.81818181818182,0.219,-0.0282,0.4662,Q3
6.18181818181818,0.2072,-0.0367,0.451,Q3
6.54545454545455,0.1948,-0.0465,0.436,Q3
6.90909090909091,0.1818,-0.0579,0.4216,Q3
7.27272727272727,0.1684,-0.0711,0.4078,Q3
7.63636363636364,0.1544,-0.0862,0.395,Q3
8,0.14,-0.1033,0.3832,Q3
8.36363636363636,0.1251,-0.1225,0.3727,Q3
8.72727272727273,0.1099,-0.1438,0.3635,Q3
9.09090909090909,0.0942,-0.1673,0.3557,Q3
9.45454545454546,0.0782,-0.1928,0.3492,Q3
9.81818181818182,0.0619,-0.2204,0.3441,Q3
10.1818181818182,0.0452,-0.2498,0.3402,Q3
