protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
erbb2,0.708010006085236,0.634353112459201,0.790219451708067,-6.16071539436964,7.24170403707327e-10,119,2.10806004519203e-06
nefl,1.56400125595636,1.34688793875107,1.81611243092818,5.86540326849312,4.4804240975821e-09,119,6.52125727403075e-06
scly,0.677962528048919,0.574561718008428,0.799971830757682,-4.60324686177928,4.15954695786229e-06,122,0.00390235513811251
setmar,0.72906539156751,0.636286635949303,0.835372480184916,-4.5500930666532,5.36221935845072e-06,119,0.00390235513811251
mmp9,1.50900573112239,1.24285167383836,1.83215611685,4.15594053634753,3.23952079268876e-05,119,0.0150117391359008
clec5a,1.45383469592413,1.21822223648347,1.73501620621705,4.14806353282157,3.35299359892453e-05,121,0.0150117391359008
spock1,0.677388715402354,0.563094280295161,0.814882139299888,-4.13113081286433,3.60983077812797e-05,119,0.0150117391359008
osm,1.47480115678812,1.22270527740913,1.7788738563985,4.06221210108964,4.86098793817049e-05,121,0.0171156498709461
fgl1,1.47205204374022,1.21964384511043,1.77669672024916,4.02892405959105,5.60327135140687e-05,112,0.0171156498709461
plaur,1.50025999704222,1.23090472752429,1.82855748978404,4.01758968231507,5.87964612536794e-05,119,0.0171156498709461
bgn,0.652978743482707,0.529558513742316,0.80516360019798,-3.98736991493444,6.68098148585995e-05,116,0.0176803064593985
pglyrp1,1.35787348941569,1.16557482471729,1.58189793924657,3.92645952159909,8.62053917799226e-05,120,0.0191687871541363
got1,0.693337095437651,0.57697864717709,0.833161383461689,-3.90730544012,9.33311404227407e-05,110,0.0191687871541363
sel1l,1.19495314115314,1.09281926967636,1.3066323491666,3.90708868969684,9.34148719913506e-05,104,0.0191687871541363
gzma,0.698346888988993,0.582880175383221,0.836687192251769,-3.89358336084268,9.87742381697166e-05,122,0.0191687871541363
retn,1.33399522443949,1.15079342737157,1.54636202858047,3.82340579691834,0.000131620892539549,120,0.023726220242174
faslg,0.715772744623285,0.602673261169049,0.850096818550977,-3.81072618783494,0.000138559170084836,122,0.023726220242174
rnase6,1.24892111341104,1.11341915009142,1.40091352604793,3.79348625776156,0.000148546855757741,112,0.0238822830974646
trim21,0.743912709796741,0.638162971486409,0.867186196197089,-3.78151174551439,0.00015587886597452,122,0.0238822830974646
arl13b,1.35106545093133,1.15424572785422,1.58144648808338,3.74565785777149,0.000179921667387608,107,0.0261875986882663
tgfa,1.36146460856548,1.15686515633427,1.60224886213167,3.71371896058487,0.000204235596153971,122,0.0271303211822036
clec4d,1.43422862172928,1.18560187310831,1.73499366528038,3.71272640932262,0.000205038497426479,122,0.0271303211822036
kctd5,0.608632294076158,0.467688965708442,0.792050479171098,-3.69461820608242,0.000220217429847819,104,0.0278718668820435
alpp,1.3273716682302,1.14000881757496,1.54552799808004,3.64777768362949,0.00026451836298384,118,0.0314573557748631
il1rap,1.38480761441148,1.16227047271214,1.64995340925861,3.64235099733388,0.000270159359110813,119,0.0314573557748631
omg,0.714651110197699,0.595928737537618,0.857025642725551,-3.62447771053491,0.000289545988799887,118,0.0315938832967807
itgav,0.727259878968884,0.612115271146601,0.864064264508706,-3.62137761607167,0.000293038422883229,122,0.0315938832967807
mmp8,1.39426988241714,1.16262362050276,1.67207036803092,3.58538653270932,0.000336579320454533,119,0.0349922286372552
kel,0.709682588905594,0.587578587847063,0.857160875860301,-3.55994325088014,0.000370934944284056,120,0.0352301190923041
acy1,0.67154463954859,0.538955279275112,0.836752547471095,-3.54815057109564,0.000387946376151543,122,0.0352301190923041
lilrb4,1.43053675157427,1.17380836156667,1.74341524955003,3.54791639308922,0.000388291455606643,118,0.0352301190923041
wfdc2,1.38812677490183,1.15785817934653,1.664189947932,3.54376833048347,0.000394451688470022,110,0.0352301190923041
hgfac,0.833616955202338,0.75356464038578,0.922173348851746,-3.53287961067128,0.000411059612758612,112,0.0352301190923041
sftpa2,1.3232578171277,1.13280094564198,1.54573604244057,3.53260808542578,0.000411481981840721,116,0.0352301190923041
fap,0.731171865035407,0.613599019808027,0.871273061007522,-3.50059220201192,0.000464225619680343,121,0.037932675654161
kynu,0.693944524238914,0.56530454117329,0.851857658390106,-3.49269776767152,0.000478167370592534,122,0.037932675654161
gbp1,0.755530663177847,0.645488817204584,0.884332257643183,-3.49048769559829,0.000482139814223276,107,0.037932675654161
ass1,0.686496171693307,0.555508231018098,0.848370856514299,-3.48223691918997,0.000497243545275992,107,0.0380914726394319
spint2,1.46346169900595,1.1804039510766,1.8143959468316,3.47229843030993,0.00051602235923032,120,0.0385164381466528
ptprc,0.701519735815131,0.573138538839915,0.85865790971629,-3.43763153975342,0.000586825618409035,110,0.0417027139862172
pi3,1.32803313277496,1.12968236888731,1.56121052281732,3.43738403582313,0.00058736216881996,118,0.0417027139862172
lbp,1.34954378485751,1.13566922118581,1.60369621124878,3.40510268489744,0.000661391789656154,118,0.0458407499925967
itga11,0.740211935761048,0.621655186900261,0.881378811580681,-3.37777494077966,0.000730748612246528,122,0.0477630603966616
cda,0.691686106592237,0.558462142696036,0.856691319742922,-3.37697283298049,0.000732882882426593,112,0.0477630603966616
adgre5,0.702916336102036,0.572788217493927,0.862607435817846,-3.37492790868286,0.000738350298127712,120,0.0477630603966616
itgb2,0.716330061865786,0.589948853667964,0.869785159073199,-3.36864701599004,0.000755381000607509,119,0.0478024802775752
npl,0.67317909364762,0.534113112285622,0.848453411272733,-3.35190623312919,0.000802571964467028,112,0.0497082337992238
olr1,1.32470453133604,1.12269039957712,1.56306858596387,3.33081230547849,0.000865929680038896,120,0.0517013246949854
b4gat1,0.733671237777628,0.611399181698948,0.880396149118829,-3.32941921291362,0.000870273071128232,119,0.0517013246949854
cd248,0.728859460934587,0.604634691834091,0.878606737205918,-3.31744645806914,0.000908443253928169,110,0.052889566243698
bcan,0.736597259434804,0.614582442048662,0.882836028960136,-3.30863814980948,0.000937509190369282,119,0.0535115539836271
spink1,1.30312121238691,1.11313624268497,1.52553194214279,3.29306910880373,0.000991001126573659,119,0.0554770053741523
kir3dl1,0.727654724441589,0.601177222969867,0.880740949210421,-3.26353208810752,0.0011003272333156,116,0.0604349542675796
dcxr,0.675402726541275,0.533017078385655,0.8558240655271,-3.24883564045534,0.00115878411819791,119,0.0624670475569279
reg1b,1.28128594089284,1.10142787578516,1.49051399408188,3.21178888244814,0.00131911273518916,121,0.0698170394933756
tarbp2,0.514450222585018,0.341522349479034,0.77493912747289,-3.17976151693033,0.00147396302532335,120,0.0766197565485051
lcn2,1.33331340973822,1.11590485248982,1.59307905563928,3.16748526439486,0.00153763502412417,113,0.078527290442552
rnf41,0.607482428813245,0.444776387961041,0.829708840904487,-3.13361292110021,0.00172668466522327,116,0.0866617079390508
pdgfa,1.40119949900012,1.13364933364967,1.73189360917926,3.12030878026338,0.0018066155170617,121,0.087931513696928
npc2,1.28251354965171,1.09689325100638,1.49954519597154,3.1193674128122,0.00181239808375668,107,0.087931513696928
reg1a,1.28218987806586,1.09607456374816,1.49990788746402,3.10638281227975,0.00189391359465429,117,0.0903800405580107
ccl21,1.23161936044883,1.07919330986014,1.4055741776503,3.09060918738854,0.00199746349138272,120,0.0935164102743825
clec3b,0.744066953579993,0.616722128608923,0.897706772186999,-3.0867045316854,0.00202388658443356,107,0.0935164102743825
guca2a,1.32283032222399,1.10703768504443,1.58068698566933,3.07911035550489,0.00207619759471306,119,0.094417089288853
chp1,0.69280663775896,0.548283533416304,0.875424863358848,-3.07454370402944,0.00210824830085038,104,0.094417089288853
l1cam,0.757930305163092,0.634265274286681,0.905706761466133,-3.04973320620139,0.00229044733113274,119,0.0999469177773251
pcbd1,0.657307795119988,0.501885585191757,0.86086062296534,-3.04843159091842,0.00230039281727268,111,0.0999469177773251
extl1,0.679232913401735,0.528881370421256,0.872326719091534,-3.02996394889776,0.00244582931483017,107,0.104703075521627
cd8a,0.746947760700985,0.617874581399348,0.902984155704588,-3.01428433957881,0.00257586269211763,119,0.108671540532673
il17c,1.26771194000188,1.08613448186375,1.47964509888834,3.00753221963343,0.0026337820368857,118,0.109527707276775
crx,1.22868578376631,1.07388534453925,1.40580068710887,2.99747034924028,0.00272230339220791,118,0.111614439080524
dkk4,0.72927430648486,0.592374001028833,0.897812890463245,-2.9761238156544,0.00291916978081984,118,0.11477283024468
pglyrp2,0.769474872629621,0.647488291863377,0.914443685003813,-2.97555079710281,0.00292462909410692,109,0.11477283024468
ambp,1.35553317220959,1.10932579943317,1.65638460937218,2.97447504621027,0.00293490325698455,122,0.11477283024468
